chr	start	end	name	score	strand	NormedTC_SRR1107532	NormedTC_SRR1107533	NormedTC_SRR1107534	NormedTC_RBFOX2	BC_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	22588239	22588259	chr1-163	78	-	23.3981	2.8533	10.3932	36.6445	3	LINE	ENSMUSG00000041670.20	Rims1	TE
chr1	22692091	22692111	chr1-68	109.2	-	0	2.8533	31.1795	34.0328	2	LINE	ENSMUSG00000041670.20	Rims1	TE
chr1	22839266	22839286	chr1-105	109.2	-	11.6991	2.8533	31.1795	45.7318	3	First intron	ENSMUSG00000041670.20	Rims1	Genic
chr1	23311099	23311119	chr1-321	46.8	+	23.3981	2.8533	0	26.2514	2	Other exon	ENSMUSG00000134304.1	""	Genic
chr1	23407499	23407519	chr1-323	46.8	-	0	5.7065	5.1966	10.9031	2	3'UTR	ENSMUSG00000026158.12	Ogfrl1	Genic
chr1	24108911	24108931	chr1-107	78	-	11.6991	14.2664	5.1966	31.162	3	Deep intronic	ENSMUSG00000026153.16	Fam135a	Genic
chr1	24802173	24802193	chr1-325	78	+	0	0	25.9829	25.9829	1	3'UTR	ENSMUSG00000073725.9	Lmbrd1	Genic
chr1	25318584	25318604	chr1-328	62.4	-	0	2.8533	15.5898	18.443	2	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25351888	25351908	chr1-166	62.4	-	23.3981	8.5598	0	31.9579	2	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25353709	25353729	chr1-329	46.8	-	0	8.5598	0	8.5598	1	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25357034	25357054	chr1-69	78	-	35.0972	8.5598	0	43.657	2	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25398854	25398874	chr1-167	78	-	11.6991	8.5598	5.1966	25.4554	3	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25485681	25485701	chr1-330	46.8	-	0	11.4131	0	11.4131	1	LTR/ERV	ENSMUSG00000033569.18	Adgrb3	TE
chr1	25607939	25607959	chr1-331	46.8	-	11.6991	0	10.3932	22.0922	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25653800	25653820	chr1-332	46.8	-	23.3981	2.8533	0	26.2514	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25674247	25674267	chr1-168	109.2	-	23.3981	0	25.9829	49.381	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25695718	25695738	chr1-334	93.6	-	11.6991	17.1196	0	28.8187	2	Other SINE	ENSMUSG00000033569.18	Adgrb3	TE
chr1	25727782	25727802	chr1-335	46.8	-	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000033569.18	Adgrb3	TE
chr1	25732378	25732398	chr1-336	62.4	-	11.6991	2.8533	10.3932	24.9455	3	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25733202	25733222	chr1-48	155.9	-	0	0	51.9659	51.9659	1	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25795656	25795676	chr1-338	62.4	-	0	2.8533	20.7863	23.6396	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25847154	25847174	chr1-340	78	+	0	0	25.9829	25.9829	1	Deep intronic			Genic
chr1	25858043	25858063	chr1-341	46.8	-	0	5.7065	5.1966	10.9031	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25868656	25868676	chr1-342	93.6	-	0	11.4131	15.5898	27.0028	2	5'UTR	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	29748936	29748956	chr1-169	124.8	+	0	0	41.5727	41.5727	1	Satellite/LC	ENSMUSG00000118548.3	Gm53035	TE
chr1	30891751	30891771	chr1-343	46.8	-	23.3981	0	5.1966	28.5947	2	LTR/ERV	ENSMUSG00000048874.16	Phf3	TE
chr1	34852358	34852378	chr1-70	78	-	46.7962	5.7065	0	52.5028	2	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	34854783	34854803	chr1-71	155.9	-	11.6991	17.1196	25.9829	54.8016	3	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	34856144	34856164	chr1-108	93.6	-	0	0	31.1795	31.1795	1	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	34856197	34856217	chr1-49	155.9	-	35.0972	2.8533	41.5727	79.5231	3	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	36372667	36372687	chr1-349	46.8	-	0	8.5598	0	8.5598	1	3'UTR-distal			Genic
chr1	36948661	36948681	chr1-350	62.4	-	0	2.8533	15.5898	18.443	2	Other SINE	ENSMUSG00000026116.12	Tmem131	TE
chr1	37447175	37447195	chr1-170	62.4	+	0	2.8533	20.7863	23.6396	2	Proximal intronic	ENSMUSG00000026113.18	Inpp4a	Genic
chr1	37455671	37455691	chr1-351	46.8	-	0	8.5598	0	8.5598	1	3'UTR-distal			Genic
chr1	37675931	37675951	chr1-171	62.4	-	0	14.2664	0	14.2664	1	Deep intronic	ENSMUSG00000026090.17	Cracdl	Genic
chr1	37697145	37697165	chr1-172	62.4	-	23.3981	5.7065	0	29.1046	2	LTR/ERV	ENSMUSG00000026090.17	Cracdl	TE
chr1	38037849	38037869	chr1-352	46.8	+	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000026083.13	Eif5b	TE
chr1	38344320	38344340	chr1-353	46.8	-	0	0	15.5898	15.5898	1	Satellite/LC	ENSMUSG00000037138.19	Aff3	TE
chr1	38650228	38650248	chr1-357	46.8	-	0	5.7065	5.1966	10.9031	2	First intron	ENSMUSG00000037138.19	Aff3	Genic
chr1	38847879	38847899	chr1-72	124.8	-	35.0972	25.6794	0	60.7766	2	Deep intronic	ENSMUSG00000048814.12	Lonrf2	Genic
chr1	39590728	39590748	chr1-361	46.8	-	11.6991	0	10.3932	22.0922	2	3'UTR	ENSMUSG00000048234.14	Rnf149	Genic
chr1	39980807	39980827	chr1-364	46.8	+	11.6991	0	10.3932	22.0922	2	Deep intronic	ENSMUSG00000026074.16	Map4k4	Genic
chr1	43856123	43856143	chr1-175	62.4	-	0	0	20.7863	20.7863	1	CDS	ENSMUSG00000057363.13	Uxs1	Genic
chr1	46115232	46115252	chr1-366	62.4	-	0	11.4131	5.1966	16.6097	2	LINE	ENSMUSG00000140126.1	""	TE
chr1	46380301	46380321	chr1-367	46.8	+	0	5.7065	5.1966	10.9031	2	Alu	ENSMUSG00000041144.13	Dnah7b	TE
chr1	46413107	46413127	chr1-368	46.8	-	0	0	15.5898	15.5898	1	Deep intronic			Genic
chr1	46848381	46848401	chr1-111	78	-	23.3981	8.5598	0	31.9579	2	3'UTR	ENSMUSG00000025986.7	Slc39a10	Genic
chr1	48635156	48635176	chr1-177	62.4	+	0	0	20.7863	20.7863	1	Satellite/LC			TE
chr1	51153647	51153667	chr1-178	78	+	46.7962	2.8533	10.3932	60.0427	3	Deep intronic	ENSMUSG00000026109.15	Tmeff2	Genic
chr1	52204935	52204955	chr1-112	93.6	-	0	17.1196	5.1966	22.3162	2	3'UTR	ENSMUSG00000026103.15	Gls	Genic
chr1	52225569	52225589	chr1-374	62.4	-	11.6991	5.7065	10.3932	27.7988	3	3'UTR	ENSMUSG00000026103.15	Gls	Genic
chr1	52227537	52227557	chr1-181	62.4	-	0	5.7065	10.3932	16.0997	2	Proximal intronic	ENSMUSG00000026103.15	Gls	Genic
chr1	52244581	52244601	chr1-375	62.4	-	0	5.7065	10.3932	16.0997	2	Deep intronic	ENSMUSG00000026103.15	Gls	Genic
chr1	52253388	52253408	chr1-377	46.8	-	11.6991	8.5598	0	20.2589	2	First intron	ENSMUSG00000026103.15	Gls	Genic
chr1	53431796	53431816	chr1-378	46.8	+	0	0	15.5898	15.5898	1	Deep intronic			Genic
chr1	53964248	53964268	chr1-73	124.8	-	0	22.8262	0	22.8262	1	LTR/ERV	ENSMUSG00000042807.16	Hecw2	TE
chr1	54159787	54159807	chr1-182	78	-	0	8.5598	10.3932	18.953	2	Other SINE	ENSMUSG00000042807.16	Hecw2	TE
chr1	54194522	54194542	chr1-379	46.8	-	0	8.5598	0	8.5598	1	First intron	ENSMUSG00000042807.16	Hecw2	Genic
chr1	54196239	54196259	chr1-380	46.8	-	0	5.7065	5.1966	10.9031	2	First intron	ENSMUSG00000042807.16	Hecw2	Genic
chr1	55049469	55049489	chr1-382	46.8	-	0	5.7065	5.1966	10.9031	2	Deep intronic	ENSMUSG00000025982.14	Sf3b1	Genic
chr1	55186490	55186510	chr1-113	109.2	+	46.7962	14.2664	0	61.0626	2	Other SINE	ENSMUSG00000025979.14	Mob4	TE
chr1	56821459	56821479	chr1-19	686.2	-	198.8839	119.8373	285.8122	604.5335	3	Intergenic			Intergenic
chr1	56939635	56939655	chr1-384	46.8	+	35.0972	0	0	35.0972	1	Satellite/LC			TE
chr1	56961449	56961469	chr1-385	46.8	-	0	0	15.5898	15.5898	1	Deep intronic	ENSMUSG00000038331.16	Satb2	Genic
chr1	56977382	56977402	chr1-183	93.6	-	0	0	31.1795	31.1795	1	Deep intronic	ENSMUSG00000038331.16	Satb2	Genic
chr1	58446036	58446056	chr1-184	62.4	+	0	11.4131	0	11.4131	1	3'UTR	ENSMUSG00000051223.15	Bzw1	Genic
chr1	58456753	58456773	chr1-387	46.8	-	35.0972	0	0	35.0972	1	Satellite/LC	ENSMUSG00000026034.18	Clk1	TE
chr1	58504705	58504725	chr1-388	62.4	-	23.3981	5.7065	0	29.1046	2	Deep intronic	ENSMUSG00000026037.15	Orc2	Genic
chr1	58505738	58505758	chr1-389	46.8	-	0	2.8533	20.7863	23.6396	2	Deep intronic	ENSMUSG00000026037.15	Orc2	Genic
chr1	59683526	59683546	chr1-390	62.4	-	0	0	20.7863	20.7863	1	Deep intronic	ENSMUSG00000026021.16	Sumo1	Genic
chr1	59912055	59912075	chr1-391	62.4	+	0	2.8533	15.5898	18.443	2	3'UTR	ENSMUSG00000067336.7	Bmpr2	Genic
chr1	59915160	59915180	chr1-392	62.4	+	0	8.5598	10.3932	18.953	2	3'UTR	ENSMUSG00000067336.7	Bmpr2	Genic
chr1	59975198	59975218	chr1-395	46.8	+	0	8.5598	0	8.5598	1	LTR/ERV	ENSMUSG00000041040.13	Fam117b	TE
chr1	59987125	59987145	chr1-116	78	+	0	0	31.1795	31.1795	1	First intron	ENSMUSG00000041040.13	Fam117b	Genic
chr1	60026658	60026678	chr1-396	46.8	-	0	0	15.5898	15.5898	1	3'UTR-distal	ENSMUSG00000026018.13	Ica1l	Genic
chr1	60220570	60220590	chr1-397	46.8	+	0	0	15.5898	15.5898	1	First intron	ENSMUSG00000073664.12	Nbeal1	Genic
chr1	60457056	60457076	chr1-398	46.8	+	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000026782.16	Abi2	TE
chr1	61619178	61619198	chr1-186	78	+	0	0	25.9829	25.9829	1	Satellite/LC			TE
chr1	62766749	62766769	chr1-404	46.8	-	0	8.5598	0	8.5598	1	Satellite/LC			TE
chr1	63136917	63136937	chr1-405	62.4	-	0	0	20.7863	20.7863	1	Other SINE	ENSMUSG00000040865.17	Ino80d	TE
chr1	63350638	63350658	chr1-187	62.4	+	0	11.4131	0	11.4131	1	3'UTR	ENSMUSG00000027520.17	Zdbf2	Genic
chr1	63624586	63624606	chr1-406	46.8	+	0	2.8533	10.3932	13.2464	2	CDS	ENSMUSG00000025964.16	Adam23	Genic
chr1	63631003	63631023	chr1-407	46.8	+	11.6991	5.7065	0	17.4056	2	First intron	ENSMUSG00000025964.16	Adam23	Genic
chr1	63632259	63632279	chr1-6	327.5	+	11.6991	17.1196	93.5385	122.3572	3	3'UTR	ENSMUSG00000025964.16	Adam23	Genic
chr1	63633744	63633764	chr1-188	78	+	0	8.5598	10.3932	18.953	2	3'UTR	ENSMUSG00000025964.16	Adam23	Genic
chr1	63634619	63634639	chr1-74	140.4	+	46.7962	14.2664	10.3932	71.4557	3	3'UTR	ENSMUSG00000025964.16	Adam23	Genic
chr1	63634970	63634990	chr1-7	327.5	+	23.3981	42.7991	25.9829	92.1801	3	3'UTR	ENSMUSG00000025964.16	Adam23	Genic
chr1	64640402	64640422	chr1-413	46.8	+	0	0	15.5898	15.5898	1	3'UTR	ENSMUSG00000025958.15	Creb1	Genic
chr1	64998288	64998308	chr1-190	78	-	11.6991	0	20.7863	32.4854	2	Satellite/LC			TE
chr1	66361650	66361670	chr1-39	202.7	+	35.0972	8.5598	41.5727	85.2297	3	First intron	ENSMUSG00000015222.19	Map2	Genic
chr1	66446040	66446060	chr1-117	78	+	0	5.7065	15.5898	21.2963	2	Deep intronic	ENSMUSG00000015222.19	Map2	Genic
chr1	66450312	66450332	chr1-20	187.1	+	11.6991	31.386	5.1966	48.2816	3	Deep intronic	ENSMUSG00000015222.19	Map2	Genic
chr1	66478315	66478335	chr1-16	218.3	+	35.0972	45.6523	41.5727	122.3222	3	3'UTR	ENSMUSG00000015222.19	Map2	Genic
chr1	66478452	66478472	chr1-10	311.9	+	46.7962	62.7719	103.9317	213.4999	3	3'UTR	ENSMUSG00000015222.19	Map2	Genic
chr1	66478650	66478670	chr1-4	452.3	+	11.6991	22.8262	150.701	185.2262	3	3'UTR	ENSMUSG00000015222.19	Map2	Genic
chr1	66479049	66479069	chr1-2	779.7	+	35.0972	39.9458	249.4361	324.4791	3	3'UTR	ENSMUSG00000015222.19	Map2	Genic
chr1	66479269	66479289	chr1-50	187.1	+	11.6991	17.1196	36.3761	65.1948	3	3'UTR	ENSMUSG00000015222.19	Map2	Genic
chr1	66609825	66609845	chr1-427	62.4	+	11.6991	5.7065	10.3932	27.7988	3	Deep intronic	ENSMUSG00000055567.19	Unc80	Genic
chr1	66711251	66711271	chr1-429	46.8	+	35.0972	0	0	35.0972	1	Satellite/LC	ENSMUSG00000055567.19	Unc80	TE
chr1	66736942	66736962	chr1-75	124.8	+	0	19.9729	5.1966	25.1695	2	3'UTR	ENSMUSG00000055567.19	Unc80	Genic
chr1	68483934	68483954	chr1-430	46.8	-	35.0972	0	0	35.0972	1	Deep intronic	ENSMUSG00000062209.16	Erbb4	Genic
chr1	69073467	69073487	chr1-199	78	-	0	2.8533	20.7863	23.6396	2	LINE	ENSMUSG00000062209.16	Erbb4	TE
chr1	69131164	69131184	chr1-76	124.8	-	11.6991	22.8262	5.1966	39.7218	3	First intron	ENSMUSG00000062209.16	Erbb4	Genic
chr1	69132719	69132739	chr1-432	46.8	-	0	8.5598	0	8.5598	1	LINE	ENSMUSG00000062209.16	Erbb4	TE
chr1	72265486	72265506	chr1-121	78	+	0	5.7065	20.7863	26.4929	2	First intron	ENSMUSG00000118839.1	Gm25360	Genic
chr1	72294239	72294259	chr1-122	109.2	+	0	8.5598	20.7863	29.3462	2	First intron	ENSMUSG00000118790.1	Gm25939	Genic
chr1	72381436	72381456	chr1-433	46.8	+	35.0972	0	0	35.0972	1	Other SINE	ENSMUSG00000026187.10	Xrcc5	TE
chr1	72900012	72900032	chr1-434	46.8	-	11.6991	5.7065	0	17.4056	2	3'UTR	ENSMUSG00000026185.9	Igfbp5	Genic
chr1	74896044	74896064	chr1-77	93.6	+	11.6991	11.4131	5.1966	28.3087	3	3'UTR	ENSMUSG00000089964.2	Gm16582	Genic
chr1	75192023	75192043	chr1-123	109.2	-	0	14.2664	15.5898	29.8561	2	3'UTR	ENSMUSG00000026202.14	Tuba4a	Genic
chr1	75240354	75240374	chr1-438	62.4	-	0	5.7065	10.3932	16.0997	2	3'UTR-distal	ENSMUSG00000026204.16	Ptprn	Genic
chr1	77355885	77355905	chr1-201	62.4	-	46.7962	0	0	46.7962	1	Deep intronic	ENSMUSG00000026235.15	Epha4	Genic
chr1	78684645	78684665	chr1-202	62.4	+	0	2.8533	20.7863	23.6396	2	3'UTR	ENSMUSG00000032883.16	Acsl3	Genic
chr1	79680020	79680040	chr1-440	46.8	-	11.6991	5.7065	0	17.4056	2	3'UTR	ENSMUSG00000073643.12	Wdfy1	Genic
chr1	80243513	80243533	chr1-441	46.8	-	0	8.5598	0	8.5598	1	3'UTR	ENSMUSG00000004364.15	Cul3	Genic
chr1	81282527	81282547	chr1-204	93.6	+	46.7962	2.8533	10.3932	60.0427	3	Deep intronic	ENSMUSG00000054976.15	Nyap2	Genic
chr1	83315994	83316014	chr1-124	78	-	11.6991	14.2664	15.5898	41.5552	3	Deep intronic	ENSMUSG00000026163.18	Sphkap	Genic
chr1	84050623	84050643	chr1-205	62.4	-	11.6991	8.5598	5.1966	25.4554	3	Deep intronic	ENSMUSG00000045658.17	Pid1	Genic
chr1	84348095	84348115	chr1-32	155.9	-	46.7962	34.2392	62.359	143.3945	3	3'UTR	ENSMUSG00000036766.13	Dner	Genic
chr1	84361186	84361206	chr1-450	46.8	-	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000036766.13	Dner	TE
chr1	84751586	84751606	chr1-126	109.2	-	11.6991	17.1196	5.1966	34.0153	3	Other SINE	ENSMUSG00000026219.15	Trip12	TE
chr1	84790195	84790215	chr1-452	46.8	-	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000026219.15	Trip12	TE
chr1	85777688	85777708	chr1-206	62.4	+	0	0	20.7863	20.7863	1	3'UTR	ENSMUSG00000036707.17	Cab39	Genic
chr1	85832292	85832312	chr1-127	78	+	0	0	31.1795	31.1795	1	Alu	ENSMUSG00000026223.16	Itm2c	TE
chr1	85835706	85835726	chr1-128	93.6	+	0	11.4131	15.5898	27.0028	2	3'UTR	ENSMUSG00000026223.16	Itm2c	Genic
chr1	86643906	86643926	chr1-456	46.8	+	0	8.5598	0	8.5598	1	LINE	ENSMUSG00000053333.16	Dis3l2	TE
chr1	87280727	87280747	chr1-457	62.4	+	0	0	20.7863	20.7863	1	Alu	ENSMUSG00000048000.16	Gigyf2	TE
chr1	87300361	87300381	chr1-208	62.4	+	23.3981	2.8533	5.1966	31.448	3	Alu	ENSMUSG00000048000.16	Gigyf2	TE
chr1	87404593	87404613	chr1-458	46.8	-	0	5.7065	5.1966	10.9031	2	3'UTR	ENSMUSG00000026259.15	Ngef	Genic
chr1	87418153	87418173	chr1-459	46.8	+	35.0972	0	0	35.0972	1	Satellite/LC			TE
chr1	87829690	87829710	chr1-209	62.4	+	0	11.4131	0	11.4131	1	Deep intronic	ENSMUSG00000070738.11	Dgkd	Genic
chr1	87868240	87868260	chr1-129	109.2	+	11.6991	11.4131	15.5898	38.7019	3	Proximal intronic	ENSMUSG00000070738.11	Dgkd	Genic
chr1	87868298	87868318	chr1-130	109.2	+	11.6991	19.9729	10.3932	42.0651	3	Proximal intronic	ENSMUSG00000070738.11	Dgkd	Genic
chr1	87868670	87868690	chr1-40	202.7	+	0	25.6794	46.7693	72.4487	2	Deep intronic	ENSMUSG00000070738.11	Dgkd	Genic
chr1	89675294	89675314	chr1-461	62.4	-	0	0	20.7863	20.7863	1	Satellite/LC			TE
chr1	89681053	89681073	chr1-81	109.2	+	11.6991	19.9729	0	31.6719	2	Deep intronic	ENSMUSG00000055013.17	Agap1	Genic
chr1	89683079	89683099	chr1-131	93.6	+	0	17.1196	5.1966	22.3162	2	Deep intronic	ENSMUSG00000055013.17	Agap1	Genic
chr1	89818665	89818685	chr1-211	78	+	23.3981	5.7065	5.1966	34.3012	3	3'UTR	ENSMUSG00000055013.17	Agap1	Genic
chr1	89987122	89987142	chr1-212	93.6	-	0	0	31.1795	31.1795	1	LTR/ERV	ENSMUSG00000026301.17	Iqca1	TE
chr1	91004038	91004058	chr1-464	62.4	+	23.3981	5.7065	0	29.1046	2	Deep intronic	ENSMUSG00000026305.16	Lrrfip1	Genic
chr1	91018516	91018536	chr1-467	46.8	+	11.6991	5.7065	0	17.4056	2	Deep intronic	ENSMUSG00000026305.16	Lrrfip1	Genic
chr1	92777632	92777652	chr1-468	46.8	+	0	8.5598	0	8.5598	1	First intron	ENSMUSG00000034220.8	Gpc1	Genic
chr1	92961876	92961896	chr1-469	78	-	0	2.8533	20.7863	23.6396	2	Deep intronic	ENSMUSG00000014602.16	Kif1a	Genic
chr1	92979793	92979813	chr1-213	62.4	-	0	11.4131	0	11.4131	1	Deep intronic	ENSMUSG00000014602.16	Kif1a	Genic
chr1	92982115	92982135	chr1-470	46.8	-	0	8.5598	0	8.5598	1	CDS	ENSMUSG00000014602.16	Kif1a	Genic
chr1	93916549	93916569	chr1-214	62.4	+	0	11.4131	0	11.4131	1	Satellite/LC	ENSMUSG00000129832.1	""	TE
chr1	97791001	97791021	chr1-474	62.4	-	0	2.8533	15.5898	18.443	2	First intron	ENSMUSG00000026335.17	Pam	Genic
chr1	97977578	97977598	chr1-41	327.5	+	23.3981	0	98.7351	122.1332	2	Other exon	ENSMUSG00000119063.1	Gm24465	Genic
chr1	99730115	99730135	chr1-82	93.6	+	0	17.1196	0	17.1196	1	First intron	ENSMUSG00000067028.12	Cntnap5b	Genic
chr1	100107894	100107914	chr1-83	202.7	-	0	17.1196	46.7693	63.8889	2	Deep intronic			Genic
chr1	102555942	102555962	chr1-475	93.6	-	0	14.2664	25.9829	40.2493	2	Intergenic			Intergenic
chr1	102556040	102556060	chr1-476	109.2	-	11.6991	5.7065	20.7863	38.1919	3	Intergenic			Intergenic
chr1	103772398	103772418	chr1-477	62.4	+	0	2.8533	15.5898	18.443	2	Intergenic			Intergenic
chr1	104476194	104476214	chr1-215	109.2	-	0	0	36.3761	36.3761	1	Satellite/LC			TE
chr1	105240796	105240816	chr1-216	62.4	-	46.7962	2.8533	0	49.6495	2	LINE	ENSMUSG00000047496.7	Rnf152	TE
chr1	105261377	105261397	chr1-84	93.6	-	11.6991	19.9729	20.7863	52.4583	3	Other SINE	ENSMUSG00000047496.7	Rnf152	TE
chr1	105261711	105261731	chr1-132	93.6	-	35.0972	5.7065	10.3932	51.1969	3	First intron	ENSMUSG00000047496.7	Rnf152	Genic
chr1	105649544	105649564	chr1-85	109.2	+	0	11.4131	20.7863	32.1994	2	Deep intronic	ENSMUSG00000026319.14	Relch	Genic
chr1	105919972	105919992	chr1-480	46.8	+	0	8.5598	0	8.5598	1	First intron	ENSMUSG00000038866.16	Zcchc2	Genic
chr1	106708031	106708051	chr1-481	46.8	-	0	0	15.5898	15.5898	1	First intron	ENSMUSG00000009907.18	Vps4b	Genic
