chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation
chr10	12115402	12115403	CITS_34[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	Deep intronic	ENSG00000181192.13		Genic
chr10	12115497	12115498	CITS_35[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	Deep intronic	ENSG00000181192.13		Genic
chr10	12140059	12140060	CITS_36[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	LTR/ERV	ENSG00000065665.22		TE
chr10	12151926	12151927	CITS_37[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	Deep intronic	ENSG00000065665.22		Genic
chr10	12228239	12228240	CITS_38[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	Deep intronic	ENSG00000151465.15		Genic
chr10	12281907	12281908	CITS_39[gene=chr10_f_c592][PH=8][PH0=0.00][P=1.00e-100]	8	+	Alu			TE
chr10	12370746	12370747	CITS_40[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	Alu	ENSG00000183049.14	CAMK1D	TE
chr10	13193169	13193170	CITS_41[gene=chr10_f_c686][PH=3][PH0=0.00][P=3.38e-04]	3	+	Deep intronic	ENSG00000065328.18		Genic
chr10	13217317	13217318	CITS_42[gene=chr10_f_c686][PH=5][PH0=0.00][P=1.00e-100]	5	+	3'UTR-distal	ENSG00000272055.1	RNU6-6P	Genic
chr10	13368291	13368292	CITS_43[gene=chr10_f_c686][PH=3][PH0=0.00][P=3.38e-04]	3	+	Alu			TE
chr10	13634358	13634359	CITS_44[gene=chr10_f_c686][PH=3][PH0=0.00][P=3.38e-04]	3	+	3'UTR-distal			Genic
chr10	13645477	13645478	CITS_45[gene=chr10_f_c686][PH=3][PH0=0.00][P=3.38e-04]	3	+	Deep intronic			Genic
chr10	14894309	14894310	CITS_46[gene=chr10_f_c743][PH=3][PH0=0.00][P=8.01e-04]	3	+	First intron	ENSG00000152455.17		Genic
chr10	14903559	14903560	CITS_47[gene=chr10_f_c743][PH=5][PH0=0.00][P=1.00e-15]	5	+	3'UTR	ENSG00000152455.17		Genic
chr10	14908316	14908317	CITS_48[gene=chr10_f_c743][PH=4][PH0=0.00][P=4.25e-07]	4	+	3'UTR-distal			Genic
chr10	15086195	15086196	CITS_49[gene=chr10_f_c743][PH=3][PH0=0.00][P=8.01e-04]	3	+	Alu			TE
chr10	15101092	15101093	CITS_50[gene=chr10_f_c743][PH=3][PH0=0.00][P=8.01e-04]	3	+	First intron	ENSG00000152464.16		Genic
chr10	15197124	15197125	CITS_51[gene=chr10_f_c743][PH=20][PH0=0.00][P=1.00e-100]	20	+	Deep intronic	ENSG00000304413.1	""	Genic
chr10	16440241	16440242	CITS_52[gene=chr10_f_c843][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	ENSG00000165983.16		TE
chr10	16453062	16453063	CITS_53[gene=chr10_f_c843][PH=3][PH0=0.00][P=1.17e-04]	3	+	Satellite/LC	ENSG00000165983.16		TE
chr10	17231815	17231816	CITS_54[gene=chr10_f_c847][PH=3][PH0=0.00][P=1.13e-05]	3	+	First intron	ENSG00000026025.17		Genic
chr10	17403505	17403506	CITS_55[gene=chr10_f_c871][PH=3][PH0=0.07][P=6.53e-03]	3	+	Deep intronic	ENSG00000204832.11	ST8SIA6-AS1	Genic
chr10	18295872	18295873	CITS_56[gene=chr10_f_c885][PH=3][PH0=0.00][P=9.27e-04]	3	+	First intron	ENSG00000165995.24	CACNB2	Genic
chr10	18774623	18774624	CITS_57[gene=chr10_f_c885][PH=5][PH0=0.00][P=1.00e-100]	5	+	Other SINE	ENSG00000234244.3	""	TE
chr10	20029688	20029689	CITS_58[gene=chr10_f_c890][PH=3][PH0=0.00][P=2.03e-04]	3	+	Deep intronic	ENSG00000120594.18		Genic
chr10	21554995	21554996	CITS_59[gene=chr10_f_c949][PH=5][PH0=0.00][P=1.64e-08]	5	+	Alu	ENSG00000078403.18		TE
chr10	21565772	21565773	CITS_60[gene=chr10_f_c949][PH=4][PH0=0.00][P=1.79e-05]	4	+	Alu	ENSG00000078403.18		TE
chr10	24745584	24745585	CITS_61[gene=chr10_f_c955][PH=4][PH0=0.00][P=6.76e-09]	4	+	Alu			TE
chr10	24745815	24745816	CITS_62[gene=chr10_f_c955][PH=3][PH0=0.00][P=4.03e-05]	3	+	Intergenic			Intergenic
chr10	24884006	24884007	CITS_63[gene=chr10_f_c955][PH=4][PH0=0.00][P=6.76e-09]	4	+	Alu			TE
chr10	26531128	26531129	CITS_65[gene=chr10_f_c998][PH=3][PH0=0.00][P=1.35e-04]	3	+	Alu	ENSG00000077420.18		TE
chr10	26696043	26696044	CITS_66[gene=chr10_f_c998][PH=6][PH0=0.00][P=1.00e-100]	6	+	Alu			TE
chr10	27511567	27511568	CITS_67[gene=chr10_f_c1016][PH=3][PH0=0.00][P=8.76e-05]	3	+	LINE	ENSG00000099246.20		TE
chr10	27595869	27595870	CITS_68[gene=chr10_f_c1047][PH=3][PH0=0.00][P=1.79e-04]	3	+	Deep intronic			Genic
chr10	28038949	28038950	CITS_69[gene=chr10_f_c1071][PH=2][PH0=0.00][P=1.74e-03]	2	+	LINE	ENSG00000233472.1	""	TE
chr10	28534683	28534684	CITS_70[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	First intron	ENSG00000095787.27		Genic
chr10	28535892	28535893	CITS_71[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	Proximal intronic	ENSG00000095787.27		Genic
chr10	28539418	28539419	CITS_72[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28548576	28548577	CITS_73[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28548838	28548839	CITS_74[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28554034	28554035	CITS_75[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	Alu	ENSG00000095787.27		TE
chr10	28554178	28554179	CITS_76[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28556443	28556444	CITS_77[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	LINE	ENSG00000095787.27		TE
chr10	28556920	28556921	CITS_78[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	LINE	ENSG00000095787.27		TE
chr10	28561984	28561985	CITS_79[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28563459	28563460	CITS_80[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28564980	28564981	CITS_81[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	LINE	ENSG00000095787.27		TE
chr10	28589117	28589118	CITS_82[gene=chr10_f_c1082][PH=3][PH0=0.00][P=2.02e-03]	3	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28646640	28646641	CITS_83[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Alu			TE
chr10	28667966	28667967	CITS_84[gene=chr10_f_c1082][PH=11][PH0=0.00][P=1.00e-100]	11	+	Other exon	ENSG00000207483.1	RNU6-1067P	Genic
chr10	29176001	29176002	CITS_85[gene=chr10_f_c1096][PH=2][PH0=0.00][P=3.45e-03]	2	+	Alu			TE
chr10	29417115	29417116	CITS_86[gene=chr10_f_c1098][PH=3][PH0=0.00][P=1.06e-04]	3	+	LINE	ENSG00000291093.2	SVIL-AS1	TE
chr10	31639151	31639152	CITS_87[gene=chr10_f_c1187][PH=5][PH0=0.28][P=3.01e-03]	5	+	LINE			TE
chr10	33865380	33865381	CITS_88[gene=chr10_f_c1296][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu			TE
chr10	34536471	34536472	CITS_89[gene=chr10_f_c1296][PH=4][PH0=0.00][P=1.28e-09]	4	+	Deep intronic			Genic
chr10	34597721	34597722	CITS_90[gene=chr10_f_c1296][PH=4][PH0=0.00][P=1.28e-09]	4	+	Deep intronic			Genic
chr10	35338117	35338118	CITS_91[gene=chr10_f_c1299][PH=3][PH0=0.00][P=1.22e-03]	3	+	First intron	ENSG00000108100.19		Genic
chr10	35369632	35369633	CITS_92[gene=chr10_f_c1299][PH=3][PH0=0.00][P=1.22e-03]	3	+	First intron	ENSG00000108100.19		Genic
chr10	35372868	35372869	CITS_93[gene=chr10_f_c1299][PH=3][PH0=0.00][P=1.22e-03]	3	+	Alu	ENSG00000108100.19		TE
chr10	35609709	35609710	CITS_94[gene=chr10_f_c1299][PH=3][PH0=0.00][P=1.22e-03]	3	+	3'UTR-distal			Genic
chr10	37991316	37991317	CITS_95[gene=chr10_f_c1338][PH=3][PH0=0.00][P=3.75e-04]	3	+	Alu	ENSG00000226447.2	ZNF25-DT	TE
chr10	38020262	38020263	CITS_96[gene=chr10_f_c1338][PH=3][PH0=0.00][P=3.75e-04]	3	+	LINE	ENSG00000189180.17		TE
chr10	38105738	38105739	CITS_97[gene=chr10_f_c1338][PH=3][PH0=0.00][P=3.75e-04]	3	+	LINE	ENSG00000075407.20		TE
chr10	38417172	38417173	CITS_98[gene=chr10_f_c1412][PH=2][PH0=0.00][P=5.82e-03]	2	+	Other exon	ENSG00000276805.3	""	Genic
chr10	38754073	38754074	CITS_99[gene=chr10_f_c1430][PH=2][PH0=0.00][P=4.20e-03]	2	+	Deep intronic			Genic
chr10	39013910	39013911	CITS_100[gene=chr10_f_c1430][PH=2][PH0=0.00][P=4.20e-03]	2	+	Alu			TE
chr10	42734122	42734123	CITS_101[gene=chr10_f_c1522][PH=20][PH0=0.00][P=1.00e-100]	20	+	LINE	ENSG00000230425.1	RSU1P1	TE
chr10	43155069	43155070	CITS_102[gene=chr10_f_c1609][PH=3][PH0=0.00][P=4.22e-05]	3	+	5'UTR	ENSG00000169826.9		Genic
chr10	43449855	43449856	CITS_103[gene=chr10_f_c1609][PH=4][PH0=0.00][P=7.76e-09]	4	+	Alu	ENSG00000243660.13		TE
chr10	44264303	44264304	CITS_104[gene=chr10_f_c1691][PH=2][PH0=0.00][P=3.92e-03]	2	+	Deep intronic			Genic
chr10	45137329	45137330	CITS_105[gene=chr10_f_c1724][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	ENSG00000235690.2	CUBNP3	TE
chr10	45980481	45980482	CITS_106[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	First intron	ENSG00000265354.5		Genic
chr10	45984172	45984173	CITS_107[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	LINE	ENSG00000265354.5		TE
chr10	45990738	45990739	CITS_108[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	ENSG00000265354.5		TE
chr10	45990766	45990767	CITS_109[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	LINE	ENSG00000265354.5		TE
chr10	45991863	45991864	CITS_110[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	First intron	ENSG00000265354.5		Genic
chr10	45995656	45995657	CITS_111[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	First intron	ENSG00000265354.5		Genic
chr10	45995878	45995879	CITS_112[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	First intron	ENSG00000265354.5		Genic
chr10	46792138	46792139	CITS_113[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic
chr10	46798609	46798610	CITS_114[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic
chr10	46799717	46799718	CITS_115[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic
chr10	46799860	46799861	CITS_116[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	46800210	46800211	CITS_117[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	46804238	46804239	CITS_118[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	46804369	46804370	CITS_119[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	46806478	46806479	CITS_120[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	46807856	46807857	CITS_121[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	ENSG00000291069.2	BMS1P1	TE
chr10	46808981	46808982	CITS_122[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	LINE	ENSG00000291069.2	BMS1P1	TE
chr10	46811638	46811639	CITS_123[gene=chr10_f_c1742][PH=3][PH0=0.00][P=1.44e-03]	3	+	Proximal intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	48800907	48800908	CITS_124[gene=chr10_f_c1784][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	ENSG00000128815.21		TE
chr10	49502539	49502540	CITS_125[gene=chr10_f_c1809][PH=2][PH0=0.00][P=4.28e-03]	2	+	Other SINE			TE
chr10	49950067	49950068	CITS_126[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49953774	49953775	CITS_127[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	LINE	ENSG00000178440.9	TIMM23B-AGAP6	TE
chr10	49957430	49957431	CITS_128[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Alu	ENSG00000178440.9	TIMM23B-AGAP6	TE
chr10	49959607	49959608	CITS_129[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49960366	49960367	CITS_130[gene=chr10_f_c1815][PH=5][PH0=0.00][P=1.25e-09]	5	+	LINE	ENSG00000178440.9	TIMM23B-AGAP6	TE
chr10	49960394	49960395	CITS_131[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	LINE	ENSG00000178440.9	TIMM23B-AGAP6	TE
chr10	49961497	49961498	CITS_132[gene=chr10_f_c1815][PH=4][PH0=0.00][P=1.89e-06]	4	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49968129	49968130	CITS_133[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49968351	49968352	CITS_134[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49969058	49969059	CITS_135[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49975541	49975542	CITS_136[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49976476	49976477	CITS_137[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	3'UTR	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49976786	49976787	CITS_138[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	3'UTR	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49980061	49980062	CITS_139[gene=chr10_f_c1815][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR-distal	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49981121	49981122	CITS_140[gene=chr10_f_c1815][PH=4][PH0=0.00][P=1.89e-06]	4	+	3'UTR-distal	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	50187193	50187194	CITS_141[gene=chr10_f_c1815][PH=3][PH0=0.00][P=2.74e-03]	3	+	Deep intronic			Genic
chr10	50876771	50876772	CITS_142[gene=chr10_f_c1831][PH=8][PH0=0.00][P=1.00e-100]	8	+	LTR/ERV			TE
chr10	51692777	51692778	CITS_143[gene=chr10_f_c1923][PH=3][PH0=0.00][P=1.09e-03]	3	+	Deep intronic	ENSG00000185532.20	PRKG1	Genic
chr10	54851736	54851737	CITS_144[gene=chr10_f_c1957][PH=4][PH0=0.00][P=1.00e-100]	4	+	Alu			TE
chr10	60783551	60783552	CITS_145[gene=chr10_f_c2230][PH=3][PH0=0.00][P=1.97e-04]	3	+	First intron	ENSG00000170312.18		Genic
chr10	60794351	60794352	CITS_146[gene=chr10_f_c2230][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR	ENSG00000170312.18		Genic
chr10	61417469	61417470	CITS_147[gene=chr10_f_c2230][PH=3][PH0=0.00][P=1.97e-04]	3	+	Deep intronic			Genic
chr10	61969540	61969541	CITS_148[gene=chr10_f_c2230][PH=3][PH0=0.00][P=1.97e-04]	3	+	Deep intronic	ENSG00000150347.17	ARID5B	Genic
chr10	63296177	63296178	CITS_149[gene=chr10_f_c2230][PH=3][PH0=0.00][P=1.97e-04]	3	+	Alu			TE
chr10	63533883	63533884	CITS_150[gene=chr10_f_c2230][PH=3][PH0=0.00][P=1.97e-04]	3	+	Alu	ENSG00000165476.15		TE
chr10	63640840	63640841	CITS_151[gene=chr10_f_c2230][PH=3][PH0=0.00][P=1.97e-04]	3	+	Alu	ENSG00000286373.2	""	TE
chr10	64388130	64388131	CITS_152[gene=chr10_f_c2248][PH=3][PH0=0.00][P=1.13e-06]	3	+	LTR/ERV	ENSG00000228566.3	""	TE
chr10	65494517	65494518	CITS_153[gene=chr10_f_c2327][PH=3][PH0=0.00][P=3.25e-04]	3	+	Alu			TE
chr10	65681245	65681246	CITS_154[gene=chr10_f_c2327][PH=3][PH0=0.00][P=3.25e-04]	3	+	Deep intronic	ENSG00000228065.14	LINC01515	Genic
chr10	67900308	67900309	CITS_155[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000096717.13		TE
chr10	68209867	68209868	CITS_156[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000138347.17	MYPN	TE
chr10	68333171	68333172	CITS_157[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	5'UTR	ENSG00000096746.19		Genic
chr10	68334175	68334176	CITS_158[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	5'UTR	ENSG00000096746.19		Genic
chr10	68340976	68340977	CITS_159[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Deep intronic	ENSG00000096746.19		Genic
chr10	68589846	68589847	CITS_160[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000138336.10		TE
chr10	68614771	68614772	CITS_161[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000138336.10		TE
chr10	68617857	68617858	CITS_162[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Deep intronic	ENSG00000138336.10		Genic
chr10	68745815	68745816	CITS_163[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000060339.15		TE
chr10	68745892	68745893	CITS_164[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000060339.15		TE
chr10	68753293	68753294	CITS_165[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Deep intronic	ENSG00000060339.15		Genic
chr10	68753371	68753372	CITS_166[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Deep intronic	ENSG00000060339.15		Genic
chr10	68753987	68753988	CITS_167[gene=chr10_f_c2352][PH=6][PH0=0.00][P=1.00e-100]	6	+	CDS	ENSG00000060339.15		Genic
chr10	68755168	68755169	CITS_168[gene=chr10_f_c2352][PH=9][PH0=0.00][P=1.00e-100]	9	+	Proximal intronic	ENSG00000060339.15		Genic
chr10	68758696	68758697	CITS_169[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000060339.15		TE
chr10	68777369	68777370	CITS_171[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	LINE	ENSG00000060339.15		TE
chr10	68913976	68913977	CITS_172[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	First intron	ENSG00000107625.15		Genic
chr10	68968329	68968330	CITS_173[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000165732.15		TE
chr10	68971171	68971172	CITS_174[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	LINE	ENSG00000165732.15		TE
chr10	68971231	68971232	CITS_175[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	LINE	ENSG00000165732.15		TE
chr10	68971423	68971424	CITS_176[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Alu	ENSG00000165732.15		TE
chr10	69136671	69136672	CITS_177[gene=chr10_f_c2352][PH=4][PH0=0.00][P=3.24e-06]	4	+	LINE	ENSG00000122958.16		TE
chr10	69192119	69192120	CITS_178[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Deep intronic	ENSG00000156502.15		Genic
chr10	69195424	69195425	CITS_179[gene=chr10_f_c2352][PH=3][PH0=0.00][P=6.01e-03]	3	+	Deep intronic	ENSG00000156502.15		Genic
chr10	69477309	69477310	CITS_180[gene=chr10_f_c2352][PH=12][PH0=0.00][P=1.00e-100]	12	+	Alu	ENSG00000099282.11		TE
chr10	70352230	70352231	CITS_181[gene=chr10_f_c2416][PH=9][PH0=0.00][P=1.00e-100]	9	+	Deep intronic			Genic
