chr	start	end	name	score	strand	NormedTC_ENCFF289OFA	NormedTC_ENCFF647KDW	NormedTC_HepG2_RBFOX2	BC_HepG2_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	1036258	1036278	chr1-1101	19.7	+	3.3261	3.0903	6.4164	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036389	1036409	chr1-965	26.7	+	3.5637	4.5166	8.0803	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036942	1036962	chr1-1102	20.9	+	3.5637	2.6149	6.1786	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1037152	1037172	chr1-700	23.2	+	3.3261	3.8035	7.1296	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1037559	1037579	chr1-1686	19.7	+	2.8509	4.2789	7.1299	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038026	1038046	chr1-866	22	+	2.3758	3.3281	5.7038	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038086	1038106	chr1-790	30.1	+	4.2764	3.8035	8.0799	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038700	1038720	chr1-791	30.1	+	6.8898	5.7052	12.595	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038849	1038869	chr1-701	39.4	+	12.5916	6.6561	19.2477	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038922	1038942	chr1-201	63.7	+	12.3541	8.7956	21.1496	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1039235	1039255	chr1-312	59.1	+	11.6413	9.9842	21.6255	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1039582	1039602	chr1-229	42.9	+	5.9394	5.7052	11.6447	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040029	1040049	chr1-966	42.9	+	6.4146	5.2298	11.6444	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040142	1040162	chr1-702	31.3	+	5.2267	6.4184	11.6451	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040329	1040349	chr1-472	32.5	+	9.2655	7.1315	16.3971	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040478	1040498	chr1-629	30.1	+	7.8401	7.8447	15.6848	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040561	1040581	chr1-436	33.6	+	6.6522	6.4184	13.0706	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1041132	1041152	chr1-525	30.1	+	4.0388	5.4675	9.5063	2	Satellite/LC	ENSG00000188157.16	AGRN	TE
chr1	1041476	1041496	chr1-3387	13.9	+	2.1382	2.3772	4.5154	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1042172	1042192	chr1-867	27.8	+	4.0388	4.2789	8.3178	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042300	1042320	chr1-246	46.4	+	12.3541	18.0666	30.4206	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042458	1042478	chr1-264	49.8	+	8.7904	7.1315	15.9219	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042551	1042571	chr1-313	38.2	+	6.4146	10.6973	17.1119	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042913	1042933	chr1-101	107.8	+	19.719	22.8209	42.5399	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1043177	1043197	chr1-247	47.5	+	8.3152	11.1727	19.488	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1045666	1045686	chr1-967	18.5	+	1.663	8.0824	9.7455	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1045918	1045938	chr1-1275	18.5	+	3.3261	2.8526	6.1787	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1046356	1046376	chr1-1973	19.7	+	1.4255	4.9921	6.4175	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1046814	1046834	chr1-1104	25.5	+	1.4255	6.4184	7.8439	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1046988	1047008	chr1-630	33.6	+	5.7019	7.8447	13.5466	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047088	1047108	chr1-579	27.8	+	3.0885	5.4675	8.556	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047163	1047183	chr1-1276	20.9	+	2.8509	4.7544	7.6053	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047789	1047809	chr1-1690	12.7	+	1.4255	2.8526	4.2781	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1049577	1049597	chr1-2786	16.2	+	0.7127	2.3772	3.0899	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1050170	1050190	chr1-631	30.1	+	4.2764	5.2298	9.5062	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1050355	1050375	chr1-1105	18.5	+	2.8509	3.0903	5.9413	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1050729	1050749	chr1-2788	15.1	+	1.1879	2.3772	3.5651	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1051419	1051439	chr1-1106	22	+	5.9394	6.6561	12.5956	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1051866	1051886	chr1-248	60.3	+	9.028	10.6973	19.7253	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052073	1052093	chr1-87	76.5	+	12.3541	10.4596	22.8136	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052188	1052208	chr1-314	61.4	+	9.7407	12.3613	22.102	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052276	1052296	chr1-265	42.9	+	8.5528	7.3693	15.9221	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052616	1052636	chr1-437	45.2	+	11.4037	4.7544	16.1581	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053198	1053218	chr1-4	460.1	+	88.8542	68.2251	157.0792	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053318	1053338	chr1-6	443.9	+	76.2625	70.84	147.1025	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053418	1053438	chr1-12	271.2	+	41.3386	39.4612	80.7998	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054650	1054670	chr1-127	84.6	+	8.7904	10.4596	19.25	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054711	1054731	chr1-703	35.9	+	5.2267	5.4675	10.6942	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054824	1054844	chr1-527	27.8	+	4.7516	4.2789	9.0305	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1054896	1054916	chr1-633	26.7	+	5.4643	4.7544	10.2187	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1055676	1055696	chr1-868	24.3	+	3.5637	4.5166	8.0803	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055782	1055802	chr1-1976	16.2	+	2.3758	3.5658	5.9416	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055884	1055904	chr1-2320	13.9	+	1.9006	2.1395	4.0401	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1059192	1059212	chr1-1280	18.5	+	1.663	3.5658	5.2288	2	3'UTR-distal			Genic
chr1	1060480	1060500	chr1-5234	10.4	+	2.3758	1.4263	3.8021	2	3'UTR-distal	ENSG00000291156.2	""	Genic
chr1	1061476	1061496	chr1-5235	8.11	+	1.9006	2.8526	4.7532	2	3'UTR-distal	ENSG00000291156.2	""	Genic
chr1	1063484	1063504	chr1-1454	16.2	+	3.0885	3.3281	6.4166	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1064415	1064435	chr1-1108	20.9	+	2.6134	5.7052	8.3186	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1064526	1064546	chr1-1109	19.7	+	4.9891	2.8526	7.8418	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1064662	1064682	chr1-634	32.5	+	3.5637	5.4675	9.0312	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1065298	1065318	chr1-971	25.5	+	4.7516	3.0903	7.8419	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1065431	1065451	chr1-2323	20.9	+	3.8012	3.8035	7.6047	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1065518	1065538	chr1-1696	22	+	3.8012	4.7544	8.5556	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1087240	1087260	chr1-2324	16.2	-	1.663	1.664	3.3271	2	Deep intronic	ENSG00000131591.19		Genic
chr1	1088728	1088748	chr1-5240	9.27	-	1.4255	0.7132	2.1386	2	Deep intronic	ENSG00000131591.19		Genic
chr1	1107096	1107116	chr1-5241	8.11	-	1.9006	0.9509	2.8515	2	LTR/ERV	ENSG00000131591.19		TE
chr1	1110680	1110700	chr1-4196	9.27	-	1.4255	0.9509	2.3763	2	First intron	ENSG00000131591.19		Genic
chr1	1110748	1110768	chr1-3401	9.27	-	2.3758	1.4263	3.8021	2	First intron	ENSG00000131591.19		Genic
chr1	1112383	1112403	chr1-473	35.9	-	9.2655	5.943	15.2085	2	5'UTR	ENSG00000131591.19		Genic
chr1	1112488	1112508	chr1-474	29	-	9.7407	6.8938	16.6345	2	5'UTR	ENSG00000131591.19		Genic
chr1	1112574	1112594	chr1-635	40.6	-	9.028	4.2789	13.3069	2	5'UTR	ENSG00000131591.19		Genic
chr1	1114315	1114335	chr1-5243	10.4	-	1.4255	1.1886	2.6141	2	Alu	ENSG00000131591.19		TE
chr1	1115274	1115294	chr1-4198	11.6	-	1.663	2.6149	4.2779	2	First intron	ENSG00000131591.19		Genic
chr1	1115480	1115500	chr1-3403	12.7	-	2.8509	2.1395	4.9904	2	First intron	ENSG00000131591.19		Genic
chr1	1115996	1116016	chr1-704	26.7	-	4.9891	5.4675	10.4567	2	Satellite/LC	ENSG00000131591.19		TE
chr1	1129080	1129100	chr1-4199	10.4	+	2.1382	0.7132	2.8514	2	Deep intronic			Genic
chr1	1129307	1129327	chr1-5244	8.11	+	0.4752	1.1886	1.6637	2	Deep intronic			Genic
chr1	1134163	1134183	chr1-6766	6.95	+	0.9503	1.1886	2.1389	2	Deep intronic			Genic
chr1	1136243	1136263	chr1-3404	10.4	+	2.1382	0.7132	2.8514	2	TSS-proximal			Genic
chr1	1136459	1136479	chr1-5245	10.4	+	2.1382	1.4263	3.5645	2	TSS-proximal			Genic
chr1	1138833	1138853	chr1-6768	8.11	+	1.1879	1.1886	2.3765	2	First intron	ENSG00000223823.1	LINC01342	Genic
chr1	1141853	1141873	chr1-9017	5.79	+	0.9503	0.7132	1.6635	2	Deep intronic	ENSG00000223823.1	LINC01342	Genic
chr1	1142810	1142830	chr1-6770	8.11	+	0.7127	0.9509	1.6636	2	Other exon	ENSG00000223823.1	LINC01342	Genic
chr1	1146931	1146951	chr1-6771	6.95	+	0.7127	1.1886	1.9013	2	Deep intronic			Genic
chr1	1150203	1150223	chr1-3405	10.4	+	0.9503	1.4263	2.3766	2	Deep intronic			Genic
chr1	1156581	1156601	chr1-6772	6.95	+	0.4752	0.9509	1.426	2	Deep intronic			Genic
chr1	1166054	1166074	chr1-2326	12.7	+	0.9503	3.0903	4.0406	2	Deep intronic			Genic
chr1	1166203	1166223	chr1-4200	12.7	+	0.7127	3.3281	4.0408	2	TSS-proximal			Genic
chr1	1166759	1166779	chr1-2797	15.1	+	0.9503	3.3281	4.2784	2	TSS-proximal			Genic
chr1	1166847	1166867	chr1-2327	13.9	+	1.9006	3.3281	5.2287	2	TSS-proximal			Genic
chr1	1169625	1169645	chr1-5251	9.27	+	0.4752	1.9017	2.3769	2	Other exon	ENSG00000272141.1	""	Genic
chr1	1219036	1219056	chr1-972	24.3	-	2.3758	4.0412	6.417	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1219197	1219217	chr1-438	35.9	-	4.9891	6.1807	11.1698	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1219328	1219348	chr1-439	30.1	-	4.2764	8.5578	12.8343	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1219393	1219413	chr1-367	33.6	-	4.2764	6.1807	10.4571	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1219665	1219685	chr1-440	34.8	-	5.9394	6.1807	12.1201	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1220394	1220414	chr1-1281	32.5	-	2.6134	6.1807	8.794	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1220484	1220504	chr1-475	37.1	-	3.0885	6.4184	9.5069	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1220600	1220620	chr1-156	49.8	-	6.6522	11.6482	18.3004	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1221612	1221632	chr1-9035	8.11	-	0.4752	1.1886	1.6637	2	Alu	ENSG00000078808.21		TE
chr1	1222333	1222353	chr1-1111	18.5	-	4.2764	5.943	10.2194	2	Deep intronic	ENSG00000078808.21		Genic
chr1	1228821	1228841	chr1-4204	9.27	-	0.2376	2.6149	2.8525	2	5'UTR	ENSG00000078808.21		Genic
chr1	1229580	1229600	chr1-6786	8.11	-	0.2376	1.4263	1.6639	2	5'UTR	ENSG00000078808.21		Genic
chr1	1230697	1230717	chr1-12598	4.64	-	0.9503	0	0.9503	1	5'UTR	ENSG00000078808.21		Genic
chr1	1236370	1236390	chr1-3407	12.7	-	1.1879	2.3772	3.5651	2	3'UTR-distal	ENSG00000078808.21		Genic
chr1	1238260	1238280	chr1-3408	10.4	-	0.4752	1.9017	2.3769	2	3'UTR-distal	ENSG00000078808.21		Genic
chr1	1243211	1243231	chr1-5261	8.11	+	1.1879	0.7132	1.901	2	3'UTR-distal			Genic
chr1	1243810	1243830	chr1-706	26.7	-	4.0388	7.3693	11.4081	2	Satellite/LC	ENSG00000184163.3	C1QTNF12	TE
chr1	1244716	1244736	chr1-5263	8.11	-	0.9503	0.9509	1.9012	2	3'UTR-distal	ENSG00000184163.3	C1QTNF12	Genic
chr1	1254760	1254780	chr1-4207	9.27	-	0.9503	3.0903	4.0406	2	3'UTR	ENSG00000160087.22		Genic
chr1	1255755	1255775	chr1-2328	15.1	-	1.4255	3.0903	4.5158	2	Proximal intronic	ENSG00000160087.22		Genic
chr1	1256413	1256433	chr1-9045	5.79	-	0.7127	0.4754	1.1882	2	Deep intronic	ENSG00000160087.22		Genic
chr1	1257366	1257386	chr1-794	29	-	3.3261	3.3281	6.6541	2	Satellite/LC	ENSG00000160087.22		TE
chr1	1257516	1257536	chr1-3412	12.7	-	2.6134	1.664	4.2774	2	Proximal intronic	ENSG00000160087.22		Genic
chr1	1258415	1258435	chr1-5265	10.4	-	1.9006	1.1886	3.0892	2	Deep intronic	ENSG00000160087.22		Genic
chr1	1258592	1258612	chr1-3414	11.6	-	1.4255	2.1395	3.5649	2	Deep intronic	ENSG00000160087.22		Genic
chr1	1258959	1258979	chr1-4208	13.9	-	1.663	1.9017	3.5648	2	Deep intronic	ENSG00000160087.22		Genic
chr1	1259707	1259727	chr1-2803	12.7	-	1.1879	1.664	2.8519	2	LTR/ERV	ENSG00000160087.22		TE
chr1	1260523	1260543	chr1-5266	8.11	-	0.4752	1.1886	1.6637	2	Deep intronic	ENSG00000160087.22		Genic
chr1	1261926	1261946	chr1-6799	8.11	-	1.1879	1.1886	2.3765	2	Alu	ENSG00000160087.22		TE
chr1	1267529	1267549	chr1-1112	17.4	-	4.2764	3.5658	7.8422	2	First intron	ENSG00000160087.22		Genic
chr1	1267654	1267674	chr1-2329	20.9	-	1.9006	3.0903	4.991	2	First intron	ENSG00000160087.22		Genic
chr1	1268129	1268149	chr1-795	26.7	-	4.0388	4.2789	8.3178	2	5'UTR	ENSG00000160087.22		Genic
chr1	1268439	1268459	chr1-1283	25.5	-	4.2764	3.8035	8.0799	2	5'UTR	ENSG00000160087.22		Genic
chr1	1268760	1268780	chr1-1978	22	-	3.0885	3.8035	6.892	2	5'UTR	ENSG00000160087.22		Genic
chr1	1269089	1269109	chr1-1458	17.4	-	3.3261	4.0412	7.3673	2	First intron	ENSG00000160087.22		Genic
chr1	1269289	1269309	chr1-707	30.1	-	5.4643	6.4184	11.8827	2	First intron	ENSG00000160087.22		Genic
chr1	1269829	1269849	chr1-974	24.3	-	4.2764	2.8526	7.129	2	LINE	ENSG00000160087.22		TE
chr1	1270100	1270120	chr1-975	32.5	-	4.2764	3.5658	7.8422	2	LTR/ERV	ENSG00000160087.22		TE
chr1	1270480	1270500	chr1-976	22	-	4.0388	2.3772	6.416	2	First intron	ENSG00000160087.22		Genic
chr1	1270817	1270837	chr1-636	35.9	-	6.8898	5.943	12.8327	2	First intron	ENSG00000160087.22		Genic
chr1	1272615	1272635	chr1-1459	16.2	-	3.3261	3.5658	6.8919	2	5'UTR	ENSG00000160087.22		Genic
chr1	1272909	1272929	chr1-2332	16.2	-	3.3261	5.2298	8.5559	2	5'UTR	ENSG00000160087.22		Genic
chr1	1273340	1273360	chr1-2334	16.2	-	1.9006	2.6149	4.5155	2	5'UTR	ENSG00000160087.22		Genic
chr1	1274495	1274515	chr1-5275	11.6	+	0.9503	3.0903	4.0406	2	Satellite/LC	ENSG00000230415.2	LINC01786	TE
chr1	1279183	1279203	chr1-5277	6.95	+	1.1879	1.664	2.8519	2	LTR/ERV	ENSG00000230415.2	LINC01786	TE
chr1	1279248	1279268	chr1-4211	10.4	+	1.1879	2.6149	3.8028	2	LTR/ERV	ENSG00000230415.2	LINC01786	TE
chr1	1281647	1281667	chr1-2808	15.1	+	1.9006	2.8526	4.7532	2	First intron	ENSG00000162572.21	SCNN1D	Genic
chr1	1282526	1282546	chr1-2335	11.6	+	1.4255	1.664	3.0895	2	First intron	ENSG00000162572.21	SCNN1D	Genic
chr1	1283343	1283363	chr1-6810	8.11	+	1.4255	1.4263	2.8518	2	First intron	ENSG00000162572.21	SCNN1D	Genic
chr1	1284367	1284387	chr1-1700	13.9	+	2.8509	1.664	4.515	2	Proximal intronic	ENSG00000162572.21	SCNN1D	Genic
chr1	1291319	1291339	chr1-12645	4.64	+	0.2376	0.7132	0.9507	2	CDS	ENSG00000162572.21	SCNN1D	Genic
chr1	1294188	1294208	chr1-1114	18.5	-	1.1879	4.0412	5.2291	2	CDS	ENSG00000131584.20		Genic
chr1	1294898	1294918	chr1-441	32.5	-	4.2764	7.8447	12.1211	2	Proximal intronic	ENSG00000131584.20		Genic
chr1	1295054	1295074	chr1-442	37.1	-	6.8898	8.5578	15.4476	2	Deep intronic	ENSG00000131584.20		Genic
