chr	start	end	name	score	strand	NormedTC_SRR32609679	NormedTC_SRR32609680	NormedTC_SRR32609681	NormedTC_SRR32609682	NormedTC_SRR32609683	NormedTC_SRR37853278	NormedTC_SRR37853279	NormedTC_SRR37853280	NormedTC_HNRNPC_WT	BC_HNRNPC_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	1484685	1484705	chr1-1828	18	+	3.6473	3.8207	0	0	0	3.2752	0	6.6937	17.4368	4	Deep intronic	ENSG00000160072.21		Genic
chr1	1499605	1499625	chr1-3012	14.4	+	1.2158	0	0	0	0	0	9.3015	0	10.5172	2	3'UTR-distal			Genic
chr1	1515405	1515425	chr1-3013	14.4	+	0	0	4.928	0	0	3.2752	3.1005	0	11.3037	3	First intron	ENSG00000197785.15		Genic
chr1	1549198	1549218	chr1-1829	18	-	0	0	0	2.7469	0	3.2752	3.1005	13.3873	22.51	4	First intron	ENSG00000160075.13		Genic
chr1	1549659	1549679	chr1-1830	18	-	2.4315	0	0	0	0	0	3.1005	13.3873	18.9193	3	Alu	ENSG00000160075.13		TE
chr1	1549998	1550018	chr1-795	25.3	-	0	0	0	0	0	3.2752	12.402	13.3873	29.0645	3	Alu	ENSG00000160075.13		TE
chr1	1555819	1555839	chr1-3014	14.4	-	1.2158	0	0	0	0	6.5505	3.1005	0	10.8667	3	Alu	ENSG00000160075.13		TE
chr1	1558370	1558390	chr1-1831	18	-	3.6473	0	0	0	0	3.2752	9.3015	20.081	36.305	4	Alu	ENSG00000160075.13		TE
chr1	1563523	1563543	chr1-168	46.9	-	2.4315	11.4621	4.928	2.7469	0	3.2752	6.201	20.081	51.1257	7	3'UTR	ENSG00000160075.13		Genic
chr1	1566328	1566348	chr1-3022	14.4	-	0	0	0	0	0	9.8257	0	6.6937	16.5194	2	First intron	ENSG00000160075.13		Genic
chr1	1568419	1568439	chr1-796	25.3	-	0	0	0	0	0	6.5505	12.402	6.6937	25.6461	3	Alu	ENSG00000160075.13		TE
chr1	1568601	1568621	chr1-797	25.3	-	1.2158	0	2.464	2.7469	0	3.2752	9.3015	6.6937	25.6971	6	Alu	ENSG00000160075.13		TE
chr1	1570264	1570284	chr1-1169	21.7	-	1.2158	0	4.928	0	0	9.8257	0	0	15.9694	3	Alu	ENSG00000160075.13		TE
chr1	1573110	1573130	chr1-798	25.3	-	2.4315	3.8207	0	0	0	6.5505	3.1005	6.6937	22.5968	5	Alu	ENSG00000160075.13		TE
chr1	1666927	1666947	chr1-3023	14.4	-	2.4315	0	0	0	0	6.5505	0	0	8.982	2	Alu	ENSG00000189339.13		TE
chr1	1668977	1668997	chr1-1170	21.7	-	1.2158	0	0	0	0	13.1009	3.1005	0	17.4172	3	Alu	ENSG00000189339.13		TE
chr1	1690275	1690295	chr1-1833	18	-	0	0	0	0	0	0	9.3015	13.3873	22.6888	2	Alu	ENSG00000189339.13		TE
chr1	1731570	1731590	chr1-1834	18	-	0	0	0	2.7469	0	16.3761	0	13.3873	32.5104	3	Satellite/LC	ENSG00000268575.1	""	TE
chr1	1732045	1732065	chr1-799	25.3	-	1.2158	7.6414	4.928	0	0	0	6.201	6.6937	26.6798	5	Alu	ENSG00000268575.1	""	TE
chr1	1732714	1732734	chr1-1835	18	-	1.2158	0	0	2.7469	0	0	9.3015	0	13.2642	3	Deep intronic	ENSG00000268575.1	""	Genic
chr1	1752191	1752211	chr1-3024	14.4	-	2.4315	0	2.464	0	13.6848	0	0	0	18.5803	3	3'UTR	ENSG00000008130.16		Genic
chr1	1762443	1762463	chr1-1836	18	-	1.2158	3.8207	0	2.7469	0	3.2752	3.1005	0	14.1591	5	Deep intronic	ENSG00000008130.16		Genic
chr1	1763159	1763179	chr1-1171	18	-	3.6473	0	0	0	0	0	6.201	6.6937	16.5419	3	Deep intronic	ENSG00000008130.16		Genic
chr1	1766093	1766113	chr1-1172	21.7	-	0	0	2.464	0	13.6848	9.8257	6.201	0	32.1754	4	Alu	ENSG00000008130.16		TE
chr1	1786158	1786178	chr1-3025	14.4	-	2.4315	0	2.464	0	13.6848	0	0	0	18.5803	3	3'UTR	ENSG00000078369.20		Genic
chr1	1787684	1787704	chr1-3026	14.4	-	1.2158	3.8207	0	0	0	3.2752	3.1005	0	11.4122	4	Proximal intronic	ENSG00000078369.20		Genic
chr1	1788612	1788632	chr1-430	32.5	-	2.4315	0	2.464	0	0	0	12.402	13.3873	30.6848	4	Deep intronic	ENSG00000078369.20		Genic
chr1	1838788	1838808	chr1-1838	18	-	1.2158	3.8207	2.464	2.7469	0	0	0	13.3873	23.6347	5	First intron	ENSG00000078369.20		Genic
chr1	1842117	1842137	chr1-169	46.9	-	0	0	0	5.4939	0	13.1009	12.402	20.081	51.0778	4	Alu	ENSG00000078369.20		TE
chr1	1843639	1843659	chr1-1839	18	-	0	0	0	2.7469	13.6848	9.8257	0	0	26.2574	3	First intron	ENSG00000078369.20		Genic
chr1	1853444	1853464	chr1-3028	18	-	2.4315	11.4621	0	0	0	3.2752	0	6.6937	23.8625	4	First intron	ENSG00000078369.20		Genic
chr1	1854727	1854747	chr1-170	57.8	-	4.863	3.8207	0	10.9878	0	9.8257	12.402	6.6937	48.5928	6	Alu	ENSG00000078369.20		TE
chr1	1859833	1859853	chr1-1840	25.3	-	1.2158	0	0	0	0	13.1009	6.201	0	20.5177	3	Alu	ENSG00000078369.20		TE
chr1	1860410	1860430	chr1-800	21.7	-	2.4315	0	4.928	0	0	9.8257	3.1005	6.6937	26.9793	5	LINE	ENSG00000078369.20		TE
chr1	1860929	1860949	chr1-589	28.9	-	1.2158	0	0	0	0	13.1009	9.3015	6.6937	30.3118	4	Alu	ENSG00000078369.20		TE
chr1	1861803	1861823	chr1-3029	18	-	3.6473	0	0	0	13.6848	0	0	6.6937	24.0257	3	LINE	ENSG00000078369.20		TE
chr1	1865760	1865780	chr1-1173	21.7	-	3.6473	3.8207	0	0	13.6848	0	3.1005	0	24.2532	4	First intron	ENSG00000078369.20		Genic
chr1	1865856	1865876	chr1-431	32.5	-	3.6473	11.4621	2.464	2.7469	0	3.2752	3.1005	13.3873	40.0833	7	First intron	ENSG00000078369.20		Genic
chr1	1866582	1866602	chr1-3030	14.4	-	0	3.8207	0	0	0	0	6.201	6.6937	16.7153	3	First intron	ENSG00000078369.20		Genic
chr1	1869324	1869344	chr1-1174	25.3	-	3.6473	0	4.928	0	0	3.2752	0	6.6937	18.5441	4	5'UTR	ENSG00000078369.20		Genic
chr1	1870642	1870662	chr1-432	25.3	-	2.4315	0	4.928	8.2408	0	3.2752	6.201	0	25.0765	5	First intron	ENSG00000078369.20		Genic
chr1	1888350	1888370	chr1-119	50.5	-	10.9418	0	4.928	5.4939	0	0	3.1005	6.6937	31.1578	5	First intron	ENSG00000078369.20		Genic
chr1	1976516	1976536	chr1-3031	21.7	-	2.4315	15.2827	0	2.7469	0	0	0	0	20.4612	3	Alu	ENSG00000142609.20	CFAP74	TE
chr1	2225949	2225969	chr1-1841	18	+	0	3.8207	2.464	0	0	0	9.3015	0	15.5862	3	Alu			TE
chr1	2246099	2246119	chr1-801	25.3	+	2.4315	3.8207	4.928	0	13.6848	0	6.201	6.6937	37.7596	6	LINE	ENSG00000157933.12		TE
chr1	2259372	2259392	chr1-3033	14.4	+	2.4315	3.8207	2.464	0	0	0	0	0	8.7162	3	First intron	ENSG00000157933.12		Genic
chr1	2264084	2264104	chr1-1175	18	+	3.6473	0	2.464	0	0	3.2752	3.1005	6.6937	19.1806	5	First intron	ENSG00000157933.12		Genic
chr1	2288470	2288490	chr1-1176	21.7	+	0	0	0	0	0	9.8257	0	20.081	29.9067	2	First intron	ENSG00000157933.12		Genic
chr1	2308604	2308624	chr1-3034	14.4	+	0	0	4.928	0	0	0	6.201	0	11.129	2	3'UTR	ENSG00000157933.12		Genic
chr1	2308780	2308800	chr1-3035	14.4	+	3.6473	0	0	2.7469	0	0	0	0	6.3942	2	3'UTR	ENSG00000157933.12		Genic
chr1	2367290	2367310	chr1-3036	14.4	-	0	0	0	0	0	3.2752	0	20.081	23.3562	2	Satellite/LC	ENSG00000116151.15		TE
chr1	3827662	3827682	chr1-3037	14.4	-	1.2158	0	2.464	0	0	6.5505	0	0	10.2302	3	LINE	ENSG00000116198.15		TE
chr1	3850279	3850299	chr1-3038	14.4	-	2.4315	0	0	2.7469	0	0	0	6.6937	11.8721	3	Deep intronic	ENSG00000116198.15		Genic
chr1	3864446	3864466	chr1-3039	14.4	+	1.2158	0	2.464	2.7469	0	3.2752	0	0	9.7019	4	LINE	ENSG00000169598.18		TE
chr1	5912654	5912674	chr1-3040	14.4	-	0	0	0	0	0	3.2752	9.3015	0	12.5767	2	Deep intronic	ENSG00000131697.19		Genic
chr1	5913142	5913162	chr1-1842	18	-	0	0	0	0	0	16.3761	0	0	16.3761	1	Alu	ENSG00000131697.19		TE
chr1	6186926	6186946	chr1-590	28.9	-	2.4315	11.4621	0	5.4939	13.6848	0	0	6.6937	39.7659	5	Deep intronic	ENSG00000116251.12		Genic
chr1	6194865	6194885	chr1-3041	14.4	-	1.2158	0	0	2.7469	0	3.2752	3.1005	0	10.3384	4	Alu	ENSG00000116251.12		TE
chr1	6195581	6195601	chr1-3042	14.4	-	1.2158	0	0	0	0	3.2752	6.201	6.6937	17.3856	4	Alu	ENSG00000116251.12		TE
chr1	6195885	6195905	chr1-3043	14.4	-	1.2158	3.8207	0	0	13.6848	0	0	6.6937	25.4149	4	Alu	ENSG00000116251.12		TE
chr1	6522372	6522392	chr1-1177	21.7	-	1.2158	0	0	0	0	0	9.3015	13.3873	23.9046	3	3'UTR	ENSG00000162408.12		Genic
chr1	6523257	6523277	chr1-1843	18	-	0	0	0	0	13.6848	6.5505	0	13.3873	33.6225	3	3'UTR	ENSG00000162408.12		Genic
chr1	6527319	6527339	chr1-171	54.1	-	1.2158	0	0	0	13.6848	22.9266	21.7035	6.6937	66.2243	5	Deep intronic	ENSG00000162408.12		Genic
chr1	6529273	6529293	chr1-1844	21.7	-	1.2158	0	0	0	0	0	15.5025	0	16.7182	2	Proximal intronic	ENSG00000162408.12		Genic
chr1	6549321	6549341	chr1-3047	14.4	-	0	0	0	0	0	6.5505	6.201	6.6937	19.4451	3	Deep intronic	ENSG00000162408.12		Genic
chr1	6582840	6582860	chr1-63	75.8	+	6.0788	11.4621	4.928	0	13.6848	19.6514	12.402	6.6937	74.9006	7	3'UTR-distal	ENSG00000204859.14		Genic
chr1	6584093	6584113	chr1-591	28.9	+	0	11.4621	4.928	0	0	3.2752	9.3015	0	28.9668	4	3'UTR-distal	ENSG00000204859.14		Genic
chr1	6598565	6598585	chr1-3048	14.4	-	0	0	0	0	0	13.1009	0	0	13.1009	1	Alu	ENSG00000162413.17	KLHL21	TE
chr1	6646084	6646104	chr1-3049	14.4	-	0	0	0	5.4939	0	0	0	13.3873	18.8812	2	Proximal intronic	ENSG00000007923.18		Genic
chr1	6648113	6648133	chr1-1845	18	-	0	0	2.464	0	0	9.8257	3.1005	0	15.3902	3	Deep intronic	ENSG00000007923.18		Genic
chr1	6650382	6650402	chr1-802	28.9	-	2.4315	3.8207	0	2.7469	0	3.2752	6.201	6.6937	25.169	6	Alu	ENSG00000007923.18		TE
chr1	6651831	6651851	chr1-3050	14.4	-	1.2158	0	0	5.4939	13.6848	0	0	0	20.3944	3	Deep intronic	ENSG00000007923.18		Genic
chr1	6657223	6657243	chr1-3051	10.8	-	2.4315	0	0	0	0	3.2752	3.1005	6.6937	15.5009	4	LTR/ERV	ENSG00000007923.18		TE
chr1	6790202	6790222	chr1-3052	14.4	+	1.2158	3.8207	0	0	0	9.8257	0	6.6937	21.5558	4	First intron	ENSG00000171735.21	CAMTA1	Genic
chr1	6796540	6796560	chr1-3054	14.4	+	1.2158	0	0	0	0	3.2752	3.1005	6.6937	14.2851	4	First intron	ENSG00000171735.21	CAMTA1	Genic
chr1	6799246	6799266	chr1-3056	18	+	0	0	0	0	0	6.5505	6.201	6.6937	19.4451	3	Alu	ENSG00000171735.21	CAMTA1	TE
chr1	6825689	6825709	chr1-3057	14.4	+	3.6473	0	2.464	0	0	0	3.1005	0	9.2117	3	Deep intronic	ENSG00000171735.21	CAMTA1	Genic
chr1	6834278	6834298	chr1-1178	21.7	+	2.4315	0	0	0	0	0	0	26.7747	29.2062	2	Satellite/LC	ENSG00000171735.21	CAMTA1	TE
chr1	6834953	6834973	chr1-3059	14.4	+	1.2158	0	2.464	2.7469	13.6848	3.2752	0	0	23.3867	5	LINE	ENSG00000171735.21	CAMTA1	TE
chr1	6873265	6873285	chr1-1846	18	+	4.863	0	0	2.7469	0	0	0	0	7.61	2	Deep intronic	ENSG00000171735.21	CAMTA1	Genic
chr1	6966784	6966804	chr1-3060	14.4	+	0	0	2.464	2.7469	0	6.5505	0	0	11.7614	3	Alu	ENSG00000171735.21	CAMTA1	TE
chr1	8382998	8383018	chr1-3061	14.4	-	4.863	0	0	0	0	0	0	0	4.863	1	Deep intronic	ENSG00000142599.21		Genic
chr1	8418307	8418327	chr1-3062	14.4	-	2.4315	0	2.464	0	0	0	3.1005	0	7.996	3	Deep intronic	ENSG00000142599.21		Genic
chr1	8440282	8440302	chr1-3063	14.4	-	1.2158	3.8207	2.464	0	0	0	0	6.6937	14.1941	4	Deep intronic	ENSG00000142599.21		Genic
chr1	8482175	8482195	chr1-3064	14.4	-	3.6473	0	0	2.7469	0	0	0	0	6.3942	2	LINE	ENSG00000142599.21		TE
chr1	8521325	8521345	chr1-3065	14.4	-	1.2158	0	2.464	0	0	3.2752	0	6.6937	13.6486	4	First intron	ENSG00000142599.21		Genic
chr1	8541233	8541253	chr1-3066	10.8	-	1.2158	0	0	0	0	0	9.3015	0	10.5172	2	CDS	ENSG00000142599.21		Genic
chr1	8588784	8588804	chr1-3067	14.4	-	0	0	0	0	0	3.2752	9.3015	0	12.5767	2	Deep intronic	ENSG00000142599.21		Genic
chr1	8602024	8602044	chr1-1847	18	-	0	0	2.464	8.2408	0	0	3.1005	0	13.8053	3	Deep intronic	ENSG00000142599.21		Genic
chr1	8607183	8607203	chr1-3068	14.4	-	1.2158	3.8207	0	0	0	3.2752	3.1005	0	11.4122	4	Alu	ENSG00000142599.21		TE
chr1	8646363	8646383	chr1-3069	14.4	-	1.2158	0	0	0	0	3.2752	9.3015	0	13.7925	3	Alu	ENSG00000142599.21		TE
chr1	8694017	8694037	chr1-3070	14.4	-	0	0	0	0	0	3.2752	9.3015	0	12.5767	2	Satellite/LC	ENSG00000142599.21		TE
chr1	8695577	8695597	chr1-3071	14.4	-	0	0	0	0	0	0	12.402	0	12.402	1	Alu	ENSG00000142599.21		TE
chr1	8716730	8716750	chr1-3074	10.8	-	2.4315	0	2.464	0	0	0	3.1005	0	7.996	3	First intron	ENSG00000142599.21		Genic
chr1	8720743	8720763	chr1-1179	21.7	-	3.6473	0	0	2.7469	0	3.2752	3.1005	0	12.7699	4	First intron	ENSG00000142599.21		Genic
chr1	8763455	8763475	chr1-803	25.3	-	0	3.8207	0	0	13.6848	3.2752	12.402	0	33.1827	4	Alu	ENSG00000142599.21		TE
chr1	8766218	8766238	chr1-1851	18	-	2.4315	0	0	0	0	9.8257	0	0	12.2572	2	First intron	ENSG00000142599.21		Genic
chr1	8767282	8767302	chr1-3075	14.4	-	1.2158	0	2.464	2.7469	0	0	0	6.6937	13.1204	4	First intron	ENSG00000142599.21		Genic
chr1	8773077	8773097	chr1-3077	14.4	-	0	0	2.464	0	0	9.8257	0	0	12.2897	2	Alu	ENSG00000142599.21		TE
chr1	8793542	8793562	chr1-1180	18	-	0	3.8207	2.464	8.2408	0	3.2752	3.1005	0	20.9012	5	First intron	ENSG00000142599.21		Genic
chr1	8800253	8800273	chr1-3078	14.4	-	1.2158	0	0	5.4939	0	3.2752	0	0	9.9849	3	Alu	ENSG00000142599.21		TE
chr1	8800486	8800506	chr1-3079	14.4	-	1.2158	3.8207	0	0	13.6848	0	3.1005	0	21.8217	4	LINE	ENSG00000142599.21		TE
chr1	8804254	8804274	chr1-3080	10.8	-	0	3.8207	2.464	0	0	3.2752	0	6.6937	16.2536	4	First intron	ENSG00000142599.21		Genic
chr1	8855447	8855467	chr1-1852	18	-	0	0	0	0	0	16.3761	0	0	16.3761	1	3'UTR-distal			Genic
chr1	8861866	8861886	chr1-592	28.9	-	8.5103	0	0	0	0	0	0	6.6937	15.2039	2	Satellite/LC	ENSG00000074800.17		TE
chr1	8869210	8869230	chr1-206	43.3	-	2.4315	0	4.928	2.7469	0	3.2752	18.603	0	31.9846	5	Deep intronic	ENSG00000074800.17		Genic
chr1	8874406	8874426	chr1-804	28.9	-	2.4315	3.8207	0	0	0	6.5505	3.1005	13.3873	29.2905	5	Alu	ENSG00000074800.17		TE
chr1	8874647	8874667	chr1-1182	21.7	-	3.6473	0	0	0	0	6.5505	3.1005	13.3873	26.6855	4	First intron	ENSG00000074800.17		Genic
chr1	8876021	8876041	chr1-593	28.9	-	7.2945	0	0	0	0	0	6.201	0	13.4955	2	5'UTR	ENSG00000074800.17		Genic
chr1	8878182	8878202	chr1-594	28.9	-	1.2158	0	0	0	0	19.6514	6.201	0	27.0681	3	5'UTR	ENSG00000074800.17		Genic
chr1	9153184	9153204	chr1-595	28.9	-	3.6473	0	0	0	0	6.5505	9.3015	6.6937	26.1929	4	First intron	ENSG00000228526.9	MIR34AHG	Genic
chr1	9153853	9153873	chr1-207	46.9	-	6.0788	3.8207	2.464	0	13.6848	6.5505	15.5025	0	48.1011	6	First intron	ENSG00000228526.9	MIR34AHG	Genic
chr1	9159528	9159548	chr1-3083	14.4	-	0	0	0	2.7469	0	0	9.3015	0	12.0484	2	Satellite/LC	ENSG00000228526.9	MIR34AHG	TE
chr1	9161084	9161104	chr1-1856	18	-	0	0	2.464	0	0	0	9.3015	6.6937	18.4591	3	First intron	ENSG00000228526.9	MIR34AHG	Genic
chr1	9164421	9164441	chr1-3085	14.4	-	0	0	0	0	0	0	6.201	13.3873	19.5883	2	Alu	ENSG00000228526.9	MIR34AHG	TE
chr1	9170528	9170548	chr1-1183	25.3	-	0	0	0	0	0	3.2752	3.1005	33.4683	39.844	3	Alu	ENSG00000228526.9	MIR34AHG	TE
chr1	9541714	9541734	chr1-805	25.3	+	4.863	0	0	2.7469	0	0	3.1005	6.6937	17.4041	4	First intron	ENSG00000171612.8		Genic
chr1	9554188	9554208	chr1-3087	14.4	+	0	0	0	5.4939	0	0	3.1005	6.6937	15.288	3	Alu	ENSG00000171612.8		TE
chr1	9555440	9555460	chr1-3088	14.4	+	1.2158	3.8207	0	0	0	0	0	13.3873	18.4238	3	Deep intronic	ENSG00000171612.8		Genic
chr1	9730066	9730086	chr1-3089	14.4	-	0	0	0	5.4939	0	6.5505	0	0	12.0443	2	3'UTR	ENSG00000171603.19		Genic
chr1	9746276	9746296	chr1-3090	14.4	-	1.2158	3.8207	0	0	0	6.5505	0	0	11.5869	3	LINE	ENSG00000171603.19		TE
chr1	9767119	9767139	chr1-1858	18	-	2.4315	3.8207	2.464	0	13.6848	6.5505	0	0	28.9514	5	LINE	ENSG00000171603.19		TE
chr1	9784569	9784589	chr1-1184	21.7	-	1.2158	0	2.464	0	0	3.2752	6.201	6.6937	19.8496	5	First intron	ENSG00000171603.19		Genic
chr1	9794759	9794779	chr1-3092	10.8	-	3.6473	0	2.464	0	0	0	0	0	6.1113	2	First intron	ENSG00000171603.19		Genic
chr1	9798782	9798802	chr1-3093	14.4	-	0	0	2.464	0	0	0	6.201	6.6937	15.3587	3	LINE	ENSG00000171603.19		TE
chr1	9934050	9934070	chr1-3094	14.4	-	2.4315	0	0	0	0	3.2752	3.1005	0	8.8072	3	Alu	ENSG00000162441.13		TE
chr1	9949992	9950012	chr1-3095	14.4	+	0	0	0	5.4939	0	0	6.201	0	11.6949	2	First intron	ENSG00000173614.15		Genic
chr1	9953755	9953775	chr1-3096	14.4	+	1.2158	3.8207	0	0	0	0	3.1005	6.6937	14.8306	4	First intron	ENSG00000173614.15		Genic
chr1	10061804	10061824	chr1-3097	14.4	+	2.4315	0	0	0	0	6.5505	0	0	8.982	2	LINE	ENSG00000130939.21		TE
chr1	10073933	10073953	chr1-1185	21.7	+	3.6473	0	0	0	0	0	9.3015	0	12.9487	2	Alu	ENSG00000130939.21		TE
chr1	10138111	10138131	chr1-596	28.9	+	3.6473	0	0	0	0	16.3761	0	0	20.0234	2	Alu	ENSG00000130939.21		TE
chr1	10138635	10138655	chr1-3098	14.4	+	0	0	2.464	0	0	0	12.402	0	14.866	2	LINE	ENSG00000130939.21		TE
chr1	10162650	10162670	chr1-3099	14.4	+	0	0	0	2.7469	0	3.2752	6.201	0	12.2232	3	LINE	ENSG00000130939.21		TE
chr1	10180648	10180668	chr1-3100	14.4	+	1.2158	0	0	5.4939	0	0	0	6.6937	13.4033	3	3'UTR	ENSG00000130939.21		Genic
chr1	10279875	10279895	chr1-433	28.9	+	0	3.8207	0	2.7469	0	16.3761	6.201	0	29.1448	4	Alu	ENSG00000054523.21		TE
chr1	10286849	10286869	chr1-434	32.5	+	3.6473	0	2.464	2.7469	0	9.8257	3.1005	0	21.7844	5	Deep intronic	ENSG00000054523.21		Genic
chr1	10287558	10287578	chr1-1859	14.4	+	3.6473	3.8207	0	10.9878	0	0	0	0	18.4557	3	Deep intronic	ENSG00000054523.21		Genic
chr1	10372984	10373004	chr1-1186	21.7	+	3.6473	0	0	0	0	0	0	20.081	23.7283	2	Alu	ENSG00000054523.21		TE
chr1	10378878	10378898	chr1-806	25.3	+	0	0	4.928	13.7347	0	0	0	0	18.6627	2	3'UTR	ENSG00000054523.21		Genic
chr1	10409973	10409993	chr1-3103	14.4	+	0	7.6414	2.464	0	0	0	0	6.6937	16.799	3	Deep intronic	ENSG00000142657.22		Genic
chr1	10446328	10446348	chr1-3104	14.4	+	0	0	0	5.4939	0	0	6.201	0	11.6949	2	3'UTR-distal	ENSG00000251503.8	CENPS-CORT	Genic
chr1	10456629	10456649	chr1-3105	14.4	-	4.863	0	0	0	0	0	0	0	4.863	1	3'UTR	ENSG00000160049.13		Genic
chr1	10458321	10458341	chr1-1860	18	-	3.6473	0	2.464	0	0	0	3.1005	0	9.2117	3	3'UTR	ENSG00000160049.13		Genic
chr1	10459623	10459643	chr1-3107	18	-	2.4315	0	0	0	0	3.2752	6.201	0	11.9077	3	3'UTR	ENSG00000160049.13		Genic
chr1	10556871	10556891	chr1-3110	14.4	+	2.4315	0	2.464	0	13.6848	0	3.1005	0	21.6808	4	Other SINE	ENSG00000142655.14		TE
chr1	11017668	11017688	chr1-3113	14.4	+	2.4315	3.8207	2.464	0	0	0	0	0	8.7162	3	Deep intronic	ENSG00000120948.20		Genic
chr1	11020035	11020055	chr1-435	36.1	+	4.863	0	2.464	5.4939	0	6.5505	3.1005	0	22.4718	5	Alu	ENSG00000120948.20		TE
chr1	11022804	11022824	chr1-1861	18	+	2.4315	3.8207	2.464	5.4939	0	3.2752	0	0	17.4853	5	3'UTR	ENSG00000120948.20		Genic
chr1	11024296	11024316	chr1-436	32.5	+	3.6473	3.8207	2.464	5.4939	0	3.2752	3.1005	6.6937	28.4952	7	3'UTR	ENSG00000120948.20		Genic
chr1	11088886	11088906	chr1-3117	14.4	-	2.4315	0	2.464	2.7469	0	0	0	0	7.6424	3	Deep intronic	ENSG00000171824.15		Genic
chr1	11804530	11804550	chr1-1863	21.7	-	2.4315	3.8207	2.464	5.4939	0	0	0	0	14.2101	4	5'UTR	ENSG00000177000.14		Genic
