chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation
chr10	92453026	92453027	CITS_23[gene=chr10_r_c5933][PH=3][PH0=0.00][P=4.39e-06]	3	-	3'UTR	ENSG00000119912.19		Genic
chr10	101364933	101364934	CITS_24[gene=chr10_r_c6778][PH=3][PH0=0.00][P=2.33e-08]	3	-	Other exon	ENSG00000222414.1	RNU2-59P	Genic
chr11	8682793	8682794	CITS_1[gene=chr11_f_c357][PH=2][PH0=0.00][P=9.06e-03]	2	+	5'UTR	ENSG00000166441.14		Genic
chr11	12778752	12778753	CITS_2[gene=chr11_f_c795][PH=3][PH0=0.04][P=3.61e-03]	3	+	Deep intronic	ENSG00000187079.20	TEAD1	Genic
chr11	21358578	21358579	CITS_3[gene=chr11_f_c1848][PH=3][PH0=0.06][P=4.91e-03]	3	+	Alu	ENSG00000165973.20		TE
chr11	36064497	36064498	CITS_4[gene=chr11_f_c3056][PH=3][PH0=0.06][P=4.55e-03]	3	+	Alu	ENSG00000179241.14		TE
chr11	46942453	46942454	CITS_5[gene=chr11_f_c3613][PH=3][PH0=0.00][P=1.11e-03]	3	+	First intron	ENSG00000149179.15		Genic
chr11	46964300	46964301	CITS_6[gene=chr11_f_c3613][PH=3][PH0=0.00][P=1.11e-03]	3	+	Alu	ENSG00000149179.15		TE
chr11	47959217	47959218	CITS_7[gene=chr11_f_c3739][PH=2][PH0=0.00][P=5.60e-03]	2	+	Alu			TE
chr11	65424363	65424364	CITS_8[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65424411	65424412	CITS_9[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65424776	65424777	CITS_10[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65425539	65425540	CITS_11[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65425763	65425764	CITS_12[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000245532.13	NEAT1	Genic
chr11	65425955	65425956	CITS_13[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	First intron	ENSG00000245532.13	NEAT1	Genic
chr11	65426202	65426203	CITS_14[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65428946	65428947	CITS_15[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65429124	65429125	CITS_16[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65430932	65430933	CITS_17[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65431410	65431411	CITS_18[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65432712	65432713	CITS_20[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65435007	65435008	CITS_21[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65437355	65437356	CITS_22[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65437504	65437505	CITS_23[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65437807	65437808	CITS_24[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65438210	65438211	CITS_25[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65438656	65438657	CITS_26[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65438774	65438775	CITS_28[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65438865	65438866	CITS_29[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65438944	65438945	CITS_30[gene=chr11_f_c4771][PH=9][PH0=0.01][P=1.00e-100]	9	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65439217	65439218	CITS_31[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65439312	65439313	CITS_32[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65440183	65440184	CITS_33[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65441677	65441678	CITS_34[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65441757	65441758	CITS_35[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	LINE	ENSG00000245532.13	NEAT1	TE
chr11	65442137	65442138	CITS_36[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Satellite/LC	ENSG00000245532.13	NEAT1	TE
chr11	65443113	65443114	CITS_37[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65443232	65443233	CITS_38[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65443437	65443438	CITS_39[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic
chr11	65499119	65499120	CITS_40[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65499202	65499203	CITS_41[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65500465	65500466	CITS_43[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65500955	65500956	CITS_45[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501016	65501017	CITS_46[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501126	65501127	CITS_47[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501257	65501258	CITS_48[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501370	65501371	CITS_49[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501448	65501449	CITS_50[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501508	65501509	CITS_51[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501571	65501572	CITS_52[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501679	65501680	CITS_53[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65501921	65501922	CITS_54[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502029	65502030	CITS_55[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502100	65502101	CITS_56[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502161	65502162	CITS_57[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502272	65502273	CITS_58[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502380	65502381	CITS_59[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502431	65502432	CITS_60[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502501	65502502	CITS_61[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502746	65502747	CITS_63[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502876	65502877	CITS_64[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65503115	65503116	CITS_65[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65503152	65503153	CITS_66[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503242	65503243	CITS_67[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503339	65503340	CITS_68[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503426	65503427	CITS_69[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503472	65503473	CITS_70[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503670	65503671	CITS_72[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503732	65503733	CITS_73[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	Other exon	ENSG00000251562.13	MALAT1	Genic
chr11	65503814	65503815	CITS_74[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503900	65503901	CITS_75[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65503997	65503998	CITS_76[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65504110	65504111	CITS_77[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65504317	65504318	CITS_79[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65504352	65504353	CITS_80[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	Other exon	ENSG00000251562.13	MALAT1	Genic
chr11	65504651	65504652	CITS_82[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65504767	65504768	CITS_83[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65504914	65504915	CITS_84[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Proximal intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65505015	65505016	CITS_85[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000251562.13	MALAT1	Genic
chr11	65505415	65505416	CITS_88[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65505506	65505507	CITS_89[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65505575	65505576	CITS_90[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65505747	65505748	CITS_91[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65505909	65505910	CITS_92[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65505945	65505946	CITS_93[gene=chr11_f_c4771][PH=4][PH0=0.01][P=1.27e-03]	4	+	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	66621545	66621546	CITS_94[gene=chr11_f_c4971][PH=5][PH0=0.12][P=7.72e-05]	5	+	Alu	ENSG00000239306.6		TE
chr11	68557687	68557688	CITS_95[gene=chr11_f_c5533][PH=3][PH0=0.00][P=2.04e-05]	3	+	Alu	ENSG00000110075.16		TE
chr11	76066799	76066800	CITS_96[gene=chr11_f_c6165][PH=2][PH0=0.00][P=7.23e-03]	2	+	Deep intronic	ENSG00000198382.10		Genic
chr11	93807791	93807792	CITS_97[gene=chr11_f_c6911][PH=2][PH0=0.00][P=1.43e-03]	2	+	Proximal intronic	ENSG00000042429.13		Genic
chr11	111946398	111946399	CITS_98[gene=chr11_f_c7822][PH=2][PH0=0.00][P=1.10e-03]	2	+	Alu	ENSG00000150764.15		TE
chr11	121079827	121079828	CITS_99[gene=chr11_f_c8342][PH=2][PH0=0.00][P=1.89e-03]	2	+	Alu	ENSG00000154114.14		TE
chr11	123449729	123449730	CITS_100[gene=chr11_f_c8404][PH=2][PH0=0.00][P=6.58e-03]	2	+	Alu	ENSG00000023171.21		TE
chr11	123457724	123457725	CITS_101[gene=chr11_f_c8404][PH=2][PH0=0.00][P=6.58e-03]	2	+	Alu	ENSG00000023171.21		TE
chr11	10508938	10508939	CITS_102[gene=chr11_r_c1036][PH=4][PH0=0.08][P=4.09e-04]	4	-	3'UTR-distal			Genic
chr11	10801514	10801515	CITS_103[gene=chr11_r_c1053][PH=7][PH0=0.63][P=2.73e-03]	7	-	Deep intronic	ENSG00000110321.19	EIF4G2	Genic
chr11	33735763	33735764	CITS_104[gene=chr11_r_c2360][PH=4][PH0=0.06][P=2.55e-04]	4	-	3'UTR-distal	ENSG00000085063.19		Genic
chr11	47479921	47479922	CITS_105[gene=chr11_r_c2918][PH=3][PH0=0.00][P=8.60e-05]	3	-	Deep intronic	ENSG00000149187.20		Genic
chr11	47819152	47819153	CITS_106[gene=chr11_r_c3247][PH=4][PH0=0.08][P=3.22e-04]	4	-	Alu	ENSG00000030066.15		TE
chr11	62854358	62854359	CITS_108[gene=chr11_r_c3764][PH=4][PH0=0.05][P=1.05e-04]	4	-	Proximal intronic	ENSG00000255717.10	SNHG1	Genic
chr11	63628836	63628837	CITS_109[gene=chr11_r_c3808][PH=3][PH0=0.06][P=4.91e-03]	3	-	3'UTR	ENSG00000184743.14		Genic
chr11	64244540	64244541	CITS_110[gene=chr11_r_c3933][PH=3][PH0=0.00][P=1.12e-07]	3	-	3'UTR	ENSG00000173457.12		Genic
chr11	65426373	65426374	CITS_112[gene=chr11_r_c3993][PH=3][PH0=0.00][P=4.68e-07]	3	-	TSS-proximal			Genic
chr11	65855123	65855124	CITS_113[gene=chr11_r_c4018][PH=3][PH0=0.00][P=3.90e-07]	3	-	3'UTR	ENSG00000172757.13	CFL1	Genic
chr11	65855170	65855171	CITS_114[gene=chr11_r_c4018][PH=2][PH0=0.00][P=4.83e-03]	2	-	3'UTR	ENSG00000172757.13	CFL1	Genic
chr11	66541405	66541406	CITS_115[gene=chr11_r_c4047][PH=4][PH0=0.00][P=1.00e-100]	4	-	Alu	ENSG00000174165.9		TE
chr11	66863339	66863340	CITS_116[gene=chr11_r_c4086][PH=3][PH0=0.05][P=8.07e-03]	3	-	Alu	ENSG00000173599.16		TE
chr11	66948678	66948679	CITS_117[gene=chr11_r_c4225][PH=3][PH0=0.06][P=4.55e-03]	3	-	Alu	ENSG00000173599.16		TE
chr11	77930817	77930818	CITS_118[gene=chr11_r_c4935][PH=2][PH0=0.00][P=2.21e-03]	2	-	Alu	ENSG00000149262.20		TE
chr11	93503923	93503924	CITS_119[gene=chr11_r_c5665][PH=2][PH0=0.00][P=6.02e-03]	2	-	First intron	ENSG00000166002.8		Genic
chr11	117094303	117094304	CITS_120[gene=chr11_r_c6894][PH=2][PH0=0.00][P=9.12e-03]	2	-	First intron	ENSG00000160584.18		Genic
chr11	122242743	122242744	CITS_121[gene=chr11_r_c7243][PH=3][PH0=0.05][P=3.25e-03]	3	-	Alu	ENSG00000255248.11	MIR100HG	TE
chr12	6943829	6943830	CITS_1[gene=chr12_f_c700][PH=9][PH0=0.00][P=1.00e-100]	9	+	3'UTR-distal	ENSG00000111678.12		Genic
chr12	9300597	9300598	CITS_2[gene=chr12_f_c924][PH=3][PH0=0.06][P=4.91e-03]	3	+	Deep intronic	ENSG00000111788.10	DDX12B	Genic
chr12	12111807	12111808	CITS_3[gene=chr12_f_c1122][PH=4][PH0=0.14][P=2.50e-03]	4	+	TSS-proximal			Genic
chr12	20370529	20370530	CITS_4[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20373726	20373727	CITS_5[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20387139	20387140	CITS_6[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	LINE	ENSG00000172572.8		TE
chr12	20388357	20388358	CITS_7[gene=chr12_f_c1766][PH=5][PH0=0.01][P=2.90e-06]	5	+	First intron	ENSG00000172572.8		Genic
chr12	20388465	20388466	CITS_8[gene=chr12_f_c1766][PH=5][PH0=0.01][P=2.90e-06]	5	+	First intron	ENSG00000172572.8		Genic
chr12	20396808	20396809	CITS_9[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20398058	20398059	CITS_10[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	Satellite/LC	ENSG00000172572.8		TE
chr12	20399724	20399725	CITS_11[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20400177	20400178	CITS_12[gene=chr12_f_c1766][PH=5][PH0=0.01][P=2.90e-06]	5	+	First intron	ENSG00000172572.8		Genic
chr12	20400213	20400214	CITS_13[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20409448	20409449	CITS_14[gene=chr12_f_c1766][PH=5][PH0=0.01][P=2.90e-06]	5	+	First intron	ENSG00000172572.8		Genic
chr12	20417612	20417613	CITS_15[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	LINE	ENSG00000172572.8		TE
chr12	20423478	20423479	CITS_16[gene=chr12_f_c1766][PH=5][PH0=0.01][P=2.90e-06]	5	+	First intron	ENSG00000172572.8		Genic
chr12	20425302	20425303	CITS_17[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20454810	20454811	CITS_19[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	LINE	ENSG00000172572.8		TE
chr12	20466058	20466059	CITS_20[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	20467043	20467044	CITS_21[gene=chr12_f_c1766][PH=6][PH0=0.01][P=6.47e-09]	6	+	First intron	ENSG00000172572.8		Genic
chr12	20485281	20485282	CITS_22[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	LTR/ERV	ENSG00000172572.8		TE
chr12	20505332	20505333	CITS_23[gene=chr12_f_c1766][PH=4][PH0=0.01][P=1.02e-03]	4	+	First intron	ENSG00000172572.8		Genic
chr12	31091223	31091224	CITS_24[gene=chr12_f_c2640][PH=3][PH0=0.06][P=4.91e-03]	3	+	Other SINE	ENSG00000013573.18		TE
chr12	52235743	52235744	CITS_25[gene=chr12_f_c3985][PH=2][PH0=0.00][P=6.98e-03]	2	+	Other SINE	ENSG00000135480.18		TE
chr12	52237237	52237238	CITS_26[gene=chr12_f_c3985][PH=2][PH0=0.00][P=6.98e-03]	2	+	First intron	ENSG00000135480.18		Genic
chr12	53458953	53458954	CITS_27[gene=chr12_f_c4092][PH=3][PH0=0.00][P=3.65e-05]	3	+	Deep intronic	ENSG00000197111.17		Genic
chr12	53479768	53479769	CITS_28[gene=chr12_f_c4092][PH=3][PH0=0.00][P=3.65e-05]	3	+	3'UTR	ENSG00000197111.17		Genic
chr12	54284802	54284803	CITS_29[gene=chr12_f_c4141][PH=5][PH0=0.25][P=3.00e-03]	5	+	3'UTR	ENSG00000135486.20		Genic
chr12	54732874	54732875	CITS_30[gene=chr12_f_c4165][PH=3][PH0=0.06][P=4.91e-03]	3	+	LINE			TE
chr12	57251658	57251659	CITS_31[gene=chr12_f_c4375][PH=2][PH0=0.00][P=1.92e-04]	2	+	Alu			TE
chr12	104090377	104090378	CITS_32[gene=chr12_f_c7289][PH=2][PH0=0.00][P=7.10e-03]	2	+	LINE	ENSG00000111727.13		TE
chr12	104234300	104234301	CITS_33[gene=chr12_f_c7289][PH=2][PH0=0.00][P=7.10e-03]	2	+	Alu	ENSG00000198431.18	TXNRD1	TE
chr12	104298364	104298365	CITS_34[gene=chr12_f_c7319][PH=3][PH0=0.06][P=9.09e-03]	3	+	Deep intronic	ENSG00000198431.18	TXNRD1	Genic
chr12	104322389	104322390	CITS_35[gene=chr12_f_c7329][PH=3][PH0=0.00][P=2.29e-04]	3	+	Alu	ENSG00000198431.18	TXNRD1	TE
chr12	104327127	104327128	CITS_36[gene=chr12_f_c7329][PH=3][PH0=0.00][P=2.29e-04]	3	+	Deep intronic	ENSG00000198431.18	TXNRD1	Genic
chr12	104339415	104339416	CITS_37[gene=chr12_f_c7329][PH=3][PH0=0.00][P=2.29e-04]	3	+	Proximal intronic	ENSG00000198431.18	TXNRD1	Genic
chr12	104350216	104350217	CITS_38[gene=chr12_f_c7329][PH=3][PH0=0.00][P=2.29e-04]	3	+	3'UTR	ENSG00000198431.18	TXNRD1	Genic
chr12	112144275	112144276	CITS_39[gene=chr12_f_c8029][PH=2][PH0=0.00][P=7.86e-03]	2	+	Alu	ENSG00000135148.13		TE
chr12	131713163	131713164	CITS_40[gene=chr12_f_c8883][PH=3][PH0=0.05][P=2.97e-03]	3	+	First intron	ENSG00000061936.11		Genic
