chr	start	end	name	score	strand	NormedTC_ENCFF462CMF	NormedTC_ENCFF942TPA	NormedTC_K562_RBFOX2	BC_K562_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	1299451	1299471	chr1-594	25.2	-	7.6182	4.6232	12.2415	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1300039	1300059	chr1-894	14.3	-	2.2533	1.5411	3.7944	2	CDS	ENSG00000131584.20	""	Genic
chr1	1300642	1300662	chr1-736	14.3	-	3.4336	3.9628	7.3963	2	CDS	ENSG00000131584.20	""	Genic
chr1	1301354	1301374	chr1-1364	15.6	-	2.6825	4.1829	6.8654	2	Alu	ENSG00000131584.20	""	TE
chr1	1301498	1301518	chr1-1668	17.7	-	2.6825	5.2837	7.9662	2	Alu	ENSG00000131584.20	""	TE
chr1	1301653	1301673	chr1-2650	13.6	-	2.146	3.3023	5.4483	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1301902	1301922	chr1-2652	15	-	2.5752	2.4217	4.9969	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1302014	1302034	chr1-204	23.1	-	2.6825	1.9814	4.6639	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1302942	1302962	chr1-273	16.3	-	2.7898	3.0822	5.8719	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1303632	1303652	chr1-1107	21.8	-	3.0044	5.0635	8.0679	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1303721	1303741	chr1-3419	12.9	-	2.2533	2.6418	4.8951	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1304122	1304142	chr1-334	19	-	3.0044	3.0822	6.0865	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1304494	1304514	chr1-2103	12.2	-	3.3263	5.9442	9.2704	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1305104	1305124	chr1-2104	11.6	-	2.3606	1.1008	3.4613	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1305727	1305747	chr1-3421	10.9	-	1.3949	1.7612	3.1561	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1305909	1305929	chr1-2653	15	-	2.5752	4.1829	6.7581	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1306018	1306038	chr1-2105	13.6	-	2.8971	1.5411	4.4382	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1306661	1306681	chr1-3422	19.7	-	2.6825	2.2015	4.884	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307188	1307208	chr1-2654	17	-	2.7898	3.5225	6.3122	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307269	1307289	chr1-1669	17.7	-	3.4336	2.862	6.2956	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307665	1307685	chr1-2655	12.2	-	2.4679	2.2015	4.6694	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1311716	1311736	chr1-2107	9.52	-	2.2533	2.4217	4.675	2	3'UTR	ENSG00000127054.23	""	Genic
chr1	1311910	1311930	chr1-476	15	-	2.2533	1.1008	3.354	2	CDS	ENSG00000127054.23	""	Genic
chr1	1312601	1312621	chr1-1671	12.2	-	1.7168	1.7612	3.478	2	CDS	ENSG00000127054.23	""	Genic
chr1	1312917	1312937	chr1-399	17.7	-	2.2533	1.1008	3.354	2	CDS	ENSG00000127054.23	""	Genic
chr1	1313093	1313113	chr1-737	14.3	-	2.4679	1.5411	4.009	2	CDS	ENSG00000127054.23	""	Genic
chr1	1313562	1313582	chr1-595	17	-	2.2533	1.1008	3.354	2	CDS	ENSG00000127054.23	""	Genic
chr1	1313971	1313991	chr1-1672	12.9	-	3.7555	0.8806	4.6361	2	5'UTR	ENSG00000127054.23	""	Genic
chr1	1314619	1314639	chr1-895	30.6	-	4.7212	3.9628	8.6839	2	Proximal intronic	ENSG00000127054.23	""	Genic
chr1	1314694	1314714	chr1-1673	15.6	-	2.146	2.4217	4.5677	2	Proximal intronic	ENSG00000127054.23	""	Genic
chr1	1315352	1315372	chr1-1109	22.4	-	4.0774	1.7612	5.8386	2	Proximal intronic	ENSG00000127054.23	""	Genic
chr1	1315462	1315482	chr1-896	17.7	-	3.6482	2.4217	6.0699	2	Proximal intronic	ENSG00000127054.23	""	Genic
chr1	1315915	1315935	chr1-3427	12.9	-	2.146	1.5411	3.6871	2	First intron	ENSG00000127054.23	""	Genic
chr1	1316257	1316277	chr1-2111	25.8	-	3.0044	3.5225	6.5268	2	Alu	ENSG00000127054.23	""	TE
chr1	1318894	1318914	chr1-596	42.2	-	8.4766	9.2465	17.7231	2	CDS	ENSG00000127054.23	""	Genic
chr1	1319492	1319512	chr1-477	20.4	-	3.1117	2.2015	5.3132	2	CDS	ENSG00000127054.23	""	Genic
chr1	1320806	1320826	chr1-335	41.5	-	10.1934	12.1085	22.3019	2	First intron	ENSG00000127054.23	""	Genic
chr1	1321868	1321888	chr1-2661	10.2	-	1.5022	3.3023	4.8045	2	First intron	ENSG00000127054.23	""	Genic
chr1	1329557	1329577	chr1-3433	7.48	+	1.073	2.6418	3.7148	2	3'UTR-distal	""	""	Genic
chr1	1335461	1335481	chr1-1675	18.4	-	3.219	2.4217	5.6407	2	3'UTR	ENSG00000107404.22	""	Genic
chr1	1335670	1335690	chr1-2114	12.2	-	5.365	3.9628	9.3277	2	3'UTR	ENSG00000107404.22	""	Genic
chr1	1336183	1336203	chr1-5869	11.6	-	1.9314	1.5411	3.4725	2	CDS	ENSG00000107404.22	""	Genic
chr1	1337579	1337599	chr1-2663	10.9	-	1.6095	3.3023	4.9118	2	Deep intronic	ENSG00000107404.22	""	Genic
chr1	1338638	1338658	chr1-400	17.7	-	2.4679	3.7426	6.2105	2	CDS	ENSG00000107404.22	""	Genic
chr1	1338910	1338930	chr1-1365	16.3	-	3.4336	3.3023	6.7359	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1339850	1339870	chr1-598	21.1	-	5.7941	5.724	11.5182	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1340284	1340304	chr1-478	17	-	2.0387	2.2015	4.2402	2	CDS	ENSG00000107404.22	""	Genic
chr1	1341772	1341792	chr1-599	15	-	3.1117	2.2015	5.3132	2	CDS	ENSG00000107404.22	""	Genic
chr1	1341925	1341945	chr1-2116	12.9	-	3.0044	2.2015	5.2059	2	CDS	ENSG00000107404.22	""	Genic
chr1	1342453	1342473	chr1-86	31.3	-	3.9701	1.7612	5.7313	2	CDS	ENSG00000107404.22	""	Genic
chr1	1342704	1342724	chr1-274	22.4	-	5.0431	4.1829	9.226	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1342906	1342926	chr1-1677	15	-	2.3606	2.6418	5.0024	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1344902	1344922	chr1-2117	19	-	4.1847	2.862	7.0467	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1346392	1346412	chr1-3439	16.3	-	2.8971	1.9814	4.8785	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1348891	1348911	chr1-1368	21.8	-	2.7898	2.4217	5.2115	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349108	1349128	chr1-600	85.7	-	13.1978	13.6495	26.8473	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349212	1349232	chr1-898	29.2	-	6.0087	5.724	11.7327	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1374139	1374159	chr1-2667	12.9	-	1.5022	3.0822	4.5843	2	CDS	ENSG00000175756.15	""	Genic
chr1	1374877	1374897	chr1-2669	12.9	-	2.5752	1.7612	4.3364	2	5'UTR	ENSG00000175756.15	""	Genic
chr1	1374986	1375006	chr1-7790	8.84	-	1.5022	1.7612	3.2634	2	5'UTR	ENSG00000175756.15	""	Genic
chr1	1386770	1386790	chr1-738	27.9	-	7.8328	1.7612	9.5941	2	3'UTR	ENSG00000221978.14	""	Genic
chr1	1386896	1386916	chr1-899	21.8	-	5.4722	0.8806	6.3529	2	3'UTR	ENSG00000221978.14	""	Genic
chr1	1387034	1387054	chr1-900	19	-	6.5452	3.9628	10.508	2	3'UTR	ENSG00000221978.14	""	Genic
chr1	1387551	1387571	chr1-178	26.5	-	3.7555	1.3209	5.0764	2	CDS	ENSG00000221978.14	""	Genic
chr1	1387837	1387857	chr1-179	27.2	-	3.5409	2.4217	5.9626	2	CDS	ENSG00000221978.14	""	Genic
chr1	1388036	1388056	chr1-46	47.6	-	7.9401	3.7426	11.6827	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390086	1390106	chr1-4465	20.4	-	2.8971	1.9814	4.8785	2	Alu	ENSG00000221978.14	""	TE
chr1	1390235	1390255	chr1-401	25.8	-	4.8285	3.7426	8.5711	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390340	1390360	chr1-50	55.8	-	7.0817	3.9628	11.0445	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390459	1390479	chr1-479	27.9	-	7.2963	4.8434	12.1397	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390514	1390534	chr1-233	31.3	-	6.0087	3.7426	9.7514	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390917	1390937	chr1-336	37.4	-	5.4722	9.9069	15.3792	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1390995	1391015	chr1-337	42.2	-	8.4766	9.0263	17.5029	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391058	1391078	chr1-234	71.4	-	8.5839	8.8062	17.3901	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391219	1391239	chr1-275	56.4	-	12.4467	17.3922	29.8389	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391550	1391570	chr1-601	56.4	-	10.0861	6.8248	16.9109	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391768	1391788	chr1-902	23.1	-	4.8285	7.7054	12.5338	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391965	1391985	chr1-1110	24.5	-	5.9014	7.0449	12.9464	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392153	1392173	chr1-903	20.4	-	3.6482	2.862	6.5102	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392779	1392799	chr1-47	42.2	-	5.4722	5.2837	10.7559	2	3'UTR	ENSG00000221978.14	""	Genic
chr1	1392957	1392977	chr1-276	46.9	-	7.8328	8.586	16.4188	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393270	1393290	chr1-277	29.9	-	5.365	6.1643	11.5293	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393426	1393446	chr1-53	40.1	-	6.0087	6.6046	12.6134	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394102	1394122	chr1-4468	15	-	1.6095	1.5411	3.1506	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394724	1394744	chr1-5890	21.1	-	2.2533	2.6418	4.8951	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1395035	1395055	chr1-7794	13.6	-	1.5022	1.7612	3.2634	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1395408	1395428	chr1-739	17.7	-	5.1504	5.9442	11.0945	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1395481	1395501	chr1-118	34.7	-	3.6482	4.4031	8.0512	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1398237	1398257	chr1-740	23.1	-	4.0774	5.2837	9.3611	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1398308	1398328	chr1-235	19.7	-	2.3606	3.7426	6.1032	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1398596	1398616	chr1-1370	12.9	-	1.8241	2.2015	4.0256	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1399204	1399224	chr1-4469	10.2	-	1.9314	1.7612	3.6926	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1402232	1402252	chr1-480	19	-	2.8971	0.8806	3.7777	2	CDS	ENSG00000242485.7	""	Genic
chr1	1473525	1473545	chr1-3450	21.8	+	2.6825	2.6418	5.3243	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477047	1477067	chr1-4471	10.9	+	1.5022	1.9814	3.4836	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477432	1477452	chr1-1683	11.6	+	2.146	4.6232	6.7692	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478027	1478047	chr1-1371	36	+	4.7212	5.724	10.4452	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478193	1478213	chr1-741	29.2	+	7.6182	14.31	21.9282	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1484695	1484715	chr1-3452	15	+	3.219	4.1829	7.4019	2	Deep intronic	ENSG00000160072.21	""	Genic
