chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation	pval
chr10	49980450	49980451	CITS_84[gene=chr10_f_c10174][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR-distal	ENSG00000178440.9	TIMM23B-AGAP6	Genic	1e-100
chr10	55075985	55075986	CITS_86[gene=chr10_f_c10976][PH=5][PH0=0.21][P=3.47e-04]	5	+	LINE	""	""	TE	0.000347
chr10	55871969	55871970	CITS_88[gene=chr10_f_c11055][PH=8][PH0=0.42][P=4.15e-06]	8	+	Deep intronic	""	""	Genic	4.15e-06
chr10	58399487	58399488	CITS_92[gene=chr10_f_c11528][PH=5][PH0=0.16][P=1.26e-04]	5	+	3'UTR-distal	""	""	Genic	0.000126
chr10	63621515	63621516	CITS_101[gene=chr10_f_c13314][PH=10][PH0=0.00][P=1.00e-100]	10	+	3'UTR	ENSG00000165476.15	""	Genic	1e-100
chr10	63623990	63623991	CITS_105[gene=chr10_f_c13314][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSG00000165476.15	""	Genic	1e-100
chr10	68749858	68749859	CITS_123[gene=chr10_f_c14020][PH=5][PH0=0.00][P=3.99e-10]	5	+	Proximal intronic	ENSG00000060339.15	""	Genic	3.99e-10
chr10	68752545	68752546	CITS_124[gene=chr10_f_c14020][PH=15][PH0=0.00][P=1.00e-100]	15	+	Deep intronic	ENSG00000060339.15	""	Genic	1e-100
chr10	68755185	68755186	CITS_125[gene=chr10_f_c14020][PH=10][PH0=0.00][P=1.00e-100]	10	+	Proximal intronic	ENSG00000060339.15	""	Genic	1e-100
chr10	68972092	68972093	CITS_129[gene=chr10_f_c14020][PH=8][PH0=0.00][P=1.00e-100]	8	+	Deep intronic	ENSG00000165732.15	""	Genic	1e-100
chr10	70164637	70164638	CITS_132[gene=chr10_f_c14206][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	""	""	Genic	1e-100
chr10	70351846	70351847	CITS_133[gene=chr10_f_c14206][PH=7][PH0=0.00][P=1.00e-100]	7	+	Deep intronic	""	""	Genic	1e-100
chr10	70352231	70352232	CITS_135[gene=chr10_f_c14206][PH=43][PH0=0.00][P=1.00e-100]	43	+	Deep intronic	""	""	Genic	1e-100
chr10	70817633	70817634	CITS_137[gene=chr10_f_c14293][PH=14][PH0=0.00][P=1.00e-100]	14	+	First intron	ENSG00000166224.19	SGPL1	Genic	1e-100
chr10	72767184	72767185	CITS_140[gene=chr10_f_c14567][PH=5][PH0=0.00][P=1.00e-100]	5	+	First intron	ENSG00000156026.16	""	Genic	1e-100
chr10	75525606	75525607	CITS_146[gene=chr10_f_c16224][PH=6][PH0=0.21][P=4.34e-05]	6	+	Satellite/LC	ENSG00000148655.16	LRMDA	TE	4.34e-05
chr10	75710354	75710355	CITS_147[gene=chr10_f_c16856][PH=5][PH0=0.21][P=3.96e-04]	5	+	Deep intronic	ENSG00000148655.16	LRMDA	Genic	0.000396
chr10	86487048	86487049	CITS_164[gene=chr10_f_c20796][PH=9][PH0=0.71][P=1.09e-05]	9	+	LINE	""	""	TE	1.09e-05
chr10	86610995	86610996	CITS_165[gene=chr10_f_c20811][PH=7][PH0=0.61][P=5.71e-04]	7	+	Alu	""	""	TE	0.000571
chr10	87172292	87172293	CITS_168[gene=chr10_f_c21636][PH=8][PH0=0.30][P=4.06e-07]	8	+	Deep intronic	ENSG00000122376.13	""	Genic	4.06e-07
chr10	87481334	87481335	CITS_171[gene=chr10_f_c21792][PH=5][PH0=0.01][P=2.87e-08]	5	+	First intron	ENSG00000305816.1	""	Genic	2.87e-08
chr10	87874461	87874462	CITS_173[gene=chr10_f_c22040][PH=9][PH0=0.49][P=8.50e-07]	9	+	First intron	ENSG00000171862.16	PTEN	Genic	8.5e-07
chr10	87875052	87875053	CITS_174[gene=chr10_f_c22047][PH=12][PH0=0.62][P=4.55e-09]	12	+	First intron	ENSG00000171862.16	PTEN	Genic	4.55e-09
chr10	87880221	87880222	CITS_177[gene=chr10_f_c22103][PH=7][PH0=0.38][P=1.03e-04]	7	+	First intron	ENSG00000171862.16	PTEN	Genic	0.000103
chr10	87880293	87880294	CITS_178[gene=chr10_f_c22104][PH=5][PH0=0.20][P=7.13e-04]	5	+	Satellite/LC	ENSG00000171862.16	PTEN	TE	0.000713
chr10	87927846	87927847	CITS_181[gene=chr10_f_c22368][PH=12][PH0=0.59][P=1.45e-09]	12	+	Deep intronic	ENSG00000171862.16	PTEN	Genic	1.45e-09
chr10	87935714	87935715	CITS_182[gene=chr10_f_c22420][PH=5][PH0=0.10][P=4.13e-05]	5	+	Deep intronic	ENSG00000171862.16	PTEN	Genic	4.13e-05
chr10	87963369	87963370	CITS_184[gene=chr10_f_c22535][PH=12][PH0=0.01][P=1.00e-100]	12	+	LINE	ENSG00000171862.16	PTEN	TE	1e-100
chr10	89774399	89774400	CITS_187[gene=chr10_f_c22994][PH=5][PH0=0.17][P=4.45e-04]	5	+	3'UTR	ENSG00000138182.16	""	Genic	0.000445
chr10	91951320	91951321	CITS_191[gene=chr10_f_c23613][PH=6][PH0=0.34][P=2.87e-04]	6	+	Proximal intronic	ENSG00000095564.16	""	Genic	0.000287
chr10	92695593	92695594	CITS_196[gene=chr10_f_c24018][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR	ENSG00000152804.12	""	Genic	1e-100
chr10	94554666	94554667	CITS_201[gene=chr10_f_c24871][PH=6][PH0=0.26][P=1.23e-04]	6	+	LTR/ERV	ENSG00000119969.17	""	TE	0.000123
chr10	94602717	94602718	CITS_203[gene=chr10_f_c25131][PH=15][PH0=0.37][P=1.00e-100]	15	+	3'UTR	ENSG00000119969.17	""	Genic	1e-100
chr10	94603105	94603106	CITS_204[gene=chr10_f_c25133][PH=7][PH0=0.14][P=1.09e-07]	7	+	3'UTR	ENSG00000119969.17	""	Genic	1.09e-07
chr10	96060640	96060641	CITS_207[gene=chr10_f_c25529][PH=5][PH0=0.00][P=9.53e-10]	5	+	3'UTR	ENSG00000107443.17	""	Genic	9.53e-10
chr10	96132505	96132506	CITS_211[gene=chr10_f_c25529][PH=10][PH0=0.00][P=1.00e-100]	10	+	5'UTR	ENSG00000177853.16	""	Genic	1e-100
chr10	96135666	96135667	CITS_213[gene=chr10_f_c25529][PH=7][PH0=0.00][P=1.00e-100]	7	+	Deep intronic	ENSG00000177853.16	""	Genic	1e-100
chr10	96136206	96136207	CITS_214[gene=chr10_f_c25529][PH=13][PH0=0.00][P=1.00e-100]	13	+	Deep intronic	ENSG00000177853.16	""	Genic	1e-100
chr10	96138955	96138956	CITS_215[gene=chr10_f_c25529][PH=5][PH0=0.00][P=9.53e-10]	5	+	LINE	ENSG00000177853.16	""	TE	9.53e-10
chr10	96162315	96162316	CITS_222[gene=chr10_f_c25529][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSG00000177853.16	""	Genic	1e-100
chr10	96168316	96168317	CITS_224[gene=chr10_f_c25529][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSG00000177853.16	""	Genic	1e-100
chr10	100361104	100361105	CITS_232[gene=chr10_f_c26766][PH=15][PH0=0.24][P=1.00e-100]	15	+	3'UTR	ENSG00000099194.7	""	Genic	1e-100
chr10	100361755	100361756	CITS_233[gene=chr10_f_c26772][PH=12][PH0=0.32][P=5.50e-12]	12	+	3'UTR	ENSG00000099194.7	""	Genic	5.5e-12
chr10	100362258	100362259	CITS_234[gene=chr10_f_c26773][PH=5][PH0=0.00][P=9.97e-09]	5	+	3'UTR	ENSG00000099194.7	""	Genic	9.97e-09
chr10	100364073	100364074	CITS_237[gene=chr10_f_c26773][PH=12][PH0=0.00][P=1.00e-100]	12	+	3'UTR	ENSG00000099194.7	""	Genic	1e-100
chr10	100364130	100364131	CITS_238[gene=chr10_f_c26773][PH=200][PH0=0.00][P=1.00e-100]	200	+	3'UTR	ENSG00000099194.7	""	Genic	1e-100
chr10	100364227	100364228	CITS_239[gene=chr10_f_c26773][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSG00000099194.7	""	Genic	1e-100
chr10	100364487	100364488	CITS_240[gene=chr10_f_c26773][PH=5][PH0=0.00][P=9.97e-09]	5	+	3'UTR	ENSG00000099194.7	""	Genic	9.97e-09
chr10	100364699	100364700	CITS_241[gene=chr10_f_c26773][PH=10][PH0=0.00][P=1.00e-100]	10	+	3'UTR	ENSG00000099194.7	""	Genic	1e-100
chr10	100364795	100364796	CITS_242[gene=chr10_f_c26773][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSG00000099194.7	""	Genic	1e-100
chr10	100933320	100933321	CITS_245[gene=chr10_f_c26836][PH=5][PH0=0.21][P=6.01e-04]	5	+	Deep intronic	ENSG00000119906.14	""	Genic	0.000601
chr10	100938990	100938991	CITS_246[gene=chr10_f_c26863][PH=6][PH0=0.19][P=1.64e-05]	6	+	LINE	ENSG00000119906.14	""	TE	1.64e-05
chr10	102657531	102657532	CITS_250[gene=chr10_f_c27880][PH=6][PH0=0.16][P=8.42e-06]	6	+	3'UTR	ENSG00000171206.18	""	Genic	8.42e-06
chr10	102864761	102864762	CITS_252[gene=chr10_f_c28022][PH=6][PH0=0.30][P=1.88e-04]	6	+	3'UTR	ENSG00000166275.17	""	Genic	0.000188
chr10	104025871	104025872	CITS_256[gene=chr10_f_c28224][PH=5][PH0=0.00][P=1.00e-100]	5	+	3'UTR	ENSG00000065613.16	""	Genic	1e-100
chr10	107268909	107268910	CITS_257[gene=chr10_f_c28596][PH=7][PH0=0.39][P=2.76e-05]	7	+	Intergenic	""	""	Intergenic	2.76e-05
chr10	112761062	112761063	CITS_268[gene=chr10_f_c29987][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	ENSG00000151532.16	""	Genic	1e-100
chr10	113045790	113045791	CITS_269[gene=chr10_f_c30060][PH=8][PH0=0.00][P=1.00e-100]	8	+	Satellite/LC	ENSG00000148737.19	""	TE	1e-100
chr10	113166464	113166465	CITS_272[gene=chr10_f_c30060][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR	ENSG00000148737.19	""	Genic	1e-100
chr10	118644284	118644285	CITS_276[gene=chr10_f_c31037][PH=14][PH0=0.86][P=2.24e-10]	14	+	Deep intronic	""	""	Genic	2.24e-10
chr10	123164088	123164089	CITS_280[gene=chr10_f_c32006][PH=5][PH0=0.13][P=1.49e-04]	5	+	3'UTR	ENSG00000154473.19	""	Genic	0.000149
chr10	123164974	123164975	CITS_281[gene=chr10_f_c32016][PH=7][PH0=0.50][P=5.33e-04]	7	+	3'UTR	ENSG00000154473.19	""	Genic	0.000533
chr10	123184061	123184062	CITS_282[gene=chr10_f_c32083][PH=6][PH0=0.14][P=1.97e-06]	6	+	LTR/ERV	""	""	TE	1.97e-06
chr10	123249239	123249240	CITS_283[gene=chr10_f_c32194][PH=7][PH0=0.00][P=1.00e-100]	7	+	Intergenic	""	""	Intergenic	1e-100
chr10	124938113	124938114	CITS_291[gene=chr10_f_c32531][PH=5][PH0=0.11][P=4.09e-05]	5	+	First intron	ENSG00000249456.1	""	Genic	4.09e-05
chr10	132782264	132782265	CITS_298[gene=chr10_f_c34154][PH=7][PH0=0.40][P=1.21e-04]	7	+	3'UTR	ENSG00000068383.20	""	Genic	0.000121
chr10	812543	812544	CITS_302[gene=chr10_r_c410][PH=9][PH0=0.00][P=1.00e-100]	9	-	3'UTR	ENSG00000107929.17	""	Genic	1e-100
chr10	3249198	3249199	CITS_307[gene=chr10_r_c593][PH=5][PH0=0.28][P=8.49e-04]	5	-	Deep intronic	ENSG00000226762.6	LINC02668	Genic	0.000849
chr10	5705765	5705766	CITS_310[gene=chr10_r_c806][PH=11][PH0=0.00][P=1.00e-100]	11	-	LINE	""	""	TE	1e-100
chr10	5765769	5765770	CITS_311[gene=chr10_r_c823][PH=107][PH0=1.87][P=1.00e-100]	107	-	3'UTR	ENSG00000057608.19	""	Genic	1e-100
chr10	19490443	19490444	CITS_323[gene=chr10_r_c3593][PH=7][PH0=0.19][P=4.86e-07]	7	-	Deep intronic	""	""	Genic	4.86e-07
chr10	19490676	19490677	CITS_324[gene=chr10_r_c3594][PH=9][PH0=0.30][P=1.57e-08]	9	-	Deep intronic	""	""	Genic	1.57e-08
chr10	22536717	22536718	CITS_332[gene=chr10_r_c4093][PH=8][PH0=0.53][P=5.59e-05]	8	-	3'UTR	ENSG00000150867.15	""	Genic	5.59e-05
chr10	27138564	27138565	CITS_347[gene=chr10_r_c5484][PH=6][PH0=0.15][P=5.50e-06]	6	-	LINE	ENSG00000136758.22	""	TE	5.5e-06
chr10	32011049	32011050	CITS_352[gene=chr10_r_c6744][PH=5][PH0=0.19][P=7.63e-04]	5	-	3'UTR	ENSG00000170759.12	""	Genic	0.000763
chr10	32900628	32900629	CITS_353[gene=chr10_r_c7409][PH=14][PH0=0.40][P=1.00e-15]	14	-	3'UTR	ENSG00000150093.21	""	Genic	1e-15
chr10	32901421	32901422	CITS_354[gene=chr10_r_c7421][PH=30][PH0=1.19][P=1.00e-100]	30	-	3'UTR	ENSG00000150093.21	""	Genic	1e-100
chr10	33178090	33178091	CITS_356[gene=chr10_r_c7645][PH=6][PH0=0.15][P=4.03e-06]	6	-	3'UTR	ENSG00000099250.19	""	Genic	4.03e-06
chr10	33295784	33295785	CITS_357[gene=chr10_r_c7963][PH=6][PH0=0.33][P=3.32e-04]	6	-	Deep intronic	ENSG00000099250.19	""	Genic	0.000332
chr10	33328064	33328065	CITS_358[gene=chr10_r_c8111][PH=6][PH0=0.28][P=1.42e-04]	6	-	Deep intronic	ENSG00000099250.19	""	Genic	0.000142
chr10	34359009	34359010	CITS_362[gene=chr10_r_c8411][PH=5][PH0=0.01][P=1.61e-07]	5	-	Proximal intronic	ENSG00000148498.18	""	Genic	1.61e-07
chr10	34360713	34360714	CITS_363[gene=chr10_r_c8411][PH=8][PH0=0.01][P=1.00e-100]	8	-	First intron	ENSG00000148498.18	""	Genic	1e-100
chr10	34390883	34390884	CITS_365[gene=chr10_r_c8411][PH=6][PH0=0.01][P=1.00e-100]	6	-	Deep intronic	ENSG00000148498.18	""	Genic	1e-100
chr10	34617614	34617615	CITS_366[gene=chr10_r_c8411][PH=11][PH0=0.01][P=1.00e-100]	11	-	LINE	ENSG00000148498.18	""	TE	1e-100
chr10	34633248	34633249	CITS_369[gene=chr10_r_c8411][PH=5][PH0=0.01][P=1.61e-07]	5	-	LINE	ENSG00000148498.18	""	TE	1.61e-07
chr10	34689839	34689840	CITS_373[gene=chr10_r_c8411][PH=5][PH0=0.01][P=1.61e-07]	5	-	Deep intronic	ENSG00000148498.18	""	Genic	1.61e-07
chr10	34696271	34696272	CITS_374[gene=chr10_r_c8411][PH=5][PH0=0.01][P=1.61e-07]	5	-	Proximal intronic	ENSG00000148498.18	""	Genic	1.61e-07
chr10	34700038	34700039	CITS_375[gene=chr10_r_c8414][PH=6][PH0=0.24][P=4.15e-05]	6	-	First intron	ENSG00000148498.18	""	Genic	4.15e-05
chr10	34744352	34744353	CITS_376[gene=chr10_r_c8532][PH=7][PH0=0.39][P=6.34e-05]	7	-	First intron	ENSG00000148498.18	""	Genic	6.34e-05
chr10	36522639	36522640	CITS_379[gene=chr10_r_c9141][PH=5][PH0=0.00][P=1.00e-100]	5	-	Other exon	ENSG00000229644.6	NAMPTP1	Genic	1e-100
chr10	43405137	43405138	CITS_382[gene=chr10_r_c9714][PH=5][PH0=0.26][P=9.36e-04]	5	-	First intron	ENSG00000169813.18	""	Genic	0.000936
chr10	45178212	45178213	CITS_384[gene=chr10_r_c9889][PH=7][PH0=0.00][P=1.00e-100]	7	-	Deep intronic	ENSG00000165511.7	ZNF22-AS1	Genic	1e-100
chr10	45855629	45855630	CITS_385[gene=chr10_r_c10037][PH=7][PH0=0.00][P=1.00e-100]	7	-	LTR/ERV	ENSG00000290921.2	""	TE	1e-100
chr10	46629625	46629626	CITS_389[gene=chr10_r_c10260][PH=8][PH0=0.30][P=4.06e-07]	8	-	Deep intronic	ENSG00000165874.14	SHLD2P1	Genic	4.06e-07
chr10	48056016	48056017	CITS_393[gene=chr10_r_c10485][PH=5][PH0=0.18][P=1.66e-04]	5	-	Deep intronic	ENSG00000270025.2	BMS1P7	Genic	0.000166
chr10	48622248	48622249	CITS_394[gene=chr10_r_c10503][PH=17][PH0=0.00][P=1.00e-100]	17	-	LINE	ENSG00000128805.16	""	TE	1e-100
chr10	50343367	50343368	CITS_396[gene=chr10_r_c11001][PH=5][PH0=0.00][P=1.97e-10]	5	-	First intron	ENSG00000198964.15	""	Genic	1.97e-10
chr10	50799721	50799722	CITS_400[gene=chr10_r_c11390][PH=26][PH0=0.77][P=1.00e-100]	26	-	3'UTR	ENSG00000148584.17	""	Genic	1e-100
chr10	50800778	50800779	CITS_401[gene=chr10_r_c11403][PH=18][PH0=0.68][P=1.00e-100]	18	-	3'UTR	ENSG00000148584.17	""	Genic	1e-100
chr10	50871598	50871599	CITS_407[gene=chr10_r_c11617][PH=5][PH0=0.01][P=4.00e-07]	5	-	First intron	ENSG00000148584.17	""	Genic	4e-07
chr10	50875268	50875269	CITS_409[gene=chr10_r_c11617][PH=5][PH0=0.01][P=4.00e-07]	5	-	First intron	ENSG00000148584.17	""	Genic	4e-07
chr10	50877685	50877686	CITS_410[gene=chr10_r_c11617][PH=11][PH0=0.01][P=1.00e-100]	11	-	First intron	ENSG00000148584.17	""	Genic	1e-100
chr10	55698110	55698111	CITS_414[gene=chr10_r_c12176][PH=5][PH0=0.14][P=7.21e-05]	5	-	Intergenic	""	""	Intergenic	7.21e-05
chr10	56595994	56595995	CITS_417[gene=chr10_r_c13071][PH=11][PH0=0.66][P=4.52e-08]	11	-	Other exon	ENSG00000238707.1	""	Genic	4.52e-08
chr10	58225274	58225275	CITS_419[gene=chr10_r_c13334][PH=6][PH0=0.00][P=1.00e-100]	6	-	Other SINE	ENSG00000151151.7	""	TE	1e-100
chr10	62207734	62207735	CITS_420[gene=chr10_r_c14756][PH=5][PH0=0.19][P=3.94e-04]	5	-	Deep intronic	ENSG00000182010.12	""	Genic	0.000394
chr10	63203586	63203587	CITS_422[gene=chr10_r_c15113][PH=5][PH0=0.21][P=6.52e-04]	5	-	Satellite/LC	ENSG00000171988.20	JMJD1C	TE	0.000652
chr10	63243723	63243724	CITS_426[gene=chr10_r_c15185][PH=8][PH0=0.01][P=1.00e-100]	8	-	LINE	ENSG00000171988.20	JMJD1C	TE	1e-100
chr10	63254189	63254190	CITS_429[gene=chr10_r_c15185][PH=7][PH0=0.01][P=1.00e-100]	7	-	Satellite/LC	ENSG00000171988.20	JMJD1C	TE	1e-100
chr10	63332980	63332981	CITS_431[gene=chr10_r_c15300][PH=6][PH0=0.20][P=3.15e-05]	6	-	Deep intronic	ENSG00000171988.20	JMJD1C	Genic	3.15e-05
chr10	68062114	68062115	CITS_444[gene=chr10_r_c16440][PH=7][PH0=0.00][P=1.00e-100]	7	-	Deep intronic	ENSG00000148634.17	""	Genic	1e-100
chr10	70152043	70152044	CITS_448[gene=chr10_r_c16831][PH=8][PH0=0.59][P=1.48e-04]	8	-	3'UTR	ENSG00000079332.17	""	Genic	0.000148
chr10	70824595	70824596	CITS_449[gene=chr10_r_c16979][PH=9][PH0=0.69][P=1.14e-05]	9	-	Satellite/LC	""	""	TE	1.14e-05
chr10	73007280	73007281	CITS_450[gene=chr10_r_c17440][PH=6][PH0=0.00][P=1.00e-100]	6	-	3'UTR	ENSG00000122884.14	""	Genic	1e-100
chr10	73007581	73007582	CITS_452[gene=chr10_r_c17440][PH=9][PH0=0.00][P=1.00e-100]	9	-	3'UTR	ENSG00000122884.14	""	Genic	1e-100
chr10	73375479	73375480	CITS_458[gene=chr10_r_c17483][PH=8][PH0=0.00][P=1.00e-100]	8	-	3'UTR	ENSG00000138279.17	""	Genic	1e-100
chr10	73724522	73724523	CITS_462[gene=chr10_r_c17646][PH=5][PH0=0.00][P=1.00e-100]	5	-	Deep intronic	ENSG00000242288.9	BMS1P4-AGAP5	Genic	1e-100
chr10	79796355	79796356	CITS_469[gene=chr10_r_c18780][PH=6][PH0=0.01][P=2.77e-10]	6	-	Satellite/LC	ENSG00000225484.8	NUTM2B-AS1	TE	2.77e-10
chr10	80246902	80246903	CITS_472[gene=chr10_r_c18914][PH=8][PH0=0.52][P=2.56e-05]	8	-	Satellite/LC	""	""	TE	2.56e-05
chr10	86436381	86436382	CITS_476[gene=chr10_r_c19380][PH=5][PH0=0.00][P=1.00e-100]	5	-	3'UTR	ENSG00000062650.21	""	Genic	1e-100
chr10	86476816	86476817	CITS_479[gene=chr10_r_c19380][PH=5][PH0=0.00][P=1.00e-100]	5	-	Deep intronic	ENSG00000062650.21	""	Genic	1e-100
chr10	87050582	87050583	CITS_484[gene=chr10_r_c19440][PH=61][PH0=1.50][P=1.00e-100]	61	-	3'UTR	ENSG00000148672.11	""	Genic	1e-100
chr10	87753816	87753817	CITS_490[gene=chr10_r_c20274][PH=5][PH0=0.19][P=3.13e-04]	5	-	3'UTR	ENSG00000138138.15	""	Genic	0.000313
chr10	87754226	87754227	CITS_491[gene=chr10_r_c20280][PH=6][PH0=0.37][P=7.80e-04]	6	-	3'UTR	ENSG00000138138.15	""	Genic	0.00078
chr10	89625735	89625736	CITS_493[gene=chr10_r_c20859][PH=5][PH0=0.00][P=1.00e-100]	5	-	Satellite/LC	ENSG00000152782.20	""	TE	1e-100
chr10	90912293	90912294	CITS_494[gene=chr10_r_c20955][PH=10][PH0=0.64][P=1.65e-06]	10	-	3'UTR	ENSG00000148677.8	""	Genic	1.65e-06
chr10	91806777	91806778	CITS_496[gene=chr10_r_c21072][PH=6][PH0=0.00][P=1.00e-100]	6	-	Deep intronic	""	""	Genic	1e-100
chr10	91807026	91807027	CITS_497[gene=chr10_r_c21072][PH=5][PH0=0.00][P=1.00e-100]	5	-	Deep intronic	""	""	Genic	1e-100
chr10	94113273	94113274	CITS_500[gene=chr10_r_c21855][PH=7][PH0=0.24][P=1.42e-06]	7	-	LINE	""	""	TE	1.42e-06
chr10	96521249	96521250	CITS_507[gene=chr10_r_c22573][PH=6][PH0=0.21][P=1.91e-05]	6	-	3'UTR	ENSG00000077147.17	""	Genic	1.91e-05
chr10	101690467	101690468	CITS_513[gene=chr10_r_c23681][PH=7][PH0=0.23][P=2.37e-06]	7	-	First intron	ENSG00000107829.16	""	Genic	2.37e-06
chr10	101729523	101729524	CITS_515[gene=chr10_r_c23758][PH=5][PH0=0.14][P=1.59e-04]	5	-	LINE	ENSG00000224817.3	LINC03046	TE	0.000159
chr10	101793192	101793193	CITS_516[gene=chr10_r_c23805][PH=11][PH0=0.54][P=8.82e-09]	11	-	Satellite/LC	ENSG00000198408.15	""	TE	8.82e-09
chr10	103596419	103596420	CITS_522[gene=chr10_r_c24515][PH=5][PH0=0.17][P=4.71e-04]	5	-	3'UTR	ENSG00000107957.17	SH3PXD2A	Genic	0.000471
