chr	start	end	name	score	strand	NormedTC_ENCFF149LRA	NormedTC_ENCFF669MUY	NormedTC_K562_HNRNPC	BC_K562_HNRNPC	annotation	gene	external_gene_name	grouped_annotation
chr1	1271648	1271668	chr1-4610	7.18	-	1.2293	0.9516	2.1809	2	First intron	ENSG00000160087.22	""	Genic
chr1	1271763	1271783	chr1-3542	6.61	-	1.4752	0.9119	2.3871	2	Alu	ENSG00000160087.22	""	TE
chr1	1271881	1271901	chr1-4611	6.61	-	0.8605	1.6652	2.5257	2	Alu	ENSG00000160087.22	""	TE
chr1	1272121	1272141	chr1-3543	8.9	-	1.2293	2.0617	3.291	2	Alu	ENSG00000160087.22	""	TE
chr1	1272278	1272298	chr1-3544	7.47	-	1.721	1.8635	3.5845	2	First intron	ENSG00000160087.22	""	Genic
chr1	1272399	1272419	chr1-8009	6.89	-	1.3522	1.348	2.7003	2	First intron	ENSG00000160087.22	""	Genic
chr1	1316264	1316284	chr1-300	46.2	-	6.0236	6.0265	12.0501	2	Alu	ENSG00000127054.23	""	TE
chr1	1316398	1316418	chr1-2725	19	-	1.9669	2.4582	4.4251	2	Alu	ENSG00000127054.23	""	TE
chr1	1316571	1316591	chr1-2109	21.8	-	2.9503	2.9736	5.9239	2	Alu	ENSG00000127054.23	""	TE
chr1	1316731	1316751	chr1-3545	13.8	-	3.6879	2.6961	6.384	2	Alu	ENSG00000127054.23	""	TE
chr1	1317368	1317388	chr1-1082	44.2	-	5.6548	5.8679	11.5227	2	Alu	ENSG00000127054.23	""	TE
chr1	1317577	1317597	chr1-1354	9.76	-	1.5981	1.7049	3.303	2	First intron	ENSG00000127054.23	""	Genic
chr1	1317735	1317755	chr1-2726	9.48	-	2.2128	2.022	4.2348	2	LINE	ENSG00000127054.23	""	TE
chr1	1318260	1318280	chr1-1680	14.4	-	2.9503	1.3877	4.338	2	LINE	ENSG00000127054.23	""	TE
chr1	1318458	1318478	chr1-1083	13.2	-	3.3191	3.0529	6.372	2	Alu	ENSG00000127054.23	""	TE
chr1	1318619	1318639	chr1-2727	13.5	-	3.565	4.0044	7.5694	2	Alu	ENSG00000127054.23	""	TE
chr1	1318891	1318911	chr1-2110	7.75	-	1.844	1.7049	3.5488	2	CDS	ENSG00000127054.23	""	Genic
chr1	1374147	1374167	chr1-6018	5.17	-	0.9834	1.0308	2.0143	2	CDS	ENSG00000175756.15	""	Genic
chr1	1387038	1387058	chr1-2728	8.04	-	1.2293	1.6256	2.8549	2	3'UTR	ENSG00000221978.14	""	Genic
chr1	1387271	1387291	chr1-6020	8.04	-	1.3522	1.5859	2.9382	2	CDS	ENSG00000221978.14	""	Genic
chr1	1387403	1387423	chr1-1681	8.62	-	0.8605	1.5859	2.4464	2	CDS	ENSG00000221978.14	""	Genic
chr1	1387837	1387857	chr1-229	13.2	-	1.721	1.3084	3.0294	2	CDS	ENSG00000221978.14	""	Genic
chr1	1387975	1387995	chr1-2729	6.61	-	2.5816	1.5463	4.1278	2	CDS	ENSG00000221978.14	""	Genic
chr1	1388033	1388053	chr1-414	9.76	-	1.1064	1.467	2.5734	2	CDS	ENSG00000221978.14	""	Genic
chr1	1388745	1388765	chr1-694	51.1	-	4.1797	6.7005	10.8802	2	Alu	ENSG00000221978.14	""	TE
chr1	1389092	1389112	chr1-2731	10.1	-	0.8605	1.4273	2.2878	2	Alu	ENSG00000221978.14	""	TE
chr1	1389175	1389195	chr1-1682	12.9	-	1.2293	1.9031	3.1324	2	Alu	ENSG00000221978.14	""	TE
chr1	1389383	1389403	chr1-2732	8.33	-	2.5816	1.7445	4.3261	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1389471	1389491	chr1-2733	12.3	-	1.2293	1.9428	3.1721	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1389624	1389644	chr1-583	12.6	-	2.2128	2.141	4.3537	2	Alu	ENSG00000221978.14	""	TE
chr1	1389930	1389950	chr1-2735	25.6	-	2.5816	3.3701	5.9516	2	Alu	ENSG00000221978.14	""	TE
chr1	1390086	1390106	chr1-851	21.5	-	9.8345	10.0309	19.8654	2	Alu	ENSG00000221978.14	""	TE
chr1	1390339	1390359	chr1-134	13.2	-	1.5981	1.8635	3.4616	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390992	1391012	chr1-1683	9.19	-	2.2128	2.3789	4.5916	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391057	1391077	chr1-852	22.1	-	2.7045	2.8547	5.5591	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391181	1391201	chr1-1084	12.9	-	4.6714	3.2115	7.8829	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391383	1391403	chr1-585	15.2	-	2.7045	2.8943	5.5988	2	CDS	ENSG00000221978.14	""	Genic
chr1	1391809	1391829	chr1-2737	11.5	-	2.2128	2.1806	4.3934	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391964	1391984	chr1-1085	12.1	-	2.9503	2.4978	5.4482	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392160	1392180	chr1-2113	9.48	-	2.0898	1.5859	3.6757	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393435	1393455	chr1-351	7.75	-	1.2293	0.7533	1.9826	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393935	1393955	chr1-853	40.2	-	6.0236	4.7974	10.821	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394098	1394118	chr1-854	31.6	-	5.9007	7.2556	13.1563	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394235	1394255	chr1-1684	11.5	-	2.2128	2.3392	4.552	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394727	1394747	chr1-587	143.3	-	12.539	16.8504	29.3894	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1395035	1395055	chr1-205	98.5	-	10.4491	13.0838	23.533	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1397839	1397859	chr1-6022	7.47	-	0.9834	1.0705	2.0539	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1401986	1402006	chr1-6023	8.04	-	1.5981	1.348	2.9461	2	3'UTR	ENSG00000242485.7	""	Genic
chr1	1402054	1402074	chr1-2115	7.75	-	1.3522	2.1013	3.4536	2	3'UTR	ENSG00000242485.7	""	Genic
chr1	1402235	1402255	chr1-4620	8.04	-	0.6147	1.0705	1.6852	2	CDS	ENSG00000242485.7	""	Genic
chr1	1406168	1406188	chr1-8013	10.3	-	1.844	1.2291	3.0731	2	3'UTR-distal	ENSG00000242485.7	""	Genic
chr1	1406344	1406364	chr1-8014	21.5	-	1.9669	2.5375	4.5044	2	3'UTR-distal	ENSG00000242485.7	""	Genic
chr1	1407879	1407899	chr1-25333	6.32	+	0.8605	0.8326	1.6931	2	Alu	ENSG00000301639.1	""	TE
chr1	1408795	1408815	chr1-10615	7.75	+	0.6147	1.0705	1.6852	2	Alu	""	""	TE
chr1	1409472	1409492	chr1-3556	11.5	+	2.2128	1.1894	3.4022	2	Alu	ENSG00000272455.1	MRPL20-DT	TE
chr1	1409781	1409801	chr1-8015	5.46	+	1.2293	0.793	2.0223	2	LTR/ERV	ENSG00000272455.1	MRPL20-DT	TE
chr1	1471777	1471797	chr1-2739	10.9	+	0.8605	1.7445	2.605	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1473169	1473189	chr1-8016	23.8	+	1.5981	3.0132	4.6114	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1473524	1473544	chr1-3557	31.9	+	4.3026	3.608	7.9106	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1473684	1473704	chr1-3558	11.2	+	1.5981	1.3877	2.9858	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474212	1474232	chr1-4621	14.4	+	1.2293	1.6652	2.8945	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474383	1474403	chr1-3559	17.5	+	2.7045	2.5375	5.242	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474515	1474535	chr1-2740	9.48	+	1.844	1.7842	3.6281	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1476536	1476556	chr1-855	15.8	+	2.0898	2.1013	4.1912	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1476832	1476852	chr1-2116	16.7	+	2.3357	2.141	4.4767	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477047	1477067	chr1-1685	16.4	+	1.4752	2.3392	3.8144	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477278	1477298	chr1-1086	7.75	+	0.4917	1.1498	1.6415	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478028	1478048	chr1-261	54	+	15.2434	17.5641	32.8075	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478185	1478205	chr1-415	51.7	+	8.4822	7.2159	15.6982	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1484209	1484229	chr1-4622	6.03	+	0.9834	1.3877	2.3711	2	Alu	ENSG00000160072.21	""	TE
chr1	1484694	1484714	chr1-1687	13.8	+	1.844	2.2203	4.0643	2	Deep intronic	ENSG00000160072.21	""	Genic
chr1	1493250	1493270	chr1-18824	4.88	+	1.1064	0.5947	1.7011	2	LINE	ENSG00000160072.21	""	TE
chr1	1515114	1515134	chr1-6028	4.88	+	0.9834	0.8326	1.8161	2	Alu	ENSG00000197785.15	""	TE
chr1	1516442	1516462	chr1-4623	13.5	+	2.0898	1.4273	3.5172	2	Alu	ENSG00000197785.15	""	TE
chr1	1516745	1516765	chr1-3560	5.74	+	1.721	1.7049	3.4259	2	Alu	ENSG00000197785.15	""	TE
chr1	1521431	1521451	chr1-6029	8.9	+	1.1064	1.2291	2.3355	2	Deep intronic	ENSG00000197785.15	""	Genic
chr1	1522061	1522081	chr1-6030	6.61	+	0.7376	1.2687	2.0063	2	Alu	ENSG00000197785.15	""	TE
chr1	1526048	1526068	chr1-10621	7.18	+	0.6147	1.0705	1.6852	2	Alu	ENSG00000197785.15	""	TE
chr1	1527987	1528007	chr1-2117	14.1	+	3.1962	3.7269	6.9231	2	Alu	ENSG00000197785.15	""	TE
chr1	1528149	1528169	chr1-2118	8.04	+	0.8605	1.2291	2.0896	2	Alu	ENSG00000197785.15	""	TE
chr1	1546829	1546849	chr1-4624	6.89	-	0.9834	1.0308	2.0143	2	Alu	ENSG00000160075.13	""	TE
chr1	1548527	1548547	chr1-2741	8.04	-	1.2293	1.7049	2.9342	2	Alu	ENSG00000160075.13	""	TE
chr1	1549486	1549506	chr1-10623	4.02	-	0.8605	0.9119	1.7724	2	Alu	ENSG00000160075.13	""	TE
chr1	1550150	1550170	chr1-8022	9.48	-	0.7376	1.2291	1.9667	2	Alu	ENSG00000160075.13	""	TE
chr1	1553763	1553783	chr1-3561	19	-	2.7045	2.2599	4.9644	2	Alu	ENSG00000160075.13	""	TE
chr1	1558358	1558378	chr1-14009	4.31	-	0.8605	0.9119	1.7724	2	Alu	ENSG00000160075.13	""	TE
chr1	1558929	1558949	chr1-18831	7.18	-	1.2293	0.8723	2.1016	2	First intron	ENSG00000160075.13	""	Genic
chr1	1563510	1563530	chr1-262	52.3	-	5.7778	6.1454	11.9232	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1563674	1563694	chr1-8024	11.2	-	1.721	1.3877	3.1087	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1566070	1566090	chr1-4627	12.6	-	1.721	1.4273	3.1484	2	Alu	ENSG00000160075.13	""	TE
chr1	1566249	1566269	chr1-1688	13.8	-	1.844	1.5859	3.4299	2	Alu	ENSG00000160075.13	""	TE
chr1	1566832	1566852	chr1-6033	23.5	-	2.2128	2.5375	4.7502	2	Alu	ENSG00000160075.13	""	TE
chr1	1567886	1567906	chr1-18836	9.19	-	0.8605	1.0308	1.8914	2	Alu	ENSG00000160075.13	""	TE
chr1	1568588	1568608	chr1-14012	7.75	-	1.721	1.5066	3.2277	2	Alu	ENSG00000160075.13	""	TE
chr1	1569211	1569231	chr1-8026	5.46	-	0.7376	1.0705	1.8081	2	Satellite/LC	ENSG00000160075.13	""	TE
chr1	1570258	1570278	chr1-2744	12.6	-	0.7376	1.5463	2.2839	2	Alu	ENSG00000160075.13	""	TE
chr1	1570556	1570576	chr1-6034	7.18	-	1.2293	1.1498	2.3791	2	First intron	ENSG00000160075.13	""	Genic
chr1	1571406	1571426	chr1-3562	15.2	-	1.3522	1.8635	3.2157	2	Alu	ENSG00000160075.13	""	TE
chr1	1573405	1573425	chr1-2119	32.7	-	3.3191	3.8062	7.1253	2	Alu	ENSG00000160075.13	""	TE
chr1	1573607	1573627	chr1-2745	13.8	-	2.2128	2.022	4.2348	2	Alu	ENSG00000160075.13	""	TE
chr1	1573996	1574016	chr1-3563	9.76	-	0.4917	1.2291	1.7208	2	First intron	ENSG00000160075.13	""	Genic
chr1	1574581	1574601	chr1-2746	5.46	-	1.1064	1.7842	2.8905	2	5'UTR	ENSG00000160075.13	""	Genic
chr1	1656719	1656739	chr1-6036	5.46	-	0.9834	0.7533	1.7368	2	3'UTR-distal	ENSG00000248333.10	""	Genic
chr1	1663050	1663070	chr1-10629	4.88	-	1.3522	1.1894	2.5417	2	3'UTR	ENSG00000189339.13	""	Genic
chr1	1663763	1663783	chr1-8029	6.61	-	0.8605	0.793	1.6535	2	3'UTR	ENSG00000189339.13	""	Genic
chr1	1672177	1672197	chr1-4628	9.19	-	1.3522	1.1498	2.502	2	Alu	ENSG00000189339.13	""	TE
chr1	1672320	1672340	chr1-8031	8.9	-	0.9834	1.4273	2.4108	2	Alu	ENSG00000189339.13	""	TE
chr1	1672495	1672515	chr1-2120	6.89	-	1.1064	1.5066	2.613	2	LINE	ENSG00000189339.13	""	TE
chr1	1673946	1673966	chr1-1357	50.3	-	4.5484	5.4714	10.0199	2	Alu	ENSG00000189339.13	""	TE
chr1	1687704	1687724	chr1-2747	6.89	-	0.9834	1.1498	2.1332	2	Alu	ENSG00000189339.13	""	TE
chr1	1689142	1689162	chr1-4630	10.1	-	0.8605	1.467	2.3275	2	Alu	ENSG00000189339.13	""	TE
chr1	1712294	1712314	chr1-8033	4.02	-	1.3522	0.7137	2.0659	2	CDS	ENSG00000008128.24	""	Genic
chr1	1730766	1730786	chr1-2748	5.46	-	1.2293	1.0705	2.2998	2	Deep intronic	ENSG00000268575.1	""	Genic
chr1	1731881	1731901	chr1-3564	43.7	-	3.8109	4.8371	8.6479	2	Alu	ENSG00000268575.1	""	TE
chr1	1732026	1732046	chr1-4632	10.9	-	1.1064	1.348	2.4544	2	Alu	ENSG00000268575.1	""	TE
chr1	1732213	1732233	chr1-1689	23.3	-	2.5816	2.8547	5.4362	2	Alu	ENSG00000268575.1	""	TE
chr1	1736773	1736793	chr1-2749	27	-	5.6548	5.1146	10.7694	2	Alu	ENSG00000215790.9	SLC35E2A	TE
chr1	1737285	1737305	chr1-10640	5.74	-	0.9834	1.0308	2.0143	2	Deep intronic	ENSG00000215790.9	SLC35E2A	Genic
chr1	1742091	1742111	chr1-14033	6.89	-	1.1064	0.7533	1.8597	2	3'UTR-distal	ENSG00000290854.2	""	Genic
chr1	1752297	1752317	chr1-14034	4.88	-	1.4752	1.0308	2.506	2	3'UTR	ENSG00000008130.16	""	Genic
chr1	1752651	1752671	chr1-3565	5.46	-	1.5981	1.3084	2.9065	2	3'UTR	ENSG00000008130.16	""	Genic
chr1	1762969	1762989	chr1-18862	4.31	-	0.9834	0.8326	1.8161	2	Deep intronic	ENSG00000008130.16	""	Genic
chr1	1766074	1766094	chr1-1690	15.5	-	1.9669	2.141	4.1079	2	Alu	ENSG00000008130.16	""	TE
chr1	1766175	1766195	chr1-6039	6.32	-	0.6147	1.0308	1.6455	2	Alu	ENSG00000008130.16	""	TE
chr1	1768347	1768367	chr1-14039	5.46	-	0.7376	0.9119	1.6495	2	Alu	ENSG00000008130.16	""	TE
chr1	1769524	1769544	chr1-14040	9.48	-	0.2459	1.5066	1.7525	2	Alu	ENSG00000008130.16	""	TE
chr1	1769927	1769947	chr1-3567	5.46	-	1.4752	1.6256	3.1007	2	Alu	ENSG00000008130.16	""	TE
chr1	1770146	1770166	chr1-2121	21.5	-	2.4586	3.0132	5.4719	2	Alu	ENSG00000008130.16	""	TE
chr1	1775084	1775104	chr1-4634	10.1	-	0.7376	1.3084	2.046	2	Alu	ENSG00000008130.16	""	TE
chr1	1785365	1785385	chr1-8039	6.03	-	1.1064	1.1894	2.2958	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1785630	1785650	chr1-3568	5.74	-	0.8605	1.2687	2.1293	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786032	1786052	chr1-2122	6.32	-	1.1064	1.0705	2.1769	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786443	1786463	chr1-8041	7.18	-	0.3688	1.3084	1.6772	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786897	1786917	chr1-3569	6.61	-	1.1064	1.1894	2.2958	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1788000	1788020	chr1-3570	21.5	-	2.8274	2.1806	5.0081	2	Alu	ENSG00000078369.20	""	TE
chr1	1788438	1788458	chr1-14044	6.61	-	0.6147	1.0705	1.6852	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1792669	1792689	chr1-4637	19.5	-	1.721	2.2203	3.9413	2	Alu	ENSG00000078369.20	""	TE
chr1	1794162	1794182	chr1-8044	5.74	-	0.8605	1.0308	1.8914	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1795723	1795743	chr1-2750	6.32	-	1.5981	1.467	3.0651	2	Alu	ENSG00000078369.20	""	TE
chr1	1800722	1800742	chr1-14047	9.19	-	1.1064	1.467	2.5734	2	LINE	ENSG00000078369.20	""	TE
chr1	1800982	1801002	chr1-8045	6.03	-	1.3522	1.1498	2.502	2	LINE	ENSG00000078369.20	""	TE
chr1	1803376	1803396	chr1-14049	5.46	-	0.7376	1.0308	1.7684	2	Alu	ENSG00000078369.20	""	TE
chr1	1803570	1803590	chr1-4638	7.18	-	0.9834	1.3877	2.3711	2	Alu	ENSG00000078369.20	""	TE
chr1	1803953	1803973	chr1-3571	16.7	-	1.844	2.022	3.866	2	Alu	ENSG00000078369.20	""	TE
chr1	1814771	1814791	chr1-10648	13.5	-	1.1064	1.7842	2.8905	2	Alu	ENSG00000078369.20	""	TE
chr1	1815082	1815102	chr1-4639	4.31	-	1.1064	1.2291	2.3355	2	Alu	ENSG00000078369.20	""	TE
chr1	1818275	1818295	chr1-2123	14.9	-	2.0898	2.5771	4.6669	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1818526	1818546	chr1-25410	6.32	-	0.8605	0.8723	1.7328	2	Alu	ENSG00000078369.20	""	TE
chr1	1821735	1821755	chr1-10651	8.04	-	1.2293	1.348	2.5773	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1825838	1825858	chr1-856	11.8	-	0.8605	1.467	2.3275	2	Alu	ENSG00000078369.20	""	TE
chr1	1840032	1840052	chr1-14052	6.32	-	0.9834	0.8326	1.8161	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	1842103	1842123	chr1-25419	6.03	-	1.1064	0.6344	1.7407	2	Alu	ENSG00000078369.20	""	TE
chr1	1842406	1842426	chr1-10654	6.03	-	1.2293	0.6344	1.8637	2	Alu	ENSG00000078369.20	""	TE
chr1	1844004	1844024	chr1-10655	11.2	-	1.1064	1.2291	2.3355	2	Alu	ENSG00000078369.20	""	TE
chr1	1844364	1844384	chr1-2752	23.3	-	1.844	2.8547	4.6986	2	Alu	ENSG00000078369.20	""	TE
chr1	1848185	1848205	chr1-3572	11.5	-	0.8605	1.6256	2.4861	2	Alu	ENSG00000078369.20	""	TE
chr1	1848331	1848351	chr1-695	45.9	-	3.0733	5.749	8.8222	2	Alu	ENSG00000078369.20	""	TE
chr1	1851522	1851542	chr1-2753	6.89	-	0.9834	1.467	2.4504	2	Alu	ENSG00000078369.20	""	TE
chr1	1855129	1855149	chr1-18884	8.04	-	1.1064	0.8326	1.939	2	Alu	ENSG00000078369.20	""	TE
chr1	1855294	1855314	chr1-10657	14.1	-	1.5981	1.7049	3.303	2	Alu	ENSG00000078369.20	""	TE
chr1	1861077	1861097	chr1-1358	8.04	-	1.1064	2.4582	3.5646	2	Alu	ENSG00000078369.20	""	TE
chr1	1861427	1861447	chr1-14059	6.61	-	0.7376	0.9119	1.6495	2	Alu	ENSG00000078369.20	""	TE
chr1	1863590	1863610	chr1-6043	4.88	-	0.4917	1.1894	1.6812	2	First intron	ENSG00000078369.20	""	Genic
chr1	1863922	1863942	chr1-6044	5.46	-	0.7376	1.0705	1.8081	2	Alu	ENSG00000078369.20	""	TE
chr1	1863985	1864005	chr1-10660	6.89	-	0.7376	1.1894	1.927	2	Alu	ENSG00000078369.20	""	TE
chr1	1864288	1864308	chr1-10662	15.2	-	1.721	1.7445	3.4655	2	Alu	ENSG00000078369.20	""	TE
chr1	1865217	1865237	chr1-8048	4.31	-	0.8605	1.9428	2.8033	2	Alu	ENSG00000078369.20	""	TE
chr1	1866607	1866627	chr1-2124	14.6	-	1.5981	2.141	3.7391	2	First intron	ENSG00000078369.20	""	Genic
chr1	1866936	1866956	chr1-301	15.8	-	1.5981	2.141	3.7391	2	Alu	ENSG00000078369.20	""	TE
chr1	1867235	1867255	chr1-6045	9.76	-	1.4752	1.1894	2.6646	2	Alu	ENSG00000078369.20	""	TE
chr1	1869165	1869185	chr1-1359	25	-	1.5981	2.9736	4.5717	2	Alu	ENSG00000078369.20	""	TE
chr1	1870897	1870917	chr1-6046	7.18	-	1.1064	0.9119	2.0183	2	Alu	ENSG00000078369.20	""	TE
chr1	1874576	1874596	chr1-2125	12.1	-	2.0898	3.4097	5.4996	2	Alu	ENSG00000078369.20	""	TE
chr1	1874758	1874778	chr1-1691	10.3	-	4.6714	4.4406	9.112	2	Alu	ENSG00000078369.20	""	TE
chr1	1877271	1877291	chr1-3573	7.47	-	1.9669	2.5375	4.5044	2	Alu	ENSG00000078369.20	""	TE
chr1	1881954	1881974	chr1-3574	4.59	-	0.7376	0.9516	1.6891	2	LINE	ENSG00000078369.20	""	TE
chr1	1882400	1882420	chr1-2126	21.5	-	1.4752	2.6564	4.1316	2	Alu	ENSG00000078369.20	""	TE
chr1	1883254	1883274	chr1-3575	12.9	-	0.9834	1.6256	2.609	2	Alu	ENSG00000078369.20	""	TE
chr1	1885977	1885997	chr1-4641	7.75	-	1.4752	1.2291	2.7043	2	First intron	ENSG00000078369.20	""	Genic
chr1	1888339	1888359	chr1-1087	15.8	-	1.5981	2.1806	3.7787	2	First intron	ENSG00000078369.20	""	Genic
chr1	1889609	1889629	chr1-4642	7.18	-	2.3357	4.0837	6.4194	2	Alu	ENSG00000078369.20	""	TE
chr1	1890960	1890980	chr1-4643	6.03	-	0.7376	0.9912	1.7288	2	5'UTR	ENSG00000078369.20	""	Genic
