chr	start	end	name	score	strand	NormedTC_ERR018282	NormedTC_ERR018283	NormedTC_ERR018284	NormedTC_HNRNPC_WT	BC_HNRNPC_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	21067821	21067841	chr1-482	58.6	-	4.0309	0	20.8638	24.8947	2	Deep intronic	ENSG00000075151.24	EIF4G3	Genic
chr1	21074721	21074741	chr1-484	58.6	-	0	12.1005	10.4319	22.5324	2	Deep intronic	ENSG00000075151.24	EIF4G3	Genic
chr1	21132345	21132365	chr1-189	78.2	-	4.0309	0	31.2956	35.3266	2	First intron	ENSG00000075151.24	EIF4G3	Genic
chr1	21134655	21134675	chr1-55	117.3	-	8.0619	0	41.7275	49.7894	2	Alu	ENSG00000075151.24	EIF4G3	TE
chr1	21138362	21138382	chr1-493	58.6	-	0	30.2513	0	30.2513	1	First intron	ENSG00000075151.24	EIF4G3	Genic
chr1	21144132	21144152	chr1-91	78.2	-	4.0309	12.1005	20.8638	36.9952	3	First intron	ENSG00000075151.24	EIF4G3	Genic
chr1	21150257	21150277	chr1-191	78.2	-	12.0928	12.1005	0	24.1934	2	First intron	ENSG00000075151.24	EIF4G3	Genic
chr1	21160869	21160889	chr1-92	97.7	-	16.1238	6.0503	10.4319	32.6059	3	First intron	ENSG00000075151.24	EIF4G3	Genic
chr1	21170259	21170279	chr1-502	58.6	-	0	12.1005	10.4319	22.5324	2	LINE	ENSG00000075151.24	EIF4G3	TE
chr1	21331397	21331417	chr1-504	78.2	-	12.0928	0	10.4319	22.5247	2	Alu	ENSG00000117298.16	ECE1	TE
chr1	21331574	21331594	chr1-505	58.6	-	0	0	31.2956	31.2956	1	Alu	ENSG00000117298.16	ECE1	TE
chr1	21726940	21726960	chr1-56	117.3	-	20.1547	6.0503	0	26.205	2	Deep intronic	ENSG00000090686.17	""	Genic
chr1	21755539	21755559	chr1-41	136.8	-	16.1238	12.1005	20.8638	49.0881	3	Alu	ENSG00000090686.17	""	TE
chr1	21756458	21756478	chr1-194	78.2	-	4.0309	12.1005	10.4319	26.5633	3	Alu	ENSG00000090686.17	""	TE
chr1	21766342	21766362	chr1-195	78.2	-	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000090686.17	""	TE
chr1	21782290	21782310	chr1-510	58.6	-	4.0309	0	20.8638	24.8947	2	First intron	ENSG00000090686.17	""	Genic
chr1	21926747	21926767	chr1-196	78.2	-	4.0309	0	31.2956	35.3266	2	Alu	ENSG00000142798.20	HSPG2	TE
chr1	23299475	23299495	chr1-520	58.6	-	0	12.1005	10.4319	22.5324	2	3'UTR-distal	""	""	Genic
chr1	23310261	23310281	chr1-57	136.8	-	12.0928	12.1005	20.8638	45.0571	3	3'UTR	ENSG00000125944.23	""	Genic
chr1	23310341	23310361	chr1-197	78.2	-	4.0309	12.1005	20.8638	36.9952	3	3'UTR	ENSG00000125944.23	""	Genic
chr1	23342930	23342950	chr1-524	58.6	-	8.0619	18.1508	0	26.2127	2	5'UTR	ENSG00000125944.23	""	Genic
chr1	23559442	23559462	chr1-93	97.7	-	8.0619	18.1508	0	26.2127	2	5'UTR	ENSG00000117318.10	""	Genic
chr1	23968266	23968286	chr1-198	78.2	-	8.0619	6.0503	20.8638	34.9759	3	3'UTR	ENSG00000188529.16	""	Genic
chr1	23975391	23975411	chr1-58	117.3	-	16.1238	12.1005	10.4319	38.6562	3	First intron	ENSG00000188529.16	""	Genic
chr1	24670510	24670530	chr1-532	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000133226.20	""	TE
chr1	24672979	24672999	chr1-59	117.3	+	8.0619	30.2513	0	38.3132	2	3'UTR	ENSG00000133226.20	""	Genic
chr1	24843528	24843548	chr1-199	97.7	+	4.0309	18.1508	10.4319	32.6136	3	3'UTR	ENSG00000169504.16	""	Genic
chr1	25861997	25862017	chr1-536	58.6	-	0	12.1005	10.4319	22.5324	2	3'UTR	ENSG00000182749.7	""	Genic
chr1	25900756	25900776	chr1-201	97.7	-	12.0928	6.0503	20.8638	39.0068	3	3'UTR	ENSG00000117632.24	""	Genic
chr1	26475259	26475279	chr1-94	97.7	+	12.0928	12.1005	0	24.1934	2	3'UTR	ENSG00000198830.14	""	Genic
chr1	27448824	27448844	chr1-95	97.7	-	0	30.2513	0	30.2513	1	Alu	ENSG00000158195.12	""	TE
chr1	27553747	27553767	chr1-60	136.8	-	16.1238	6.0503	20.8638	43.0378	3	LINE	ENSG00000126705.16	""	TE
chr1	28026604	28026624	chr1-542	58.6	-	4.0309	12.1005	10.4319	26.5633	3	Alu	ENSG00000158161.17	""	TE
chr1	28205571	28205591	chr1-544	58.6	-	0	0	31.2956	31.2956	1	Alu	ENSG00000126698.12	""	TE
chr1	28456041	28456061	chr1-545	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000204138.14	""	TE
chr1	28506049	28506069	chr1-22	234.6	+	32.2475	24.2011	0	56.4486	2	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28507039	28507059	chr1-62	156.4	+	28.2166	18.1508	20.8638	67.2311	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28507243	28507263	chr1-14	312.8	+	28.2166	48.4021	31.2956	107.9143	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28507471	28507491	chr1-96	156.4	+	8.0619	24.2011	41.7275	73.9905	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28507618	28507638	chr1-42	136.8	+	4.0309	24.2011	20.8638	49.0958	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28508132	28508152	chr1-28	195.5	+	12.0928	12.1005	0	24.1934	2	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28508320	28508340	chr1-63	195.5	+	20.1547	18.1508	31.2956	69.6011	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28508373	28508393	chr1-29	175.9	+	16.1238	24.2011	31.2956	71.6205	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28508929	28508949	chr1-9	332.3	+	44.3404	54.4524	31.2956	130.0884	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28509125	28509145	chr1-15	195.5	+	20.1547	18.1508	41.7275	80.033	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28509213	28509233	chr1-23	215	+	20.1547	36.3016	20.8638	77.3201	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28509301	28509321	chr1-64	254.1	+	24.1856	18.1508	41.7275	84.064	3	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28579357	28579377	chr1-551	78.2	-	4.0309	12.1005	10.4319	26.5633	3	3'UTR-distal	ENSG00000197989.16	SNHG12	Genic
chr1	28580126	28580146	chr1-206	78.2	-	4.0309	0	31.2956	35.3266	2	3'UTR-distal	ENSG00000197989.16	SNHG12	Genic
chr1	28648688	28648708	chr1-43	215	+	24.1856	24.2011	41.7275	90.1142	3	Other exon	ENSG00000229388.2	TAF12-DT	Genic
chr1	28739326	28739346	chr1-554	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000198492.17	""	TE
chr1	29166283	29166303	chr1-207	97.7	-	8.0619	6.0503	20.8638	34.9759	3	First intron	ENSG00000116350.19	""	Genic
chr1	29175233	29175253	chr1-97	97.7	-	16.1238	6.0503	10.4319	32.6059	3	Alu	ENSG00000116350.19	""	TE
chr1	30982889	30982909	chr1-209	97.7	-	12.0928	6.0503	10.4319	28.575	3	Deep intronic	ENSG00000134644.17	""	Genic
chr1	31053326	31053346	chr1-565	58.6	-	0	6.0503	20.8638	26.914	2	Deep intronic	ENSG00000134644.17	""	Genic
chr1	31906599	31906619	chr1-210	117.3	-	8.0619	18.1508	10.4319	36.6446	3	3'UTR	ENSG00000184007.22	PTP4A2	Genic
chr1	31907951	31907971	chr1-211	97.7	-	8.0619	12.1005	20.8638	41.0262	3	3'UTR	ENSG00000184007.22	PTP4A2	Genic
chr1	31908357	31908377	chr1-18	195.5	-	28.2166	30.2513	52.1594	110.6273	3	3'UTR	ENSG00000184007.22	PTP4A2	Genic
chr1	31937175	31937195	chr1-98	117.3	-	16.1238	6.0503	41.7275	63.9015	3	First intron	ENSG00000184007.22	PTP4A2	Genic
chr1	32577604	32577624	chr1-574	58.6	+	0	0	31.2956	31.2956	1	Alu	ENSG00000160062.16	""	TE
chr1	32674735	32674755	chr1-213	78.2	+	4.0309	0	31.2956	35.3266	2	Alu	ENSG00000162521.19	RBBP4	TE
chr1	35102495	35102515	chr1-584	58.6	+	0	12.1005	10.4319	22.5324	2	Deep intronic	ENSG00000197056.13	""	Genic
chr1	35181700	35181720	chr1-216	78.2	-	4.0309	18.1508	10.4319	32.6136	3	3'UTR-distal	""	""	Genic
chr1	35184397	35184417	chr1-19	234.6	-	24.1856	30.2513	31.2956	85.7326	3	3'UTR	ENSG00000116560.12	SFPQ	Genic
chr1	36058448	36058468	chr1-218	78.2	+	0	6.0503	31.2956	37.3459	2	3'UTR	ENSG00000126070.21	""	Genic
chr1	36245181	36245201	chr1-219	78.2	+	16.1238	0	10.4319	26.5556	2	Alu	ENSG00000054118.16	""	TE
chr1	36294865	36294885	chr1-100	97.7	+	8.0619	12.1005	20.8638	41.0262	3	Deep intronic	ENSG00000054118.16	""	Genic
chr1	36298508	36298528	chr1-221	58.6	+	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000054118.16	""	TE
chr1	37681744	37681764	chr1-222	78.2	-	4.0309	24.2011	0	28.232	2	3'UTR	ENSG00000116922.16	""	Genic
chr1	37862022	37862042	chr1-602	58.6	-	0	6.0503	20.8638	26.914	2	3'UTR	ENSG00000204084.15	""	Genic
chr1	37989115	37989135	chr1-223	117.3	-	12.0928	12.1005	10.4319	34.6252	3	3'UTR-distal	ENSG00000183431.13	""	Genic
chr1	38020277	38020297	chr1-604	78.2	+	0	6.0503	31.2956	37.3459	2	Alu	ENSG00000183520.13	""	TE
chr1	38866423	38866443	chr1-605	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000228436.5	RRAGC-DT	TE
chr1	38890213	38890233	chr1-224	78.2	+	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000228436.5	RRAGC-DT	TE
chr1	40061164	40061184	chr1-225	78.2	+	0	24.2011	0	24.2011	1	Deep intronic	ENSG00000131236.19	""	Genic
chr1	40293360	40293380	chr1-226	78.2	+	4.0309	12.1005	10.4319	26.5633	3	3'UTR	ENSG00000084073.11	""	Genic
chr1	41119429	41119449	chr1-227	78.2	-	0	0	41.7275	41.7275	1	Satellite/LC	ENSG00000010803.19	""	TE
chr1	42322438	42322458	chr1-618	58.6	-	4.0309	0	20.8638	24.8947	2	LINE	ENSG00000198815.10	""	TE
chr1	42702179	42702199	chr1-101	136.8	+	20.1547	12.1005	0	32.2552	2	3'UTR	ENSG00000065978.20	""	Genic
chr1	42926760	42926780	chr1-228	78.2	-	4.0309	0	31.2956	35.3266	2	3'UTR	ENSG00000117394.25	""	Genic
chr1	44216407	44216427	chr1-229	78.2	+	4.0309	0	31.2956	35.3266	2	Alu	ENSG00000178028.15	""	TE
chr1	44299524	44299544	chr1-102	58.6	-	8.0619	6.0503	20.8638	34.9759	3	Deep intronic	ENSG00000117419.17	""	Genic
chr1	44721283	44721303	chr1-103	97.7	-	4.0309	24.2011	20.8638	49.0958	3	LINE	ENSG00000302489.1	""	TE
chr1	44721799	44721819	chr1-3	449.6	-	92.7116	60.5026	104.3188	257.5331	3	Proximal intronic	ENSG00000199377.2	RNU5F-1	Genic
chr1	44731067	44731087	chr1-16	215	-	36.2785	36.3016	62.5913	135.1713	3	First intron	ENSG00000200169.2	RNU5D-1	Genic
chr1	44819895	44819915	chr1-2	703.7	-	88.6807	121.0053	104.3188	314.0048	3	3'UTR	ENSG00000117425.16	""	Genic
chr1	45511239	45511259	chr1-230	78.2	-	8.0619	0	20.8638	28.9256	2	3'UTR	ENSG00000117450.16	""	Genic
chr1	45915108	45915128	chr1-635	58.6	+	0	12.1005	10.4319	22.5324	2	Alu	ENSG00000086015.24	""	TE
chr1	46041353	46041373	chr1-636	58.6	-	0	18.1508	10.4319	28.5827	2	3'UTR	ENSG00000117461.16	""	Genic
chr1	46077918	46077938	chr1-638	78.2	-	12.0928	0	10.4319	22.5247	2	Deep intronic	ENSG00000117461.16	""	Genic
chr1	46117567	46117587	chr1-232	78.2	-	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000117461.16	""	TE
chr1	46129056	46129076	chr1-644	78.2	-	8.0619	0	20.8638	28.9256	2	Alu	ENSG00000117461.16	""	TE
chr1	46132214	46132234	chr1-233	78.2	-	4.0309	12.1005	20.8638	36.9952	3	5'UTR	ENSG00000117461.16	""	Genic
chr1	47339723	47339743	chr1-647	58.6	+	0	12.1005	10.4319	22.5324	2	Alu	ENSG00000162368.16	""	TE
chr1	47917721	47917741	chr1-652	78.2	-	4.0309	12.1005	10.4319	26.5633	3	Alu	ENSG00000269113.5	""	TE
chr1	50785953	50785973	chr1-235	78.2	-	12.0928	0	10.4319	22.5247	2	Alu	ENSG00000185104.22	""	TE
chr1	50849251	50849271	chr1-656	58.6	-	0	0	31.2956	31.2956	1	Alu	ENSG00000185104.22	""	TE
chr1	51489134	51489154	chr1-662	58.6	-	0	0	31.2956	31.2956	1	Satellite/LC	ENSG00000085832.19	""	TE
chr1	51755515	51755535	chr1-663	58.6	+	0	12.1005	10.4319	22.5324	2	Deep intronic	ENSG00000117859.20	""	Genic
chr1	51770151	51770171	chr1-664	58.6	+	0	6.0503	20.8638	26.914	2	Alu	ENSG00000117859.20	""	TE
chr1	52871137	52871157	chr1-668	58.6	+	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000203995.11	ZYG11A	TE
chr1	52880084	52880104	chr1-104	97.7	+	12.0928	12.1005	0	24.1934	2	Satellite/LC	ENSG00000203995.11	ZYG11A	TE
chr1	53213908	53213928	chr1-669	58.6	-	0	0	31.2956	31.2956	1	3'UTR-distal	""	""	Genic
chr1	53831784	53831804	chr1-671	58.6	-	8.0619	6.0503	10.4319	24.544	3	Deep intronic	ENSG00000058804.13	""	Genic
chr1	53953757	53953777	chr1-237	97.7	+	12.0928	6.0503	10.4319	28.575	3	Alu	ENSG00000116212.17	""	TE
chr1	54349699	54349719	chr1-673	58.6	-	0	12.1005	10.4319	22.5324	2	Deep intronic	ENSG00000157216.18	""	Genic
chr1	54373752	54373772	chr1-238	78.2	-	4.0309	6.0503	20.8638	30.945	3	Alu	ENSG00000157216.18	""	TE
chr1	61091185	61091205	chr1-680	58.6	+	12.0928	12.1005	10.4319	34.6252	3	Deep intronic	ENSG00000162599.19	""	Genic
chr1	61109139	61109159	chr1-681	58.6	+	8.0619	6.0503	10.4319	24.544	3	Deep intronic	ENSG00000162599.19	""	Genic
chr1	61131750	61131770	chr1-241	78.2	+	12.0928	12.1005	0	24.1934	2	Deep intronic	ENSG00000162599.19	""	Genic
chr1	66001738	66001758	chr1-243	117.3	+	8.0619	12.1005	20.8638	41.0262	3	Alu	ENSG00000184588.18	PDE4B	TE
chr1	66011664	66011684	chr1-244	97.7	+	16.1238	6.0503	10.4319	32.6059	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66024038	66024058	chr1-706	78.2	+	4.0309	12.1005	10.4319	26.5633	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66036845	66036865	chr1-247	97.7	+	0	12.1005	31.2956	43.3962	2	Alu	ENSG00000184588.18	PDE4B	TE
chr1	66043246	66043266	chr1-106	78.2	+	12.0928	12.1005	0	24.1934	2	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66043607	66043627	chr1-107	97.7	+	8.0619	12.1005	10.4319	30.5943	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66059074	66059094	chr1-712	58.6	+	0	12.1005	10.4319	22.5324	2	LTR/ERV	ENSG00000184588.18	PDE4B	TE
chr1	66068959	66068979	chr1-249	78.2	+	4.0309	12.1005	10.4319	26.5633	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66075812	66075832	chr1-250	78.2	+	8.0619	6.0503	10.4319	24.544	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66089603	66089623	chr1-251	78.2	+	4.0309	12.1005	10.4319	26.5633	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66097876	66097896	chr1-252	78.2	+	8.0619	18.1508	0	26.2127	2	LINE	ENSG00000184588.18	PDE4B	TE
chr1	66116513	66116533	chr1-723	58.6	+	0	12.1005	10.4319	22.5324	2	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66125061	66125081	chr1-20	195.5	+	20.1547	24.2011	10.4319	54.7876	3	First intron	ENSG00000184588.18	PDE4B	Genic
chr1	66125176	66125196	chr1-66	117.3	+	20.1547	6.0503	0	26.205	2	Alu	ENSG00000184588.18	PDE4B	TE
chr1	66149479	66149499	chr1-254	97.7	+	4.0309	6.0503	31.2956	41.3768	3	LINE	ENSG00000184588.18	PDE4B	TE
chr1	66178861	66178881	chr1-108	97.7	+	16.1238	0	10.4319	26.5556	2	Alu	ENSG00000184588.18	PDE4B	TE
chr1	66241513	66241533	chr1-109	97.7	+	8.0619	6.0503	20.8638	34.9759	3	Alu	ENSG00000184588.18	PDE4B	TE
chr1	66315442	66315462	chr1-110	97.7	+	8.0619	0	31.2956	39.3575	2	Deep intronic	ENSG00000184588.18	PDE4B	Genic
chr1	66329458	66329478	chr1-731	58.6	+	0	6.0503	20.8638	26.914	2	Deep intronic	ENSG00000184588.18	PDE4B	Genic
chr1	67422195	67422215	chr1-111	78.2	-	8.0619	18.1508	0	26.2127	2	Deep intronic	ENSG00000142864.16	""	Genic
chr1	70151173	70151193	chr1-112	117.3	-	16.1238	12.1005	0	28.2243	2	CDS	ENSG00000066557.7	""	Genic
chr1	70222075	70222095	chr1-257	117.3	+	8.0619	18.1508	10.4319	36.6446	3	First intron	ENSG00000116754.15	""	Genic
chr1	70224341	70224361	chr1-113	97.7	+	12.0928	18.1508	0	30.2436	2	LINE	ENSG00000116754.15	""	TE
chr1	70227846	70227866	chr1-749	78.2	+	8.0619	6.0503	10.4319	24.544	3	First intron	ENSG00000116754.15	""	Genic
chr1	70228670	70228690	chr1-260	97.7	+	12.0928	12.1005	0	24.1934	2	First intron	ENSG00000116754.15	""	Genic
chr1	70228777	70228797	chr1-261	97.7	+	12.0928	18.1508	0	30.2436	2	First intron	ENSG00000116754.15	""	Genic
chr1	70230712	70230732	chr1-114	97.7	+	20.1547	12.1005	0	32.2552	2	First intron	ENSG00000116754.15	""	Genic
chr1	70231601	70231621	chr1-115	97.7	+	8.0619	30.2513	10.4319	48.7451	3	First intron	ENSG00000116754.15	""	Genic
chr1	72218481	72218501	chr1-761	58.6	-	0	0	31.2956	31.2956	1	First intron	ENSG00000172260.15	NEGR1	Genic
chr1	72275916	72275936	chr1-762	58.6	-	0	0	31.2956	31.2956	1	Alu	ENSG00000172260.15	NEGR1	TE
chr1	75786926	75786946	chr1-117	97.7	+	8.0619	18.1508	10.4319	36.6446	3	First intron	ENSG00000137955.17	""	Genic
chr1	75787920	75787940	chr1-44	234.6	+	20.1547	18.1508	41.7275	80.033	3	First intron	ENSG00000137955.17	""	Genic
chr1	75788468	75788488	chr1-263	78.2	+	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000137955.17	""	TE
chr1	75790849	75790869	chr1-264	97.7	+	12.0928	0	20.8638	32.9566	2	Alu	ENSG00000137955.17	""	TE
chr1	75793274	75793294	chr1-118	97.7	+	12.0928	12.1005	0	24.1934	2	Alu	ENSG00000137955.17	""	TE
chr1	77625040	77625060	chr1-772	58.6	-	8.0619	6.0503	10.4319	24.544	3	First intron	ENSG00000036549.14	""	Genic
chr1	77636528	77636548	chr1-775	58.6	-	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000036549.14	""	TE
chr1	77649343	77649363	chr1-776	58.6	-	0	6.0503	20.8638	26.914	2	LINE	ENSG00000036549.14	""	TE
chr1	78622540	78622560	chr1-781	58.6	+	0	6.0503	20.8638	26.914	2	LTR/ERV	ENSG00000137959.18	""	TE
chr1	85257930	85257950	chr1-782	58.6	-	4.0309	12.1005	10.4319	26.5633	3	3'UTR-distal	ENSG00000162642.15	""	Genic
chr1	86357343	86357363	chr1-783	58.6	-	0	0	31.2956	31.2956	1	Deep intronic	ENSG00000122417.17	""	Genic
chr1	86882475	86882495	chr1-784	58.6	-	0	6.0503	20.8638	26.914	2	LINE	ENSG00000183291.18	SELENOF	TE
chr1	86944371	86944391	chr1-785	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000153936.18	HS2ST1	TE
chr1	88788445	88788465	chr1-789	58.6	+	0	0	31.2956	31.2956	1	Alu	ENSG00000065243.21	""	TE
chr1	90910001	90910021	chr1-792	58.6	-	4.0309	0	20.8638	24.8947	2	3'UTR-distal	""	""	Genic
chr1	90956838	90956858	chr1-794	58.6	-	0	6.0503	20.8638	26.914	2	LINE	ENSG00000122482.23	""	TE
chr1	90993029	90993049	chr1-271	78.2	-	8.0619	0	20.8638	28.9256	2	Alu	ENSG00000122482.23	""	TE
chr1	91017960	91017980	chr1-797	58.6	-	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000122482.23	""	TE
chr1	92835739	92835759	chr1-272	97.7	+	12.0928	12.1005	0	24.1934	2	First intron	ENSG00000122406.15	""	Genic
chr1	92841885	92841905	chr1-273	78.2	+	8.0619	0	20.8638	28.9256	2	3'UTR	ENSG00000122406.15	""	Genic
chr1	93122642	93122662	chr1-803	78.2	+	4.0309	12.1005	10.4319	26.5633	3	Deep intronic	ENSG00000143033.19	""	Genic
