chr	start	end	name	score	strand	NormedTC_ENCFF040BGS	NormedTC_ENCFF065BIC	NormedTC_HepG2_HNRNPC	BC_HepG2_HNRNPC	annotation	gene	external_gene_name	grouped_annotation
chr1	1055064	1055084	chr1-528	24.9	+	3.309	3.2231	6.5321	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055779	1055799	chr1-11811	4.3	+	0.9454	1.013	1.9584	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1060123	1060143	chr1-4558	8.6	+	1.4182	1.1051	2.5232	2	3'UTR-distal	ENSG00000291156.2	""	Genic
chr1	1060697	1060717	chr1-11813	4.73	+	0.2836	1.5655	1.8491	2	3'UTR-distal	ENSG00000291156.2	""	Genic
chr1	1061003	1061023	chr1-1977	15.9	+	2.4581	1.5655	4.0236	2	3'UTR-distal	ENSG00000291156.2	""	Genic
chr1	1061565	1061585	chr1-2619	10.7	+	1.3236	1.1051	2.4287	2	3'UTR-distal	ENSG00000291156.2	""	Genic
chr1	1130836	1130856	chr1-9915	8.17	+	1.5127	0.5525	2.0652	2	LINE	""	""	TE
chr1	1153685	1153705	chr1-7093	6.45	+	1.1345	0.7367	1.8712	2	Alu	""	""	TE
chr1	1221614	1221634	chr1-590	20.6	-	2.1745	3.0389	5.2134	2	Alu	ENSG00000078808.21	""	TE
chr1	1221767	1221787	chr1-1356	12.5	-	1.9854	1.4734	3.4588	2	Alu	ENSG00000078808.21	""	TE
chr1	1221920	1221940	chr1-934	16.8	-	1.5127	2.9468	4.4595	2	Alu	ENSG00000078808.21	""	TE
chr1	1256863	1256883	chr1-819	28.4	-	3.309	3.0389	6.3479	2	Alu	ENSG00000160087.22	""	TE
chr1	1263965	1263985	chr1-3960	9.46	-	1.4182	1.3813	2.7995	2	Alu	ENSG00000160087.22	""	TE
chr1	1266227	1266247	chr1-1733	12.9	-	0.7564	2.2101	2.9665	2	First intron	ENSG00000160087.22	""	Genic
chr1	1271429	1271449	chr1-8354	6.45	-	0.8509	1.1051	1.956	2	First intron	ENSG00000160087.22	""	Genic
chr1	1271643	1271663	chr1-2279	9.89	-	0.7564	1.9338	2.6902	2	First intron	ENSG00000160087.22	""	Genic
chr1	1271764	1271784	chr1-3961	7.74	-	1.4182	1.4734	2.8916	2	Alu	ENSG00000160087.22	""	TE
chr1	1272121	1272141	chr1-591	16.8	-	2.6472	2.0259	4.6732	2	Alu	ENSG00000160087.22	""	TE
chr1	1272222	1272242	chr1-3445	12.5	-	2.2691	2.6706	4.9396	2	First intron	ENSG00000160087.22	""	Genic
chr1	1272277	1272297	chr1-4559	6.88	-	0.8509	1.8418	2.6927	2	First intron	ENSG00000160087.22	""	Genic
chr1	1316039	1316059	chr1-1191	11.2	-	2.2691	2.3943	4.6633	2	Alu	ENSG00000127054.23	""	TE
chr1	1316257	1316277	chr1-160	34.4	-	3.9708	4.9728	8.9436	2	Alu	ENSG00000127054.23	""	TE
chr1	1316396	1316416	chr1-313	21.1	-	2.7418	2.3943	5.1361	2	Alu	ENSG00000127054.23	""	TE
chr1	1316568	1316588	chr1-1978	13.8	-	2.08	1.7497	3.8296	2	Alu	ENSG00000127054.23	""	TE
chr1	1316731	1316751	chr1-3446	12.5	-	1.8909	2.118	4.0089	2	Alu	ENSG00000127054.23	""	TE
chr1	1317064	1317084	chr1-420	23.6	-	2.08	3.3152	5.3951	2	Alu	ENSG00000127054.23	""	TE
chr1	1317368	1317388	chr1-144	39.5	-	5.4836	5.249	10.7326	2	Alu	ENSG00000127054.23	""	TE
chr1	1317673	1317693	chr1-4560	9.89	-	1.6072	1.5655	3.1727	2	First intron	ENSG00000127054.23	""	Genic
chr1	1318160	1318180	chr1-3012	30.1	-	2.8363	4.3281	7.1645	2	Alu	ENSG00000127054.23	""	TE
chr1	1318251	1318271	chr1-935	15	-	1.5127	3.0389	4.5516	2	LINE	ENSG00000127054.23	""	TE
chr1	1318460	1318480	chr1-1734	10.3	-	1.4182	2.8547	4.2729	2	Alu	ENSG00000127054.23	""	TE
chr1	1318618	1318638	chr1-161	31.8	-	3.9708	5.1569	9.1278	2	Alu	ENSG00000127054.23	""	TE
chr1	1318902	1318922	chr1-3013	10.3	-	0.9454	2.5785	3.5239	2	CDS	ENSG00000127054.23	""	Genic
chr1	1347701	1347721	chr1-3962	8.6	-	0.5673	1.5655	2.1328	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1388490	1388510	chr1-2280	12.9	-	1.6072	2.5785	4.1857	2	Alu	ENSG00000221978.14	""	TE
chr1	1388745	1388765	chr1-370	21.5	-	2.6472	2.9468	5.594	2	Alu	ENSG00000221978.14	""	TE
chr1	1388863	1388883	chr1-5292	7.31	-	0.5673	1.5655	2.1328	2	Alu	ENSG00000221978.14	""	TE
chr1	1389045	1389065	chr1-2620	12.9	-	1.2291	2.4864	3.7154	2	Alu	ENSG00000221978.14	""	TE
chr1	1389464	1389484	chr1-2621	9.46	-	0.4727	1.7497	2.2224	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1389621	1389641	chr1-936	11.2	-	0.9454	2.4864	3.4318	2	Alu	ENSG00000221978.14	""	TE
chr1	1389929	1389949	chr1-466	24.5	-	3.0254	3.0389	6.0643	2	Alu	ENSG00000221978.14	""	TE
chr1	1390088	1390108	chr1-211	43.4	-	3.7818	6.3541	10.1358	2	Alu	ENSG00000221978.14	""	TE
chr1	1390901	1390921	chr1-3447	8.6	-	1.04	1.5655	2.6055	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1390996	1391016	chr1-3014	9.89	-	0.9454	2.2101	3.1556	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391054	1391074	chr1-371	19.8	-	2.08	3.131	5.211	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391181	1391201	chr1-162	30.1	-	4.0654	5.6174	9.6828	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391800	1391820	chr1-1192	12.9	-	2.08	1.9338	4.0138	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391963	1391983	chr1-1193	10.3	-	1.04	3.0389	4.0789	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392152	1392172	chr1-649	13.8	-	2.08	3.4073	5.4872	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392227	1392247	chr1-650	16.8	-	2.9309	2.118	5.0489	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393934	1393954	chr1-1735	15.9	-	2.6472	2.3022	4.9494	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394098	1394118	chr1-163	39.1	-	3.8763	5.6174	9.4937	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394209	1394229	chr1-937	12	-	1.5127	4.4202	5.9329	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394556	1394576	chr1-1736	13.8	-	1.9854	1.9338	3.9193	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394722	1394742	chr1-112	61	-	6.9017	8.5642	15.4659	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1394865	1394885	chr1-3015	12.9	-	2.5527	1.1971	3.7498	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1395033	1395053	chr1-65	50.3	-	5.0108	9.393	14.4038	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1397838	1397858	chr1-7096	6.02	-	1.2291	1.1971	2.4262	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1402231	1402251	chr1-4562	8.17	-	1.2291	0.7367	1.9658	2	CDS	ENSG00000242485.7	""	Genic
chr1	1406019	1406039	chr1-3964	11.6	-	1.9854	1.1051	3.0905	2	3'UTR-distal	ENSG00000242485.7	""	Genic
chr1	1406165	1406185	chr1-1737	23.2	-	3.4981	3.0389	6.537	2	3'UTR-distal	ENSG00000242485.7	""	Genic
chr1	1406327	1406347	chr1-66	50.7	-	5.0108	6.9066	11.9174	2	3'UTR-distal	ENSG00000242485.7	""	Genic
chr1	1408795	1408815	chr1-1979	11.2	+	1.6072	1.2892	2.8965	2	Alu	""	""	TE
chr1	1473167	1473187	chr1-1357	24.5	+	3.4981	3.4993	6.9975	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1473525	1473545	chr1-67	50.3	+	6.7126	5.9857	12.6983	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1473884	1473904	chr1-3449	10.7	+	0.8509	2.0259	2.8768	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1473991	1474011	chr1-2622	15.9	+	1.6072	2.9468	4.5541	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474220	1474240	chr1-2623	15	+	1.7963	1.7497	3.546	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474383	1474403	chr1-2281	10.3	+	1.04	2.2101	3.2501	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474516	1474536	chr1-372	25.4	+	1.7963	5.1569	6.9533	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1476537	1476557	chr1-373	22.4	+	1.8909	4.0519	5.9428	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1476836	1476856	chr1-820	13.8	+	1.9854	4.0519	6.0373	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1476997	1477017	chr1-3450	7.31	+	0.6618	1.6576	2.3194	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477048	1477068	chr1-1053	12.9	+	1.04	3.0389	4.0789	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477925	1477945	chr1-3966	10.3	+	1.3236	1.1051	2.4287	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478027	1478047	chr1-10	80.8	+	6.9963	13.9053	20.9015	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478184	1478204	chr1-212	31	+	4.1599	3.9598	8.1197	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1484693	1484713	chr1-5295	8.6	+	1.4182	1.1971	2.6153	2	Deep intronic	ENSG00000160072.21	""	Genic
chr1	1493238	1493258	chr1-8362	5.16	+	1.5127	0.2763	1.789	2	LINE	ENSG00000160072.21	""	TE
chr1	1499616	1499636	chr1-1980	12.9	+	1.2291	1.7497	2.9787	2	3'UTR-distal	""	""	Genic
chr1	1514901	1514921	chr1-2282	10.7	+	0.8509	1.7497	2.6006	2	Alu	ENSG00000197785.15	""	TE
chr1	1515116	1515136	chr1-1738	9.89	+	0.9454	1.9338	2.8793	2	Alu	ENSG00000197785.15	""	TE
chr1	1515437	1515457	chr1-3451	8.17	+	0.5673	1.3813	1.9486	2	First intron	ENSG00000197785.15	""	Genic
chr1	1521434	1521454	chr1-1981	12.5	+	0.9454	2.2101	3.1556	2	Deep intronic	ENSG00000197785.15	""	Genic
chr1	1521728	1521748	chr1-8364	5.59	+	1.3236	0.5525	1.8761	2	Alu	ENSG00000197785.15	""	TE
chr1	1527985	1528005	chr1-1194	12	+	2.6472	1.2892	3.9365	2	Alu	ENSG00000197785.15	""	TE
chr1	1528316	1528336	chr1-3016	10.7	+	1.2291	1.8418	3.0708	2	Deep intronic	ENSG00000197785.15	""	Genic
chr1	1544590	1544610	chr1-8365	11.6	-	2.08	0.8288	2.9088	2	Alu	ENSG00000160075.13	""	TE
chr1	1545747	1545767	chr1-7098	7.74	-	0.7564	1.1971	1.9535	2	Alu	ENSG00000160075.13	""	TE
chr1	1546075	1546095	chr1-3452	12	-	1.6072	2.0259	3.6332	2	First intron	ENSG00000160075.13	""	Genic
chr1	1546817	1546837	chr1-1532	11.6	-	1.9854	2.0259	4.0114	2	Alu	ENSG00000160075.13	""	TE
chr1	1547004	1547024	chr1-938	12.9	-	1.6072	2.2101	3.8174	2	Alu	ENSG00000160075.13	""	TE
chr1	1548525	1548545	chr1-2624	11.2	-	1.7018	1.3813	3.0831	2	Alu	ENSG00000160075.13	""	TE
chr1	1548741	1548761	chr1-8366	6.45	-	0.2836	1.8418	2.1254	2	First intron	ENSG00000160075.13	""	Genic
chr1	1549338	1549358	chr1-3967	8.17	-	0.9454	1.013	1.9584	2	Alu	ENSG00000160075.13	""	TE
chr1	1549487	1549507	chr1-1982	17.6	-	1.9854	2.3943	4.3797	2	Alu	ENSG00000160075.13	""	TE
chr1	1550146	1550166	chr1-1195	17.6	-	1.5127	2.9468	4.4595	2	Alu	ENSG00000160075.13	""	TE
chr1	1551219	1551239	chr1-2625	6.88	-	0.7564	1.5655	2.3218	2	First intron	ENSG00000160075.13	""	Genic
chr1	1551429	1551449	chr1-3968	7.31	-	1.1345	1.2892	2.4238	2	First intron	ENSG00000160075.13	""	Genic
chr1	1551617	1551637	chr1-9927	5.16	-	0.9454	1.1051	2.0505	2	First intron	ENSG00000160075.13	""	Genic
chr1	1553762	1553782	chr1-99	40.4	-	4.2545	6.6303	10.8848	2	Alu	ENSG00000160075.13	""	TE
chr1	1554061	1554081	chr1-2626	11.2	-	1.4182	1.3813	2.7995	2	First intron	ENSG00000160075.13	""	Genic
chr1	1554837	1554857	chr1-11841	4.73	-	0.2836	1.5655	1.8491	2	First intron	ENSG00000160075.13	""	Genic
chr1	1555805	1555825	chr1-3017	8.17	-	0.3782	1.5655	1.9437	2	Alu	ENSG00000160075.13	""	TE
chr1	1556492	1556512	chr1-8368	7.74	-	1.8909	1.1971	3.088	2	Alu	ENSG00000160075.13	""	TE
chr1	1557514	1557534	chr1-6149	7.74	-	1.1345	1.2892	2.4238	2	Alu	ENSG00000160075.13	""	TE
chr1	1557769	1557789	chr1-3453	8.17	-	1.04	1.3813	2.4213	2	Alu	ENSG00000160075.13	""	TE
chr1	1558341	1558361	chr1-2283	13.8	-	1.7963	2.4864	4.2827	2	Alu	ENSG00000160075.13	""	TE
chr1	1558926	1558946	chr1-1533	14.2	-	1.4182	2.3943	3.8124	2	First intron	ENSG00000160075.13	""	Genic
chr1	1559113	1559133	chr1-3018	9.03	-	0.6618	1.7497	2.4115	2	First intron	ENSG00000160075.13	""	Genic
chr1	1560791	1560811	chr1-1983	14.2	-	1.9854	1.7497	3.7351	2	Alu	ENSG00000160075.13	""	TE
chr1	1563340	1563360	chr1-6150	12.9	-	1.8909	1.2892	3.1801	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1563515	1563535	chr1-113	33.5	-	4.0654	3.4993	7.5647	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1563849	1563869	chr1-4563	7.31	-	0.9454	1.1051	2.0505	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1564038	1564058	chr1-5297	9.46	-	1.4182	1.5655	2.9837	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1566234	1566254	chr1-3969	8.6	-	1.04	1.9338	2.9738	2	Alu	ENSG00000160075.13	""	TE
chr1	1566835	1566855	chr1-6151	12.9	-	1.7963	1.013	2.8093	2	Alu	ENSG00000160075.13	""	TE
chr1	1568576	1568596	chr1-3970	10.7	-	1.3236	1.4734	2.797	2	Alu	ENSG00000160075.13	""	TE
chr1	1570257	1570277	chr1-2627	10.3	-	1.2291	1.1051	2.3341	2	Alu	ENSG00000160075.13	""	TE
chr1	1570552	1570572	chr1-2628	9.46	-	0.6618	2.0259	2.6877	2	First intron	ENSG00000160075.13	""	Genic
chr1	1571406	1571426	chr1-1739	9.46	-	1.04	1.2892	2.3292	2	Alu	ENSG00000160075.13	""	TE
chr1	1573401	1573421	chr1-4564	12	-	1.7018	1.4734	3.1752	2	Alu	ENSG00000160075.13	""	TE
chr1	1573596	1573616	chr1-3971	9.46	-	1.1345	1.013	2.1475	2	Alu	ENSG00000160075.13	""	TE
chr1	1573994	1574014	chr1-5298	6.88	-	1.1345	0.8288	1.9633	2	First intron	ENSG00000160075.13	""	Genic
chr1	1614990	1615010	chr1-2284	16.8	-	1.5127	2.2101	3.7228	2	Alu	ENSG00000272106.1	""	TE
chr1	1663764	1663784	chr1-1534	12.5	-	1.7963	1.9338	3.7302	2	3'UTR	ENSG00000189339.13	""	Genic
chr1	1672177	1672197	chr1-1358	14.6	-	1.04	2.3022	3.3422	2	Alu	ENSG00000189339.13	""	TE
chr1	1672316	1672336	chr1-2285	13.3	-	1.8909	2.0259	3.9168	2	Alu	ENSG00000189339.13	""	TE
chr1	1673941	1673961	chr1-821	30.5	-	3.12	4.0519	7.1718	2	Alu	ENSG00000189339.13	""	TE
chr1	1674377	1674397	chr1-5299	7.31	-	1.3236	0.6446	1.9682	2	Deep intronic	ENSG00000189339.13	""	Genic
chr1	1679801	1679821	chr1-3972	9.89	-	1.3236	1.3813	2.7049	2	5'UTR	ENSG00000189339.13	""	Genic
chr1	1686574	1686594	chr1-3454	11.2	-	1.4182	1.1051	2.5232	2	Alu	ENSG00000189339.13	""	TE
chr1	1686733	1686753	chr1-4565	10.3	-	1.4182	1.1971	2.6153	2	Alu	ENSG00000189339.13	""	TE
chr1	1687386	1687406	chr1-9932	6.88	-	1.5127	0.6446	2.1573	2	Alu	ENSG00000189339.13	""	TE
chr1	1687707	1687727	chr1-1054	18.5	-	3.2145	2.4864	5.7009	2	Alu	ENSG00000189339.13	""	TE
chr1	1689140	1689160	chr1-1196	14.2	-	1.7963	1.9338	3.7302	2	Alu	ENSG00000189339.13	""	TE
chr1	1689961	1689981	chr1-5300	9.03	-	1.04	1.1051	2.145	2	Alu	ENSG00000189339.13	""	TE
chr1	1706529	1706549	chr1-4566	9.89	-	1.4182	1.013	2.4311	2	Alu	ENSG00000008128.24	""	TE
chr1	1730786	1730806	chr1-6153	6.02	-	0.5673	1.3813	1.9486	2	Deep intronic	ENSG00000268575.1	""	Genic
chr1	1731350	1731370	chr1-7104	9.03	-	1.3236	1.1051	2.4287	2	Alu	ENSG00000268575.1	""	TE
chr1	1731713	1731733	chr1-3019	10.3	-	1.4182	1.8418	3.2599	2	Alu	ENSG00000268575.1	""	TE
chr1	1731884	1731904	chr1-1359	18.1	-	2.2691	1.7497	4.0187	2	Alu	ENSG00000268575.1	""	TE
chr1	1732212	1732232	chr1-592	20.6	-	2.9309	3.5914	6.5223	2	Alu	ENSG00000268575.1	""	TE
chr1	1736772	1736792	chr1-1740	12.9	-	2.2691	1.6576	3.9266	2	Alu	ENSG00000215790.9	SLC35E2A	TE
chr1	1762725	1762745	chr1-3020	9.46	-	0.9454	1.5655	2.5109	2	Alu	ENSG00000008130.16	""	TE
chr1	1766071	1766091	chr1-6154	6.45	-	0.6618	1.1971	1.859	2	Alu	ENSG00000008130.16	""	TE
chr1	1769706	1769726	chr1-8372	7.74	-	1.6072	0.6446	2.2519	2	Alu	ENSG00000008130.16	""	TE
chr1	1770148	1770168	chr1-1984	11.6	-	1.6072	1.5655	3.1727	2	Alu	ENSG00000008130.16	""	TE
chr1	1770703	1770723	chr1-9940	8.6	-	1.1345	0.9209	2.0554	2	Alu	ENSG00000008130.16	""	TE
chr1	1775081	1775101	chr1-2629	11.2	-	1.2291	1.7497	2.9787	2	Alu	ENSG00000008130.16	""	TE
chr1	1776746	1776766	chr1-3973	10.3	-	0.7564	1.5655	2.3218	2	3'UTR-distal	ENSG00000008130.16	""	Genic
chr1	1787999	1788019	chr1-529	27.9	-	3.6872	3.2231	6.9103	2	Alu	ENSG00000078369.20	""	TE
chr1	1788434	1788454	chr1-1360	15.5	-	2.1745	1.7497	3.9242	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1792030	1792050	chr1-3455	7.74	-	1.1345	1.5655	2.7	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1792667	1792687	chr1-1197	14.6	-	2.2691	2.118	4.3871	2	Alu	ENSG00000078369.20	""	TE
chr1	1795723	1795743	chr1-6156	6.88	-	0.9454	1.1971	2.1426	2	Alu	ENSG00000078369.20	""	TE
chr1	1802732	1802752	chr1-6157	9.89	-	1.3236	1.1051	2.4287	2	Alu	ENSG00000078369.20	""	TE
chr1	1803789	1803809	chr1-6158	8.17	-	1.5127	0.9209	2.4336	2	Alu	ENSG00000078369.20	""	TE
chr1	1803953	1803973	chr1-3021	10.7	-	1.4182	1.1051	2.5232	2	Alu	ENSG00000078369.20	""	TE
chr1	1805817	1805837	chr1-5301	8.6	-	1.1345	0.8288	1.9633	2	Alu	ENSG00000078369.20	""	TE
chr1	1810507	1810527	chr1-1985	10.3	-	1.04	1.5655	2.6055	2	Alu	ENSG00000078369.20	""	TE
chr1	1814617	1814637	chr1-2630	9.89	-	1.5127	0.8288	2.3415	2	Alu	ENSG00000078369.20	""	TE
chr1	1814769	1814789	chr1-7106	8.17	-	1.3236	0.9209	2.2445	2	Alu	ENSG00000078369.20	""	TE
chr1	1815079	1815099	chr1-7107	5.16	-	1.3236	1.2892	2.6128	2	Alu	ENSG00000078369.20	""	TE
chr1	1818275	1818295	chr1-6159	6.45	-	0.9454	1.013	1.9584	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1821731	1821751	chr1-4569	7.74	-	1.1345	2.2101	3.3446	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1822077	1822097	chr1-4570	7.74	-	1.04	0.8288	1.8688	2	Alu	ENSG00000078369.20	""	TE
chr1	1823214	1823234	chr1-1361	14.2	-	1.5127	2.118	3.6307	2	Alu	ENSG00000078369.20	""	TE
chr1	1825836	1825856	chr1-651	13.8	-	2.8363	1.7497	4.586	2	Alu	ENSG00000078369.20	""	TE
chr1	1839826	1839846	chr1-7109	6.02	-	1.3236	0.5525	1.8761	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	1840198	1840218	chr1-1535	13.8	-	1.2291	2.118	3.3471	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	1841750	1841770	chr1-8375	4.73	-	1.04	1.4734	2.5134	2	First intron	ENSG00000078369.20	""	Genic
chr1	1842112	1842132	chr1-5302	9.03	-	0.7564	1.1971	1.9535	2	Alu	ENSG00000078369.20	""	TE
chr1	1842405	1842425	chr1-822	21.9	-	2.3636	3.2231	5.5867	2	Alu	ENSG00000078369.20	""	TE
chr1	1842788	1842808	chr1-7110	6.45	-	1.5127	0.4604	1.9731	2	LINE	ENSG00000078369.20	""	TE
chr1	1842885	1842905	chr1-3974	8.17	-	0.8509	1.1971	2.048	2	First intron	ENSG00000078369.20	""	Genic
chr1	1844002	1844022	chr1-3975	9.46	-	1.4182	0.9209	2.339	2	Alu	ENSG00000078369.20	""	TE
chr1	1844364	1844384	chr1-164	47.7	-	6.6181	5.6174	12.2354	2	Alu	ENSG00000078369.20	""	TE
chr1	1846028	1846048	chr1-11865	5.59	-	1.2291	0.6446	1.8737	2	LINE	ENSG00000078369.20	""	TE
chr1	1846982	1847002	chr1-3022	9.03	-	1.1345	1.3813	2.5158	2	First intron	ENSG00000078369.20	""	Genic
chr1	1848185	1848205	chr1-270	19.3	-	2.9309	3.7756	6.7065	2	Alu	ENSG00000078369.20	""	TE
chr1	1848330	1848350	chr1-199	31.8	-	3.309	4.3281	7.6372	2	Alu	ENSG00000078369.20	""	TE
chr1	1851522	1851542	chr1-823	28.4	-	7.3744	2.118	9.4925	2	Alu	ENSG00000078369.20	""	TE
chr1	1852505	1852525	chr1-5303	11.6	-	1.7018	1.013	2.7148	2	Alu	ENSG00000078369.20	""	TE
chr1	1855128	1855148	chr1-1055	20.2	-	2.9309	2.3943	5.3252	2	Alu	ENSG00000078369.20	""	TE
chr1	1855293	1855313	chr1-1362	15.5	-	1.9854	1.6576	3.643	2	Alu	ENSG00000078369.20	""	TE
chr1	1858073	1858093	chr1-3456	7.31	-	1.3236	0.7367	2.0603	2	First intron	ENSG00000078369.20	""	Genic
chr1	1858465	1858485	chr1-3976	8.6	-	0.6618	1.2892	1.951	2	First intron	ENSG00000078369.20	""	Genic
chr1	1858619	1858639	chr1-6161	7.31	-	0.8509	1.5655	2.4164	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	1859456	1859476	chr1-4571	8.17	-	1.3236	1.1971	2.5208	2	Alu	ENSG00000078369.20	""	TE
chr1	1859822	1859842	chr1-5304	8.6	-	1.2291	1.2892	2.5183	2	Alu	ENSG00000078369.20	""	TE
chr1	1860612	1860632	chr1-3457	9.89	-	1.3236	1.6576	2.9812	2	Alu	ENSG00000078369.20	""	TE
chr1	1860685	1860705	chr1-5305	8.17	-	0.9454	1.4734	2.4188	2	Alu	ENSG00000078369.20	""	TE
chr1	1860758	1860778	chr1-3023	8.6	-	1.2291	1.6576	2.8867	2	First intron	ENSG00000078369.20	""	Genic
chr1	1861082	1861102	chr1-467	17.6	-	3.309	3.9598	7.2688	2	Alu	ENSG00000078369.20	""	TE
chr1	1861273	1861293	chr1-2631	10.3	-	1.7963	1.2892	3.0856	2	Alu	ENSG00000078369.20	""	TE
chr1	1861426	1861446	chr1-1198	17.2	-	2.3636	2.6706	5.0342	2	Alu	ENSG00000078369.20	""	TE
chr1	1861793	1861813	chr1-1741	15	-	1.6072	2.6706	4.2778	2	LINE	ENSG00000078369.20	""	TE
chr1	1862035	1862055	chr1-14434	11.6	-	1.5127	1.4734	2.9861	2	Alu	ENSG00000078369.20	""	TE
chr1	1863916	1863936	chr1-4573	8.17	-	1.04	1.2892	2.3292	2	Alu	ENSG00000078369.20	""	TE
chr1	1863985	1864005	chr1-1742	16.8	-	2.5527	1.8418	4.3944	2	Alu	ENSG00000078369.20	""	TE
chr1	1864235	1864255	chr1-9946	6.02	-	1.04	1.013	2.053	2	Alu	ENSG00000078369.20	""	TE
