chr	start	end	name	score	strand	NormedTC_ENCFF452ZWM	NormedTC_ENCFF786UGT	NormedTC_K562_ELAVL1	BC_K562_ELAVL1	annotation	gene	external_gene_name	grouped_annotation
chr1	1102907	1102927	chr1-9307	16.2	-	2.294	1.7936	4.0876	2	Alu	ENSG00000131591.19	""	TE
chr1	1104794	1104814	chr1-863	43.6	-	4.5879	5.4753	10.0632	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1105482	1105502	chr1-5932	13.4	-	0.8823	2.6433	3.5255	2	Alu	ENSG00000131591.19	""	TE
chr1	1105861	1105881	chr1-1771	34.6	-	2.6469	5.1921	7.839	2	Alu	ENSG00000131591.19	""	TE
chr1	1106114	1106134	chr1-7924	13.4	-	2.1175	3.4929	5.6104	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1115316	1115336	chr1-3209	15.1	-	3.3527	1.5104	4.8631	2	First intron	ENSG00000131591.19	""	Genic
chr1	1253251	1253271	chr1-4572	14	-	1.2352	2.5489	3.7841	2	3'UTR-distal	""	""	Genic
chr1	1256866	1256886	chr1-2334	16.2	-	2.1175	1.6048	3.7223	2	Alu	ENSG00000160087.22	""	TE
chr1	1261577	1261597	chr1-3210	14.5	-	2.6469	2.3601	5.0069	2	Deep intronic	ENSG00000160087.22	""	Genic
chr1	1316258	1316278	chr1-10954	10.6	-	1.4117	1.6048	3.0165	2	Alu	ENSG00000127054.23	""	TE
chr1	1316907	1316927	chr1-3595	15.1	-	1.4117	1.9824	3.3941	2	Alu	ENSG00000127054.23	""	TE
chr1	1317378	1317398	chr1-7926	28.5	-	4.5879	2.5489	7.1368	2	Alu	ENSG00000127054.23	""	TE
chr1	1318160	1318180	chr1-7927	14	-	2.1175	1.6048	3.7223	2	Alu	ENSG00000127054.23	""	TE
chr1	1318265	1318285	chr1-2861	12.9	-	1.7646	1.416	3.1806	2	LINE	ENSG00000127054.23	""	TE
chr1	1318622	1318642	chr1-1161	87.2	-	17.2929	6.6081	23.901	2	Alu	ENSG00000127054.23	""	TE
chr1	1335710	1335730	chr1-2584	22.9	-	1.941	3.0209	4.9619	2	3'UTR	ENSG00000107404.22	""	Genic
chr1	1388506	1388526	chr1-2335	14	-	3.3527	1.9824	5.3351	2	Alu	ENSG00000221978.14	""	TE
chr1	1390307	1390327	chr1-6804	6.71	-	1.5881	1.9824	3.5706	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390922	1390942	chr1-602	38	-	5.4702	9.157	14.6272	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391066	1391086	chr1-49	196.7	-	27.5274	26.999	54.5264	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391203	1391223	chr1-319	69.3	-	16.7635	20.4852	37.2487	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391803	1391823	chr1-5185	12.9	-	1.2352	2.8321	4.0673	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1392244	1392264	chr1-864	27.9	-	9.1758	9.3458	18.5216	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392407	1392427	chr1-1231	35.2	-	4.9408	4.1537	9.0945	2	3'UTR	ENSG00000221978.14	""	Genic
chr1	1395040	1395060	chr1-1025	38.6	-	7.5877	4.2481	11.8358	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1398162	1398182	chr1-6806	13.4	-	2.294	1.3216	3.6156	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1398440	1398460	chr1-3211	12.9	-	3.7056	1.3216	5.0272	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1398509	1398529	chr1-2337	24.6	-	3.3527	2.8321	6.1848	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1401997	1402017	chr1-5936	21.2	-	3.5292	4.4369	7.9661	2	3'UTR	ENSG00000242485.7	""	Genic
chr1	1402074	1402094	chr1-7931	7.26	-	1.0587	2.0768	3.1356	2	3'UTR	ENSG00000242485.7	""	Genic
chr1	1408783	1408803	chr1-1162	23.5	+	4.5879	2.4545	7.0424	2	Alu	""	""	TE
chr1	1409471	1409491	chr1-9312	16.8	+	1.7646	2.3601	4.1246	2	Alu	ENSG00000272455.1	MRPL20-DT	TE
chr1	1473158	1473178	chr1-4032	12.9	+	1.7646	1.2272	2.9918	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477506	1477526	chr1-5186	12.9	+	1.2352	4.8145	6.0497	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477722	1477742	chr1-460	74.9	+	5.6467	10.4786	16.1253	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478022	1478042	chr1-305	68.7	+	9.1758	8.7794	17.9552	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1484205	1484225	chr1-13151	13.4	+	1.2352	2.6433	3.8785	2	Alu	ENSG00000160072.21	""	TE
chr1	1493446	1493466	chr1-1514	21.2	+	1.2352	3.8705	5.1057	2	Deep intronic	ENSG00000160072.21	""	Genic
chr1	1516426	1516446	chr1-1163	28.5	+	3.1762	4.5313	7.7075	2	Alu	ENSG00000197785.15	""	TE
chr1	1541980	1542000	chr1-3596	11.2	-	3.1762	1.7936	4.9699	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1548536	1548556	chr1-10958	21.2	-	4.5879	1.1328	5.7207	2	Alu	ENSG00000160075.13	""	TE
chr1	1560797	1560817	chr1-2338	24.6	-	3.5292	2.4545	5.9836	2	Alu	ENSG00000160075.13	""	TE
chr1	1563514	1563534	chr1-194	84.4	-	10.2346	9.4402	19.6748	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1564405	1564425	chr1-3212	11.2	-	2.4704	2.1712	4.6417	2	3'UTR	ENSG00000160075.13	""	Genic
chr1	1573403	1573423	chr1-5189	15.6	-	1.7646	1.9824	3.747	2	Alu	ENSG00000160075.13	""	TE
chr1	1573993	1574013	chr1-1232	21.8	-	2.9998	2.7377	5.7374	2	First intron	ENSG00000160075.13	""	Genic
chr1	1615000	1615020	chr1-762	26.3	-	4.5879	2.4545	7.0424	2	Alu	ENSG00000272106.1	""	TE
chr1	1663764	1663784	chr1-3213	11.7	-	3.8821	1.9824	5.8645	2	3'UTR	ENSG00000189339.13	""	Genic
chr1	1664102	1664122	chr1-10966	11.2	-	1.941	1.5104	3.4515	2	3'UTR	ENSG00000189339.13	""	Genic
chr1	1673940	1673960	chr1-958	29.1	-	4.235	2.8321	7.0671	2	Alu	ENSG00000189339.13	""	TE
chr1	1674425	1674445	chr1-9319	7.26	-	1.7646	1.3216	3.0862	2	Deep intronic	ENSG00000189339.13	""	Genic
chr1	1683066	1683086	chr1-1515	21.8	-	5.1173	1.9824	7.0997	2	Alu	ENSG00000189339.13	""	TE
chr1	1729454	1729474	chr1-5939	26.3	-	4.7644	1.888	6.6524	2	Alu	ENSG00000268575.1	""	TE
chr1	1729674	1729694	chr1-6811	9.5	-	2.1175	1.1328	3.2503	2	Alu	ENSG00000268575.1	""	TE
chr1	1730787	1730807	chr1-6812	7.26	-	1.5881	1.6992	3.2874	2	Deep intronic	ENSG00000268575.1	""	Genic
chr1	1731360	1731380	chr1-3214	58.1	-	8.2935	5.9473	14.2409	2	Alu	ENSG00000268575.1	""	TE
chr1	1731881	1731901	chr1-564	88.3	-	17.1164	6.2305	23.347	2	Alu	ENSG00000268575.1	""	TE
chr1	1732031	1732051	chr1-865	45.8	-	10.0581	3.8705	13.9286	2	Alu	ENSG00000268575.1	""	TE
chr1	1736701	1736721	chr1-7934	8.38	-	2.4704	0.5664	3.0368	2	Alu	ENSG00000215790.9	SLC35E2A	TE
chr1	1736778	1736798	chr1-345	100.6	-	18.7045	7.1746	25.8791	2	Alu	ENSG00000215790.9	SLC35E2A	TE
chr1	1739671	1739691	chr1-3215	16.2	-	2.294	1.6048	3.8988	2	Other exon	ENSG00000290854.2	""	Genic
chr1	1744242	1744262	chr1-10969	12.9	-	1.941	1.3216	3.2627	2	3'UTR-distal	ENSG00000290854.2	""	Genic
chr1	1752696	1752716	chr1-4576	12.3	-	1.4117	1.6048	3.0165	2	3'UTR	ENSG00000008130.16	""	Genic
chr1	1757294	1757314	chr1-5940	7.82	-	2.1175	2.9265	5.044	2	CDS	ENSG00000008130.16	""	Genic
chr1	1757351	1757371	chr1-4033	23.5	-	2.6469	3.2097	5.8565	2	Proximal intronic	ENSG00000008130.16	""	Genic
chr1	1761558	1761578	chr1-4034	10.6	-	1.5881	1.6048	3.193	2	Deep intronic	ENSG00000008130.16	""	Genic
chr1	1770290	1770310	chr1-5941	7.82	-	2.9998	1.6048	4.6046	2	LINE	ENSG00000008130.16	""	TE
chr1	1770351	1770371	chr1-9323	11.7	-	2.1175	1.7936	3.9111	2	LINE	ENSG00000008130.16	""	TE
chr1	1785372	1785392	chr1-5192	17.3	-	2.8233	3.3041	6.1274	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1785629	1785649	chr1-2339	17.3	-	3.8821	2.7377	6.6197	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1785780	1785800	chr1-540	35.2	-	5.4702	3.5873	9.0575	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786031	1786051	chr1-565	31.3	-	7.4112	3.4929	10.9041	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786454	1786474	chr1-2862	15.6	-	3.1762	2.4545	5.6307	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786532	1786552	chr1-2130	16.8	-	3.3527	3.0209	6.3736	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786820	1786840	chr1-2585	11.2	-	1.941	1.6048	3.5459	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1794580	1794600	chr1-13159	8.38	-	1.0587	2.0768	3.1356	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1801719	1801739	chr1-6816	6.71	-	2.9998	0.7552	3.755	2	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1812316	1812336	chr1-4035	14.5	-	0.8823	2.1712	3.0535	2	LINE	ENSG00000078369.20	""	TE
chr1	1848329	1848349	chr1-7938	20.1	-	3.1762	1.9824	5.1587	2	Alu	ENSG00000078369.20	""	TE
chr1	1858082	1858102	chr1-1772	16.2	-	2.294	1.6048	3.8988	2	First intron	ENSG00000078369.20	""	Genic
chr1	1859472	1859492	chr1-2340	31.9	-	5.4702	2.7377	8.2079	2	Alu	ENSG00000078369.20	""	TE
chr1	1863591	1863611	chr1-4036	19	-	1.2352	3.3985	4.6337	2	First intron	ENSG00000078369.20	""	Genic
chr1	1870911	1870931	chr1-3216	16.2	-	2.1175	2.2656	4.3831	2	Alu	ENSG00000078369.20	""	TE
chr1	1879689	1879709	chr1-6821	13.4	-	1.5881	1.5104	3.0986	2	Alu	ENSG00000078369.20	""	TE
chr1	1880000	1880020	chr1-13171	12.9	-	2.9998	1.1328	4.1326	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	1883083	1883103	chr1-6822	11.2	-	1.7646	1.3216	3.0862	2	Alu	ENSG00000078369.20	""	TE
chr1	1883253	1883273	chr1-909	20.7	-	2.9998	2.0768	5.0766	2	Alu	ENSG00000078369.20	""	TE
chr1	1887417	1887437	chr1-10977	7.82	-	1.4117	2.0768	3.4885	2	First intron	ENSG00000078369.20	""	Genic
chr1	1887906	1887926	chr1-7940	8.38	-	2.1175	1.1328	3.2503	2	Alu	ENSG00000078369.20	""	TE
chr1	1888022	1888042	chr1-4577	12.3	-	3.7056	2.2656	5.9713	2	First intron	ENSG00000078369.20	""	Genic
chr1	1888341	1888361	chr1-5945	10.6	-	1.5881	1.7936	3.3818	2	First intron	ENSG00000078369.20	""	Genic
chr1	1889630	1889650	chr1-4037	17.9	-	1.5881	2.8321	4.4202	2	Alu	ENSG00000078369.20	""	TE
chr1	1890960	1890980	chr1-9329	7.26	-	1.0587	2.6433	3.702	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	1891004	1891024	chr1-7941	7.26	-	1.2352	2.7377	3.9729	2	5'UTR	ENSG00000078369.20	""	Genic
chr1	2244671	2244691	chr1-1516	21.8	+	2.1175	3.3041	5.4216	2	LINE	ENSG00000157933.12	""	TE
chr1	2251302	2251322	chr1-654	31.3	+	4.7644	3.5873	8.3516	2	Alu	ENSG00000157933.12	""	TE
chr1	2251377	2251397	chr1-5196	11.2	+	2.294	2.0768	4.3708	2	Alu	ENSG00000157933.12	""	TE
chr1	2254510	2254530	chr1-4038	16.8	+	1.941	1.888	3.8291	2	First intron	ENSG00000157933.12	""	Genic
chr1	2257110	2257130	chr1-10980	5.59	+	2.294	1.5104	3.8044	2	LINE	ENSG00000157933.12	""	TE
chr1	2257759	2257779	chr1-2863	12.9	+	1.2352	2.0768	3.3121	2	Alu	ENSG00000157933.12	""	TE
chr1	2260361	2260381	chr1-9330	9.5	+	1.941	1.7936	3.7347	2	LINE	ENSG00000157933.12	""	TE
chr1	2262745	2262765	chr1-5946	8.38	+	1.2352	2.2656	3.5009	2	LINE	ENSG00000157933.12	""	TE
chr1	2279723	2279743	chr1-1922	16.8	+	2.294	2.0768	4.3708	2	Alu	ENSG00000157933.12	""	TE
chr1	2285023	2285043	chr1-2864	14.5	+	2.1175	1.888	4.0055	2	First intron	ENSG00000157933.12	""	Genic
chr1	2285222	2285242	chr1-9332	11.7	+	1.7646	1.3216	3.0862	2	Alu	ENSG00000157933.12	""	TE
chr1	2285894	2285914	chr1-2586	15.6	+	1.5881	1.7936	3.3818	2	Alu	ENSG00000157933.12	""	TE
chr1	2286457	2286477	chr1-2865	11.7	+	1.5881	1.416	3.0042	2	Alu	ENSG00000157933.12	""	TE
chr1	2307126	2307146	chr1-10986	9.5	+	1.4117	1.6992	3.1109	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2307269	2307289	chr1-6825	21.2	+	1.5881	3.4929	5.081	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2307713	2307733	chr1-655	59.2	+	11.2933	12.7443	24.0376	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2308457	2308477	chr1-289	55.9	+	11.2933	8.1186	19.4119	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2308587	2308607	chr1-478	30.2	+	4.7644	3.4929	8.2572	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2308782	2308802	chr1-5947	15.6	+	2.8233	1.9824	4.8058	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2309952	2309972	chr1-5197	22.4	+	1.941	3.4929	5.4339	2	3'UTR	ENSG00000157933.12	""	Genic
chr1	2366448	2366468	chr1-2866	12.3	-	2.4704	0.8496	3.32	2	LINE	ENSG00000116151.15	""	TE
chr1	2369324	2369344	chr1-6826	7.26	-	2.4704	0.944	3.4144	2	Alu	ENSG00000116151.15	""	TE
chr1	2399477	2399497	chr1-4578	8.38	+	1.941	1.2272	3.1683	2	CDS	ENSG00000157916.21	""	Genic
chr1	2403815	2403835	chr1-2867	23.5	+	4.0585	4.3425	8.401	2	3'UTR	ENSG00000157916.21	""	Genic
chr1	3772783	3772803	chr1-1773	65.9	+	10.7639	5.6641	16.4281	2	3'UTR-distal	ENSG00000235169.12	""	Genic
chr1	3773052	3773072	chr1-3598	18.4	+	1.941	3.8705	5.8115	2	3'UTR-distal	ENSG00000235169.12	""	Genic
chr1	3780793	3780813	chr1-2131	16.8	-	3.7056	1.7936	5.4993	2	3'UTR	ENSG00000130764.11	""	Genic
chr1	3780961	3780981	chr1-189	138.6	-	20.6456	18.1252	38.7708	2	3'UTR	ENSG00000130764.11	""	Genic
chr1	3812833	3812853	chr1-566	40.2	-	5.9996	3.7761	9.7757	2	3'UTR	ENSG00000116198.15	""	Genic
chr1	3883829	3883849	chr1-1774	28.5	+	4.5879	4.2481	8.836	2	3'UTR	ENSG00000169598.18	""	Genic
chr1	3883933	3883953	chr1-2868	17.3	+	4.5879	1.6992	6.2871	2	3'UTR	ENSG00000169598.18	""	Genic
chr1	3884592	3884612	chr1-1517	18.4	+	2.6469	2.5489	5.1957	2	3'UTR	ENSG00000169598.18	""	Genic
chr1	3889673	3889693	chr1-11	714.1	-	94.405	74.672	169.077	2	3'UTR	ENSG00000198912.12	C1orf174	Genic
chr1	5557777	5557797	chr1-2869	17.3	+	4.235	0.6608	4.8958	2	Alu	""	""	TE
chr1	5799490	5799510	chr1-10991	11.7	-	2.9998	0.3776	3.3774	2	Alu	""	""	TE
chr1	6186153	6186173	chr1-4580	9.5	-	3.5292	2.3601	5.8892	2	3'UTR	ENSG00000116251.12	""	Genic
chr1	6188508	6188528	chr1-5198	13.4	-	2.1175	1.5104	3.6279	2	Alu	ENSG00000116251.12	""	TE
chr1	6194189	6194209	chr1-2870	13.4	-	1.5881	1.888	3.4762	2	Alu	ENSG00000116251.12	""	TE
chr1	6196035	6196055	chr1-5948	27.4	-	4.0585	3.3041	7.3626	2	Alu	ENSG00000116251.12	""	TE
chr1	6197723	6197743	chr1-2132	21.2	-	1.5881	3.0209	4.609	2	5'UTR	ENSG00000116251.12	""	Genic
chr1	6199571	6199591	chr1-4040	16.2	-	1.7646	2.1712	3.9358	2	5'UTR	ENSG00000116251.12	""	Genic
chr1	6222405	6222425	chr1-2587	20.1	-	3.7056	1.6048	5.3105	2	3'UTR	ENSG00000116237.17	""	Genic
chr1	6223184	6223204	chr1-9340	19.6	-	2.294	2.3601	4.654	2	3'UTR	ENSG00000116237.17	""	Genic
chr1	6231516	6231536	chr1-5949	13.4	-	2.1175	1.6048	3.7223	2	Alu	ENSG00000116237.17	""	TE
chr1	6522154	6522174	chr1-1412	37.4	-	6.176	5.2865	11.4625	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6522534	6522554	chr1-107	261	-	32.4683	31.9079	64.3761	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6522859	6522879	chr1-81	211.2	-	23.116	24.8277	47.9437	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6523140	6523160	chr1-541	155.3	-	13.9402	20.2964	34.2366	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6523515	6523535	chr1-2341	16.2	-	2.4704	4.7201	7.1905	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6523712	6523732	chr1-3599	11.7	-	1.0587	3.9649	5.0236	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6524513	6524533	chr1-5951	11.2	-	3.7056	2.4545	6.1601	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6525259	6525279	chr1-4041	21.8	-	4.7644	4.2481	9.0125	2	3'UTR	ENSG00000162408.12	""	Genic
chr1	6527920	6527940	chr1-4042	14	-	2.4704	1.1328	3.6032	2	Alu	ENSG00000162408.12	""	TE
chr1	6533160	6533180	chr1-10999	11.7	-	1.941	1.1328	3.0739	2	Alu	ENSG00000162408.12	""	TE
chr1	6537510	6537530	chr1-13197	5.59	-	1.7646	1.2272	2.9918	2	LINE	ENSG00000162408.12	""	TE
chr1	6545515	6545535	chr1-16038	7.26	-	2.1175	1.2272	3.3447	2	LINE	ENSG00000162408.12	""	TE
chr1	6546231	6546251	chr1-1638	16.8	-	5.9996	2.8321	8.8316	2	LINE	ENSG00000162408.12	""	TE
chr1	6548306	6548326	chr1-7954	8.38	-	1.941	1.416	3.3571	2	Alu	ENSG00000162408.12	""	TE
chr1	6556987	6557007	chr1-16039	15.6	-	1.2352	1.9824	3.2176	2	Alu	""	""	TE
chr1	6582328	6582348	chr1-4581	20.1	+	2.8233	2.1712	4.9946	2	3'UTR-distal	ENSG00000204859.14	""	Genic
chr1	6594685	6594705	chr1-5954	11.7	-	2.1175	0.944	3.0615	2	3'UTR	ENSG00000162413.17	KLHL21	Genic
chr1	6596422	6596442	chr1-2133	16.2	-	2.9998	1.416	4.4158	2	Alu	ENSG00000162413.17	KLHL21	TE
chr1	6623667	6623687	chr1-1923	15.6	+	4.0585	1.2272	5.2858	2	3'UTR	ENSG00000116273.7	""	Genic
chr1	6635073	6635093	chr1-9346	7.26	-	1.5881	1.416	3.0042	2	3'UTR	ENSG00000007923.18	""	Genic
chr1	6635546	6635566	chr1-9347	16.8	-	1.0587	2.2656	3.3244	2	3'UTR	ENSG00000007923.18	""	Genic
chr1	6642651	6642671	chr1-959	29.1	-	2.294	3.8705	6.1644	2	Alu	ENSG00000007923.18	""	TE
chr1	6647802	6647822	chr1-1164	29.1	-	3.3527	4.1537	7.5064	2	Alu	ENSG00000007923.18	""	TE
chr1	6650243	6650263	chr1-6831	15.6	-	1.0587	2.2656	3.3244	2	Alu	ENSG00000007923.18	""	TE
chr1	6650554	6650574	chr1-2342	18.4	-	2.4704	2.5489	5.0193	2	Alu	ENSG00000007923.18	""	TE
chr1	6650861	6650881	chr1-1233	19.6	-	2.9998	2.1712	5.171	2	Alu	ENSG00000007923.18	""	TE
chr1	6656705	6656725	chr1-2871	17.9	-	3.3527	1.5104	4.8631	2	Alu	ENSG00000007923.18	""	TE
chr1	6871793	6871813	chr1-1639	16.2	+	4.0585	1.888	5.9466	2	3'UTR	ENSG00000171735.21	CAMTA1	Genic
chr1	6871876	6871896	chr1-479	52	+	10.7639	6.8913	17.6553	2	3'UTR	ENSG00000171735.21	CAMTA1	Genic
chr1	7603525	7603545	chr1-2588	40.2	+	10.5875	1.416	12.0035	2	LINE	ENSG00000171735.21	CAMTA1	TE
chr1	7775370	7775390	chr1-5202	11.2	+	1.5881	1.416	3.0042	2	3'UTR-distal	ENSG00000049245.13	VAMP3	Genic
chr1	7779765	7779785	chr1-2343	15.6	+	1.941	3.0209	4.9619	2	3'UTR	ENSG00000049245.13	VAMP3	Genic
chr1	7843124	7843144	chr1-5203	10.6	+	1.941	1.7936	3.7347	2	3'UTR	ENSG00000049246.16	""	Genic
chr1	7844068	7844088	chr1-278	58.7	+	9.5287	11.517	21.0458	2	3'UTR	ENSG00000049246.16	""	Genic
chr1	8353192	8353212	chr1-1165	30.7	-	7.2348	3.9649	11.1997	2	3'UTR	ENSG00000142599.21	""	Genic
chr1	8354756	8354776	chr1-2872	18.4	-	2.6469	1.9824	4.6293	2	3'UTR	ENSG00000142599.21	""	Genic
chr1	8397570	8397590	chr1-2873	11.7	-	1.941	1.1328	3.0739	2	Deep intronic	ENSG00000142599.21	""	Genic
chr1	8400812	8400832	chr1-2344	16.8	-	2.4704	1.888	4.3585	2	Alu	ENSG00000142599.21	""	TE
chr1	8401430	8401450	chr1-5204	14	-	1.5881	1.6992	3.2874	2	Alu	ENSG00000142599.21	""	TE
chr1	8448821	8448841	chr1-4043	9.5	-	2.294	1.0384	3.3324	2	Alu	ENSG00000142599.21	""	TE
chr1	8454794	8454814	chr1-2345	14.5	-	2.8233	1.7936	4.617	2	Alu	ENSG00000142599.21	""	TE
chr1	8486607	8486627	chr1-2874	14.5	-	2.6469	2.1712	4.8181	2	LINE	ENSG00000142599.21	""	TE
chr1	8493696	8493716	chr1-6834	14.5	-	1.7646	1.888	3.6526	2	Satellite/LC	ENSG00000142599.21	""	TE
chr1	8493967	8493987	chr1-3601	11.7	-	2.1175	1.3216	3.4391	2	LINE	ENSG00000142599.21	""	TE
chr1	8507261	8507281	chr1-7958	10.1	-	1.941	1.416	3.3571	2	Alu	ENSG00000142599.21	""	TE
chr1	8546263	8546283	chr1-9356	32.4	-	4.5879	3.1153	7.7032	2	Alu	ENSG00000142599.21	""	TE
chr1	8577149	8577169	chr1-11025	13.4	-	1.7646	1.416	3.1806	2	Alu	ENSG00000142599.21	""	TE
chr1	8583787	8583807	chr1-3219	15.1	-	3.7056	3.0209	6.7265	2	LINE	ENSG00000142599.21	""	TE
chr1	8583953	8583973	chr1-4583	8.94	-	1.7646	1.7936	3.5582	2	LINE	ENSG00000142599.21	""	TE
chr1	8584203	8584223	chr1-4045	10.1	-	2.294	1.6992	3.9932	2	LINE	ENSG00000142599.21	""	TE
chr1	8584359	8584379	chr1-3220	21.2	-	1.5881	3.0209	4.609	2	Alu	ENSG00000142599.21	""	TE
chr1	8589425	8589445	chr1-4584	8.38	-	2.1175	2.1712	4.2887	2	Alu	ENSG00000142599.21	""	TE
chr1	8605183	8605203	chr1-4585	17.3	-	2.8233	1.5104	4.3338	2	Alu	ENSG00000142599.21	""	TE
chr1	8605725	8605745	chr1-2346	21.2	-	3.3527	1.7936	5.1463	2	Alu	ENSG00000142599.21	""	TE
chr1	8607396	8607416	chr1-13219	12.9	-	1.941	1.2272	3.1683	2	Deep intronic	ENSG00000142599.21	""	Genic
chr1	8651713	8651733	chr1-3221	13.4	-	2.8233	1.6992	4.5226	2	Alu	ENSG00000142599.21	""	TE
chr1	8710594	8710614	chr1-9361	20.7	-	4.9408	1.2272	6.1681	2	Alu	ENSG00000142599.21	""	TE
chr1	8711131	8711151	chr1-13223	22.4	-	4.0585	1.888	5.9466	2	Alu	ENSG00000142599.21	""	TE
chr1	8716583	8716603	chr1-2875	16.2	-	2.294	2.3601	4.654	2	LINE	ENSG00000142599.21	""	TE
chr1	8731673	8731693	chr1-1924	19	-	1.941	2.5489	4.4899	2	LINE	ENSG00000142599.21	""	TE
chr1	8734081	8734101	chr1-3602	23.5	-	2.6469	3.7761	6.423	2	Alu	ENSG00000142599.21	""	TE
chr1	8736827	8736847	chr1-1775	19.6	-	2.1175	2.2656	4.3831	2	First intron	ENSG00000142599.21	""	Genic
chr1	8744639	8744659	chr1-3222	14.5	-	2.294	2.0768	4.3708	2	First intron	ENSG00000142599.21	""	Genic
