chr	start	end	name	score	strand	NormedTC_ENCFF289OFA	NormedTC_ENCFF647KDW	NormedTC_HepG2_RBFOX2	BC_HepG2_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	1042172	1042192	chr1-867	27.8	+	4.0388	4.2789	8.3178	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042300	1042320	chr1-246	46.4	+	12.3541	18.0666	30.4206	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042458	1042478	chr1-264	49.8	+	8.7904	7.1315	15.9219	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042551	1042571	chr1-313	38.2	+	6.4146	10.6973	17.1119	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042913	1042933	chr1-101	107.8	+	19.719	22.8209	42.5399	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1043177	1043197	chr1-247	47.5	+	8.3152	11.1727	19.488	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1045666	1045686	chr1-967	18.5	+	1.663	8.0824	9.7455	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1045918	1045938	chr1-1275	18.5	+	3.3261	2.8526	6.1787	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1046356	1046376	chr1-1973	19.7	+	1.4255	4.9921	6.4175	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1046814	1046834	chr1-1104	25.5	+	1.4255	6.4184	7.8439	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1046988	1047008	chr1-630	33.6	+	5.7019	7.8447	13.5466	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047088	1047108	chr1-579	27.8	+	3.0885	5.4675	8.556	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047163	1047183	chr1-1276	20.9	+	2.8509	4.7544	7.6053	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1050170	1050190	chr1-631	30.1	+	4.2764	5.2298	9.5062	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1050355	1050375	chr1-1105	18.5	+	2.8509	3.0903	5.9413	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1051419	1051439	chr1-1106	22	+	5.9394	6.6561	12.5956	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1051866	1051886	chr1-248	60.3	+	9.028	10.6973	19.7253	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052073	1052093	chr1-87	76.5	+	12.3541	10.4596	22.8136	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052188	1052208	chr1-314	61.4	+	9.7407	12.3613	22.102	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052276	1052296	chr1-265	42.9	+	8.5528	7.3693	15.9221	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052616	1052636	chr1-437	45.2	+	11.4037	4.7544	16.1581	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053198	1053218	chr1-4	460.1	+	88.8542	68.2251	157.0792	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053318	1053338	chr1-6	443.9	+	76.2625	70.84	147.1025	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053418	1053438	chr1-12	271.2	+	41.3386	39.4612	80.7998	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054650	1054670	chr1-127	84.6	+	8.7904	10.4596	19.25	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054711	1054731	chr1-703	35.9	+	5.2267	5.4675	10.6942	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054824	1054844	chr1-527	27.8	+	4.7516	4.2789	9.0305	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1054896	1054916	chr1-633	26.7	+	5.4643	4.7544	10.2187	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1055676	1055696	chr1-868	24.3	+	3.5637	4.5166	8.0803	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055782	1055802	chr1-1976	16.2	+	2.3758	3.5658	5.9416	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1063484	1063504	chr1-1454	16.2	+	3.0885	3.3281	6.4166	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1064415	1064435	chr1-1108	20.9	+	2.6134	5.7052	8.3186	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1064526	1064546	chr1-1109	19.7	+	4.9891	2.8526	7.8418	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1064662	1064682	chr1-634	32.5	+	3.5637	5.4675	9.0312	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1065298	1065318	chr1-971	25.5	+	4.7516	3.0903	7.8419	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1065431	1065451	chr1-2323	20.9	+	3.8012	3.8035	7.6047	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1065518	1065538	chr1-1696	22	+	3.8012	4.7544	8.5556	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1112383	1112403	chr1-473	35.9	-	9.2655	5.943	15.2085	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1112488	1112508	chr1-474	29	-	9.7407	6.8938	16.6345	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1112574	1112594	chr1-635	40.6	-	9.028	4.2789	13.3069	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1115996	1116016	chr1-704	26.7	-	4.9891	5.4675	10.4567	2	Satellite/LC	ENSG00000131591.19	""	TE
chr1	1219036	1219056	chr1-972	24.3	-	2.3758	4.0412	6.417	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1219197	1219217	chr1-438	35.9	-	4.9891	6.1807	11.1698	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1219328	1219348	chr1-439	30.1	-	4.2764	8.5578	12.8343	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1219393	1219413	chr1-367	33.6	-	4.2764	6.1807	10.4571	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1219665	1219685	chr1-440	34.8	-	5.9394	6.1807	12.1201	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1220394	1220414	chr1-1281	32.5	-	2.6134	6.1807	8.794	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1220484	1220504	chr1-475	37.1	-	3.0885	6.4184	9.5069	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1220600	1220620	chr1-156	49.8	-	6.6522	11.6482	18.3004	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1222333	1222353	chr1-1111	18.5	-	4.2764	5.943	10.2194	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1243810	1243830	chr1-706	26.7	-	4.0388	7.3693	11.4081	2	Satellite/LC	ENSG00000184163.3	C1QTNF12	TE
chr1	1257366	1257386	chr1-794	29	-	3.3261	3.3281	6.6541	2	Satellite/LC	ENSG00000160087.22	""	TE
chr1	1267529	1267549	chr1-1112	17.4	-	4.2764	3.5658	7.8422	2	First intron	ENSG00000160087.22	""	Genic
chr1	1268129	1268149	chr1-795	26.7	-	4.0388	4.2789	8.3178	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1268439	1268459	chr1-1283	25.5	-	4.2764	3.8035	8.0799	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1268760	1268780	chr1-1978	22	-	3.0885	3.8035	6.892	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1269089	1269109	chr1-1458	17.4	-	3.3261	4.0412	7.3673	2	First intron	ENSG00000160087.22	""	Genic
chr1	1269289	1269309	chr1-707	30.1	-	5.4643	6.4184	11.8827	2	First intron	ENSG00000160087.22	""	Genic
chr1	1269829	1269849	chr1-974	24.3	-	4.2764	2.8526	7.129	2	LINE	ENSG00000160087.22	""	TE
chr1	1270100	1270120	chr1-975	32.5	-	4.2764	3.5658	7.8422	2	LTR/ERV	ENSG00000160087.22	""	TE
chr1	1270480	1270500	chr1-976	22	-	4.0388	2.3772	6.416	2	First intron	ENSG00000160087.22	""	Genic
chr1	1270817	1270837	chr1-636	35.9	-	6.8898	5.943	12.8327	2	First intron	ENSG00000160087.22	""	Genic
chr1	1272615	1272635	chr1-1459	16.2	-	3.3261	3.5658	6.8919	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1272909	1272929	chr1-2332	16.2	-	3.3261	5.2298	8.5559	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1294898	1294918	chr1-441	32.5	-	4.2764	7.8447	12.1211	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1295054	1295074	chr1-442	37.1	-	6.8898	8.5578	15.4476	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1295193	1295213	chr1-368	52.2	-	8.0777	7.607	15.6846	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1295408	1295428	chr1-869	25.5	-	2.8509	3.0903	5.9413	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1298141	1298161	chr1-128	61.4	-	10.2159	12.3613	22.5772	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1298262	1298282	chr1-334	34.8	-	4.7516	7.3693	12.1208	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1298699	1298719	chr1-88	89.2	-	10.691	21.8701	32.5611	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1298853	1298873	chr1-56	83.4	-	15.4426	24.0095	39.4521	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1298972	1298992	chr1-57	119.4	-	15.4426	24.7227	40.1652	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1299297	1299317	chr1-73	117.1	-	16.3929	29.477	45.8699	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1299467	1299487	chr1-63	158.8	-	22.3323	29.0016	51.3339	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1299638	1299658	chr1-11	198.2	-	28.5094	41.8384	70.3477	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1299709	1299729	chr1-47	104.3	-	17.5808	25.9113	43.492	2	Satellite/LC	ENSG00000131584.20	""	TE
chr1	1300091	1300111	chr1-26	186.6	-	20.1941	31.8542	52.0483	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1300339	1300359	chr1-476	38.2	-	9.028	7.8447	16.8727	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1300630	1300650	chr1-797	30.1	-	2.8509	5.7052	8.5562	2	CDS	ENSG00000131584.20	""	Genic
chr1	1301547	1301567	chr1-396	46.4	-	7.1273	8.0824	15.2098	2	Alu	ENSG00000131584.20	""	TE
chr1	1301623	1301643	chr1-102	73	-	17.3432	16.1648	33.508	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1301718	1301738	chr1-58	82.3	-	14.9674	12.5991	27.5665	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1301782	1301802	chr1-96	80	-	17.3432	13.0745	30.4177	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1301903	1301923	chr1-157	76.5	-	11.6413	15.6894	27.3307	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1303601	1303621	chr1-397	35.9	-	8.3152	10.6973	19.0125	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1303732	1303752	chr1-335	55.6	-	10.9286	10.6973	21.6259	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1303951	1303971	chr1-398	33.6	-	4.2764	6.1807	10.4571	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1304199	1304219	chr1-267	62.6	-	8.5528	13.0745	21.6273	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1304315	1304335	chr1-283	45.2	-	7.1273	8.7956	15.9229	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1304515	1304535	chr1-158	75.3	-	11.8789	12.5991	24.478	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1304857	1304877	chr1-708	29	-	3.8012	5.4675	9.2688	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1305323	1305343	chr1-1118	20.9	-	2.1382	3.8035	5.9417	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1305712	1305732	chr1-580	33.6	-	5.2267	4.5166	9.7434	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1305835	1305855	chr1-1288	22	-	4.0388	4.2789	8.3178	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1306018	1306038	chr1-638	35.9	-	3.5637	5.7052	9.2689	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1306389	1306409	chr1-477	35.9	-	5.2267	5.943	11.1697	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1306653	1306673	chr1-122	74.2	-	7.1273	10.2219	17.3492	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1306895	1306915	chr1-709	31.3	-	5.9394	4.0412	9.9807	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307233	1307253	chr1-315	38.2	-	7.6025	5.943	13.5454	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307507	1307527	chr1-581	37.1	-	2.8509	6.8938	9.7448	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307679	1307699	chr1-639	38.2	-	5.4643	7.607	13.0713	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1307901	1307921	chr1-478	31.3	-	2.6134	5.943	8.5563	2	3'UTR-distal	ENSG00000131584.20	""	Genic
chr1	1312549	1312569	chr1-1703	17.4	-	2.1382	4.0412	6.1794	2	Satellite/LC	ENSG00000127054.23	""	TE
chr1	1313979	1313999	chr1-1466	29	-	3.5637	4.2789	7.8426	2	5'UTR	ENSG00000127054.23	""	Genic
chr1	1314786	1314806	chr1-640	25.5	-	2.8509	5.2298	8.0807	2	Proximal intronic	ENSG00000127054.23	""	Genic
chr1	1315470	1315490	chr1-528	33.6	-	2.3758	7.1315	9.5073	2	Proximal intronic	ENSG00000127054.23	""	Genic
chr1	1318917	1318937	chr1-336	51	-	10.2159	10.935	21.1509	2	CDS	ENSG00000127054.23	""	Genic
chr1	1319065	1319085	chr1-316	49.8	-	4.514	11.8859	16.3999	2	CDS	ENSG00000127054.23	""	Genic
chr1	1320700	1320720	chr1-872	26.7	-	2.3758	4.9921	7.3679	2	First intron	ENSG00000127054.23	""	Genic
chr1	1320834	1320854	chr1-176	62.6	-	13.7795	14.5008	28.2803	2	First intron	ENSG00000127054.23	""	Genic
chr1	1321700	1321720	chr1-798	24.3	-	2.3758	4.7544	7.1301	2	First intron	ENSG00000127054.23	""	Genic
chr1	1322064	1322084	chr1-1119	23.2	-	3.5637	3.0903	6.654	2	LINE	ENSG00000127054.23	""	TE
chr1	1335461	1335481	chr1-1471	18.5	-	3.8012	4.2789	8.0802	2	3'UTR	ENSG00000107404.22	""	Genic
chr1	1335699	1335719	chr1-981	24.3	-	3.8012	3.3281	7.1293	2	3'UTR	ENSG00000107404.22	""	Genic
chr1	1336036	1336056	chr1-399	32.5	-	4.7516	9.5087	14.2603	2	3'UTR	ENSG00000107404.22	""	Genic
chr1	1336242	1336262	chr1-529	30.1	-	5.7019	5.2298	10.9317	2	CDS	ENSG00000107404.22	""	Genic
chr1	1336613	1336633	chr1-249	57.9	-	8.5528	13.7876	22.3405	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1336853	1336873	chr1-479	46.4	-	7.1273	10.4596	17.5869	2	Deep intronic	ENSG00000107404.22	""	Genic
chr1	1337309	1337329	chr1-710	32.5	-	6.177	8.0824	14.2594	2	Deep intronic	ENSG00000107404.22	""	Genic
chr1	1337466	1337486	chr1-1291	30.1	-	4.0388	5.4675	9.5063	2	Deep intronic	ENSG00000107404.22	""	Genic
chr1	1337648	1337668	chr1-874	29	-	3.8012	4.0412	7.8425	2	Deep intronic	ENSG00000107404.22	""	Genic
chr1	1338947	1338967	chr1-134	55.6	-	7.8401	15.9271	23.7672	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1339695	1339715	chr1-400	47.5	-	5.2267	9.7464	14.9732	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1339863	1339883	chr1-170	56.8	-	15.4426	17.3534	32.796	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1339917	1339937	chr1-89	85.8	-	12.5916	21.3946	33.9863	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1340199	1340219	chr1-480	34.8	-	4.514	4.7544	9.2683	2	Proximal intronic	ENSG00000107404.22	""	Genic
chr1	1341870	1341890	chr1-1294	20.9	-	2.6134	3.0903	5.7037	2	CDS	ENSG00000107404.22	""	Genic
chr1	1341931	1341951	chr1-1124	23.2	-	4.514	4.0412	8.5552	2	CDS	ENSG00000107404.22	""	Genic
chr1	1342459	1342479	chr1-800	30.1	-	2.8509	4.2789	7.1299	2	CDS	ENSG00000107404.22	""	Genic
chr1	1342589	1342609	chr1-401	34.8	-	5.7019	7.607	13.3088	2	First intron	ENSG00000107404.22	""	Genic
chr1	1343384	1343404	chr1-1295	27.8	-	4.2764	5.7052	9.9816	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1343500	1343520	chr1-1296	20.9	-	3.8012	4.0412	7.8425	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1344910	1344930	chr1-641	24.3	-	3.0885	4.0412	7.1297	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1346408	1346428	chr1-2350	15.1	-	3.8012	2.6149	6.4161	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1347313	1347333	chr1-2351	13.9	-	1.4255	4.5166	5.9421	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349120	1349140	chr1-250	71.9	-	11.1662	17.3534	28.5196	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349190	1349210	chr1-52	92.7	-	16.1553	25.1981	41.3534	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349271	1349291	chr1-251	52.2	-	6.4146	10.4596	16.8742	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349357	1349377	chr1-284	53.3	-	4.9891	10.2219	15.211	2	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1349628	1349648	chr1-711	30.1	+	2.3758	6.4184	8.7942	2	First intron	ENSG00000304860.1	""	Genic
chr1	1349831	1349851	chr1-712	26.7	+	2.8509	3.8035	6.6544	2	First intron	ENSG00000304860.1	""	Genic
chr1	1351444	1351464	chr1-1711	16.2	+	4.514	3.0903	7.6043	2	First intron	ENSG00000304860.1	""	Genic
chr1	1353657	1353677	chr1-713	41.7	-	3.3261	7.8447	11.1708	2	Proximal intronic	ENSG00000162576.18	""	Genic
chr1	1354144	1354164	chr1-1995	19.7	+	4.0388	2.6149	6.6537	2	First intron	ENSG00000304860.1	""	Genic
chr1	1354276	1354296	chr1-801	26.7	-	2.8509	6.8938	9.7448	2	Proximal intronic	ENSG00000162576.18	""	Genic
chr1	1374884	1374904	chr1-530	41.7	-	4.9891	5.2298	10.2189	2	5'UTR	ENSG00000175756.15	""	Genic
chr1	1375115	1375135	chr1-582	26.7	-	5.7019	3.0903	8.7922	2	5'UTR	ENSG00000175756.15	""	Genic
chr1	1387984	1388004	chr1-1477	23.2	-	1.4255	4.7544	6.1798	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390252	1390272	chr1-3445	15.1	-	1.4255	4.9921	6.4175	2	CDS	ENSG00000221978.14	""	Genic
chr1	1390897	1390917	chr1-74	77.7	-	7.6025	14.9762	22.5787	2	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391179	1391199	chr1-111	70.7	-	14.0171	13.3122	27.3293	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391267	1391287	chr1-41	84.6	-	15.4426	6.4184	21.861	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391379	1391399	chr1-337	60.3	-	6.4146	14.0254	20.44	2	CDS	ENSG00000221978.14	""	Genic
chr1	1391548	1391568	chr1-875	27.8	-	3.0885	4.9921	8.0806	2	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1392139	1392159	chr1-1127	19.7	-	1.4255	4.2789	5.7044	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1392933	1392953	chr1-583	33.6	-	7.1273	3.5658	10.6931	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393010	1393030	chr1-216	83.4	-	9.9783	13.3122	23.2905	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393068	1393088	chr1-129	103.1	-	11.4037	20.4437	31.8475	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393189	1393209	chr1-402	40.6	-	5.9394	9.9842	15.9236	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1393270	1393290	chr1-190	45.2	-	7.3649	7.3693	14.7342	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1399288	1399308	chr1-1297	19.7	-	1.4255	5.943	7.3684	2	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1401135	1401155	chr1-1715	23.2	-	2.1382	3.5658	5.704	2	3'UTR-distal	""	""	Genic
chr1	1435950	1435970	chr1-1480	24.3	+	1.663	4.7544	6.4174	2	3'UTR-distal	ENSG00000179403.13	""	Genic
chr1	1477374	1477394	chr1-876	24.3	+	3.5637	5.943	9.5066	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477424	1477444	chr1-642	24.3	+	4.9891	5.2298	10.2189	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1477576	1477596	chr1-1298	18.5	+	3.3261	3.8035	7.1296	2	3'UTR-distal	ENSG00000160072.21	""	Genic
