chr	start	end	name	score	strand	NormedTC_SRR32609679	NormedTC_SRR32609680	NormedTC_SRR32609681	NormedTC_SRR32609682	NormedTC_SRR32609683	NormedTC_SRR37853278	NormedTC_SRR37853279	NormedTC_SRR37853280	NormedTC_HNRNPC_WT	BC_HNRNPC_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	1731570	1731590	chr1-1834	18	-	0	0	0	2.7469	0	16.3761	0	13.3873	32.5104	3	Satellite/LC	ENSG00000268575.1	""	TE
chr1	1732045	1732065	chr1-799	25.3	-	1.2158	7.6414	4.928	0	0	0	6.201	6.6937	26.6798	5	Alu	ENSG00000268575.1	""	TE
chr1	1752191	1752211	chr1-3024	14.4	-	2.4315	0	2.464	0	13.6848	0	0	0	18.5803	3	3'UTR	ENSG00000008130.16	""	Genic
chr1	1763159	1763179	chr1-1171	18	-	3.6473	0	0	0	0	0	6.201	6.6937	16.5419	3	Deep intronic	ENSG00000008130.16	""	Genic
chr1	1766093	1766113	chr1-1172	21.7	-	0	0	2.464	0	13.6848	9.8257	6.201	0	32.1754	4	Alu	ENSG00000008130.16	""	TE
chr1	1786158	1786178	chr1-3025	14.4	-	2.4315	0	2.464	0	13.6848	0	0	0	18.5803	3	3'UTR	ENSG00000078369.20	""	Genic
chr1	1788612	1788632	chr1-430	32.5	-	2.4315	0	2.464	0	0	0	12.402	13.3873	30.6848	4	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1838788	1838808	chr1-1838	18	-	1.2158	3.8207	2.464	2.7469	0	0	0	13.3873	23.6347	5	First intron	ENSG00000078369.20	""	Genic
chr1	1842117	1842137	chr1-169	46.9	-	0	0	0	5.4939	0	13.1009	12.402	20.081	51.0778	4	Alu	ENSG00000078369.20	""	TE
chr1	1843639	1843659	chr1-1839	18	-	0	0	0	2.7469	13.6848	9.8257	0	0	26.2574	3	First intron	ENSG00000078369.20	""	Genic
chr1	1853444	1853464	chr1-3028	18	-	2.4315	11.4621	0	0	0	3.2752	0	6.6937	23.8625	4	First intron	ENSG00000078369.20	""	Genic
chr1	1854727	1854747	chr1-170	57.8	-	4.863	3.8207	0	10.9878	0	9.8257	12.402	6.6937	48.5928	6	Alu	ENSG00000078369.20	""	TE
chr1	1859833	1859853	chr1-1840	25.3	-	1.2158	0	0	0	0	13.1009	6.201	0	20.5177	3	Alu	ENSG00000078369.20	""	TE
chr1	1860410	1860430	chr1-800	21.7	-	2.4315	0	4.928	0	0	9.8257	3.1005	6.6937	26.9793	5	LINE	ENSG00000078369.20	""	TE
chr1	1860929	1860949	chr1-589	28.9	-	1.2158	0	0	0	0	13.1009	9.3015	6.6937	30.3118	4	Alu	ENSG00000078369.20	""	TE
chr1	1861803	1861823	chr1-3029	18	-	3.6473	0	0	0	13.6848	0	0	6.6937	24.0257	3	LINE	ENSG00000078369.20	""	TE
chr1	1865760	1865780	chr1-1173	21.7	-	3.6473	3.8207	0	0	13.6848	0	3.1005	0	24.2532	4	First intron	ENSG00000078369.20	""	Genic
chr1	1865856	1865876	chr1-431	32.5	-	3.6473	11.4621	2.464	2.7469	0	3.2752	3.1005	13.3873	40.0833	7	First intron	ENSG00000078369.20	""	Genic
chr1	1866582	1866602	chr1-3030	14.4	-	0	3.8207	0	0	0	0	6.201	6.6937	16.7153	3	First intron	ENSG00000078369.20	""	Genic
chr1	1869324	1869344	chr1-1174	25.3	-	3.6473	0	4.928	0	0	3.2752	0	6.6937	18.5441	4	5'UTR	ENSG00000078369.20	""	Genic
chr1	1870642	1870662	chr1-432	25.3	-	2.4315	0	4.928	8.2408	0	3.2752	6.201	0	25.0765	5	First intron	ENSG00000078369.20	""	Genic
chr1	1888350	1888370	chr1-119	50.5	-	10.9418	0	4.928	5.4939	0	0	3.1005	6.6937	31.1578	5	First intron	ENSG00000078369.20	""	Genic
chr1	1976516	1976536	chr1-3031	21.7	-	2.4315	15.2827	0	2.7469	0	0	0	0	20.4612	3	Alu	ENSG00000142609.20	CFAP74	TE
chr1	2246099	2246119	chr1-801	25.3	+	2.4315	3.8207	4.928	0	13.6848	0	6.201	6.6937	37.7596	6	LINE	ENSG00000157933.12	""	TE
chr1	2264084	2264104	chr1-1175	18	+	3.6473	0	2.464	0	0	3.2752	3.1005	6.6937	19.1806	5	First intron	ENSG00000157933.12	""	Genic
chr1	2288470	2288490	chr1-1176	21.7	+	0	0	0	0	0	9.8257	0	20.081	29.9067	2	First intron	ENSG00000157933.12	""	Genic
chr1	2367290	2367310	chr1-3036	14.4	-	0	0	0	0	0	3.2752	0	20.081	23.3562	2	Satellite/LC	ENSG00000116151.15	""	TE
chr1	5913142	5913162	chr1-1842	18	-	0	0	0	0	0	16.3761	0	0	16.3761	1	Alu	ENSG00000131697.19	""	TE
chr1	6186926	6186946	chr1-590	28.9	-	2.4315	11.4621	0	5.4939	13.6848	0	0	6.6937	39.7659	5	Deep intronic	ENSG00000116251.12	""	Genic
chr1	6195581	6195601	chr1-3042	14.4	-	1.2158	0	0	0	0	3.2752	6.201	6.6937	17.3856	4	Alu	ENSG00000116251.12	""	TE
chr1	6195885	6195905	chr1-3043	14.4	-	1.2158	3.8207	0	0	13.6848	0	0	6.6937	25.4149	4	Alu	ENSG00000116251.12	""	TE
chr1	6522372	6522392	chr1-1177	21.7	-	1.2158	0	0	0	0	0	9.3015	13.3873	23.9046	3	3'UTR	ENSG00000162408.12	""	Genic
chr1	6523257	6523277	chr1-1843	18	-	0	0	0	0	13.6848	6.5505	0	13.3873	33.6225	3	3'UTR	ENSG00000162408.12	""	Genic
chr1	6527319	6527339	chr1-171	54.1	-	1.2158	0	0	0	13.6848	22.9266	21.7035	6.6937	66.2243	5	Deep intronic	ENSG00000162408.12	""	Genic
chr1	6529273	6529293	chr1-1844	21.7	-	1.2158	0	0	0	0	0	15.5025	0	16.7182	2	Proximal intronic	ENSG00000162408.12	""	Genic
chr1	6549321	6549341	chr1-3047	14.4	-	0	0	0	0	0	6.5505	6.201	6.6937	19.4451	3	Deep intronic	ENSG00000162408.12	""	Genic
chr1	6582840	6582860	chr1-63	75.8	+	6.0788	11.4621	4.928	0	13.6848	19.6514	12.402	6.6937	74.9006	7	3'UTR-distal	ENSG00000204859.14	""	Genic
chr1	6584093	6584113	chr1-591	28.9	+	0	11.4621	4.928	0	0	3.2752	9.3015	0	28.9668	4	3'UTR-distal	ENSG00000204859.14	""	Genic
chr1	6646084	6646104	chr1-3049	14.4	-	0	0	0	5.4939	0	0	0	13.3873	18.8812	2	Proximal intronic	ENSG00000007923.18	""	Genic
chr1	6650382	6650402	chr1-802	28.9	-	2.4315	3.8207	0	2.7469	0	3.2752	6.201	6.6937	25.169	6	Alu	ENSG00000007923.18	""	TE
chr1	6651831	6651851	chr1-3050	14.4	-	1.2158	0	0	5.4939	13.6848	0	0	0	20.3944	3	Deep intronic	ENSG00000007923.18	""	Genic
chr1	6790202	6790222	chr1-3052	14.4	+	1.2158	3.8207	0	0	0	9.8257	0	6.6937	21.5558	4	First intron	ENSG00000171735.21	CAMTA1	Genic
chr1	6799246	6799266	chr1-3056	18	+	0	0	0	0	0	6.5505	6.201	6.6937	19.4451	3	Alu	ENSG00000171735.21	CAMTA1	TE
chr1	6834278	6834298	chr1-1178	21.7	+	2.4315	0	0	0	0	0	0	26.7747	29.2062	2	Satellite/LC	ENSG00000171735.21	CAMTA1	TE
chr1	6834953	6834973	chr1-3059	14.4	+	1.2158	0	2.464	2.7469	13.6848	3.2752	0	0	23.3867	5	LINE	ENSG00000171735.21	CAMTA1	TE
chr1	8763455	8763475	chr1-803	25.3	-	0	3.8207	0	0	13.6848	3.2752	12.402	0	33.1827	4	Alu	ENSG00000142599.21	""	TE
chr1	8793542	8793562	chr1-1180	18	-	0	3.8207	2.464	8.2408	0	3.2752	3.1005	0	20.9012	5	First intron	ENSG00000142599.21	""	Genic
chr1	8800486	8800506	chr1-3079	14.4	-	1.2158	3.8207	0	0	13.6848	0	3.1005	0	21.8217	4	LINE	ENSG00000142599.21	""	TE
chr1	8855447	8855467	chr1-1852	18	-	0	0	0	0	0	16.3761	0	0	16.3761	1	3'UTR-distal	""	""	Genic
chr1	8869210	8869230	chr1-206	43.3	-	2.4315	0	4.928	2.7469	0	3.2752	18.603	0	31.9846	5	Deep intronic	ENSG00000074800.17	""	Genic
chr1	8874406	8874426	chr1-804	28.9	-	2.4315	3.8207	0	0	0	6.5505	3.1005	13.3873	29.2905	5	Alu	ENSG00000074800.17	""	TE
chr1	8874647	8874667	chr1-1182	21.7	-	3.6473	0	0	0	0	6.5505	3.1005	13.3873	26.6855	4	First intron	ENSG00000074800.17	""	Genic
chr1	8878182	8878202	chr1-594	28.9	-	1.2158	0	0	0	0	19.6514	6.201	0	27.0681	3	5'UTR	ENSG00000074800.17	""	Genic
chr1	9153184	9153204	chr1-595	28.9	-	3.6473	0	0	0	0	6.5505	9.3015	6.6937	26.1929	4	First intron	ENSG00000228526.9	MIR34AHG	Genic
chr1	9153853	9153873	chr1-207	46.9	-	6.0788	3.8207	2.464	0	13.6848	6.5505	15.5025	0	48.1011	6	First intron	ENSG00000228526.9	MIR34AHG	Genic
chr1	9161084	9161104	chr1-1856	18	-	0	0	2.464	0	0	0	9.3015	6.6937	18.4591	3	First intron	ENSG00000228526.9	MIR34AHG	Genic
chr1	9164421	9164441	chr1-3085	14.4	-	0	0	0	0	0	0	6.201	13.3873	19.5883	2	Alu	ENSG00000228526.9	MIR34AHG	TE
chr1	9170528	9170548	chr1-1183	25.3	-	0	0	0	0	0	3.2752	3.1005	33.4683	39.844	3	Alu	ENSG00000228526.9	MIR34AHG	TE
chr1	9541714	9541734	chr1-805	25.3	+	4.863	0	0	2.7469	0	0	3.1005	6.6937	17.4041	4	First intron	ENSG00000171612.8	""	Genic
chr1	9555440	9555460	chr1-3088	14.4	+	1.2158	3.8207	0	0	0	0	0	13.3873	18.4238	3	Deep intronic	ENSG00000171612.8	""	Genic
chr1	9767119	9767139	chr1-1858	18	-	2.4315	3.8207	2.464	0	13.6848	6.5505	0	0	28.9514	5	LINE	ENSG00000171603.19	""	TE
chr1	9784569	9784589	chr1-1184	21.7	-	1.2158	0	2.464	0	0	3.2752	6.201	6.6937	19.8496	5	First intron	ENSG00000171603.19	""	Genic
chr1	10138111	10138131	chr1-596	28.9	+	3.6473	0	0	0	0	16.3761	0	0	20.0234	2	Alu	ENSG00000130939.21	""	TE
chr1	10279875	10279895	chr1-433	28.9	+	0	3.8207	0	2.7469	0	16.3761	6.201	0	29.1448	4	Alu	ENSG00000054523.21	""	TE
chr1	10286849	10286869	chr1-434	32.5	+	3.6473	0	2.464	2.7469	0	9.8257	3.1005	0	21.7844	5	Deep intronic	ENSG00000054523.21	""	Genic
chr1	10287558	10287578	chr1-1859	14.4	+	3.6473	3.8207	0	10.9878	0	0	0	0	18.4557	3	Deep intronic	ENSG00000054523.21	""	Genic
chr1	10372984	10373004	chr1-1186	21.7	+	3.6473	0	0	0	0	0	0	20.081	23.7283	2	Alu	ENSG00000054523.21	""	TE
chr1	10378878	10378898	chr1-806	25.3	+	0	0	4.928	13.7347	0	0	0	0	18.6627	2	3'UTR	ENSG00000054523.21	""	Genic
chr1	10409973	10409993	chr1-3103	14.4	+	0	7.6414	2.464	0	0	0	0	6.6937	16.799	3	Deep intronic	ENSG00000142657.22	""	Genic
chr1	10556871	10556891	chr1-3110	14.4	+	2.4315	0	2.464	0	13.6848	0	3.1005	0	21.6808	4	Other SINE	ENSG00000142655.14	""	TE
chr1	11020035	11020055	chr1-435	36.1	+	4.863	0	2.464	5.4939	0	6.5505	3.1005	0	22.4718	5	Alu	ENSG00000120948.20	""	TE
chr1	11022804	11022824	chr1-1861	18	+	2.4315	3.8207	2.464	5.4939	0	3.2752	0	0	17.4853	5	3'UTR	ENSG00000120948.20	""	Genic
chr1	11024296	11024316	chr1-436	32.5	+	3.6473	3.8207	2.464	5.4939	0	3.2752	3.1005	6.6937	28.4952	7	3'UTR	ENSG00000120948.20	""	Genic
chr1	11908198	11908218	chr1-11	252.7	+	51.0616	19.1034	51.7439	24.7225	27.3695	32.7523	37.206	40.162	284.1212	8	Other exon	ENSG00000199347.2	RNU5E-1	Genic
chr1	11909822	11909842	chr1-3	721.9	-	121.5753	61.131	101.0238	101.6369	41.0543	32.7523	71.3114	80.324	610.8089	8	3'UTR-distal	ENSG00000201801.1	RNU5E-4P	Genic
chr1	12432620	12432640	chr1-1864	18	+	2.4315	0	0	0	0	0	0	20.081	22.5125	2	Alu	ENSG00000048707.15	VPS13D	TE
chr1	14939160	14939180	chr1-1868	14.4	+	0	0	0	0	0	6.5505	6.201	6.6937	19.4451	3	Alu	ENSG00000189337.17	KAZN	TE
chr1	15569496	15569516	chr1-1869	14.4	+	0	0	0	2.7469	0	6.5505	0	13.3873	22.6847	3	3'UTR	ENSG00000116138.14	""	Genic
chr1	15637742	15637762	chr1-1187	18	+	3.6473	3.8207	0	2.7469	0	3.2752	3.1005	0	16.5906	5	Deep intronic	ENSG00000197312.13	DDI2	Genic
chr1	15698380	15698400	chr1-1188	21.7	+	0	0	2.464	2.7469	0	3.2752	6.201	6.6937	21.3808	5	Alu	ENSG00000116786.16	""	TE
chr1	15817168	15817188	chr1-1189	21.7	+	0	11.4621	0	0	0	3.2752	3.1005	6.6937	24.5315	4	Alu	""	""	TE
chr1	15833048	15833068	chr1-597	28.9	-	0	0	2.464	2.7469	0	0	15.5025	6.6937	27.4071	4	First intron	ENSG00000179743.5	SPEN-AS1	Genic
chr1	15853034	15853054	chr1-1190	21.7	+	1.2158	7.6414	4.928	0	0	3.2752	3.1005	0	20.1608	5	Alu	ENSG00000065526.13	SPEN	TE
chr1	15853500	15853520	chr1-807	25.3	+	1.2158	3.8207	0	0	0	3.2752	6.201	13.3873	27.9	5	Alu	ENSG00000065526.13	SPEN	TE
chr1	15854123	15854143	chr1-1191	25.3	+	2.4315	3.8207	7.392	0	0	3.2752	0	0	16.9194	4	First intron	ENSG00000065526.13	SPEN	Genic
chr1	15859764	15859784	chr1-809	25.3	+	2.4315	0	0	8.2408	0	0	6.201	0	16.8733	3	First intron	ENSG00000065526.13	SPEN	Genic
chr1	15861447	15861467	chr1-3139	14.4	+	0	0	0	2.7469	13.6848	3.2752	6.201	0	25.9079	4	First intron	ENSG00000065526.13	SPEN	Genic
chr1	15865010	15865030	chr1-1192	21.7	+	2.4315	7.6414	0	5.4939	0	0	3.1005	0	18.6673	4	First intron	ENSG00000065526.13	SPEN	Genic
chr1	15865377	15865397	chr1-1193	28.9	+	3.6473	0	2.464	5.4939	0	6.5505	0	13.3873	31.5429	5	First intron	ENSG00000065526.13	SPEN	Genic
chr1	15865889	15865909	chr1-810	21.7	+	1.2158	15.2827	0	0	27.3695	6.5505	0	0	50.4185	4	Alu	ENSG00000065526.13	SPEN	TE
chr1	15866963	15866983	chr1-1195	21.7	+	2.4315	0	2.464	0	0	6.5505	0	13.3873	24.8333	4	LINE	ENSG00000065526.13	SPEN	TE
chr1	15867722	15867742	chr1-330	36.1	+	2.4315	0	0	5.4939	13.6848	0	6.201	20.081	47.8921	5	LINE	ENSG00000065526.13	SPEN	TE
chr1	15878061	15878081	chr1-811	25.3	+	2.4315	3.8207	2.464	0	13.6848	3.2752	0	6.6937	32.3698	6	Deep intronic	ENSG00000065526.13	SPEN	Genic
chr1	15883647	15883667	chr1-812	28.9	+	4.863	0	0	5.4939	0	0	12.402	0	22.7589	3	Deep intronic	ENSG00000065526.13	SPEN	Genic
chr1	15883722	15883742	chr1-813	25.3	+	4.863	0	0	2.7469	13.6848	0	3.1005	0	24.3952	4	Deep intronic	ENSG00000065526.13	SPEN	Genic
chr1	15888806	15888826	chr1-598	28.9	+	1.2158	0	0	0	13.6848	13.1009	6.201	6.6937	40.8961	5	Alu	ENSG00000065526.13	SPEN	TE
chr1	15895858	15895878	chr1-437	32.5	+	4.863	3.8207	0	0	13.6848	3.2752	3.1005	6.6937	35.4378	6	Alu	ENSG00000065526.13	SPEN	TE
chr1	15905587	15905607	chr1-3152	14.4	+	1.2158	3.8207	0	0	13.6848	0	0	6.6937	25.4149	4	Alu	ENSG00000065526.13	SPEN	TE
chr1	15906952	15906972	chr1-1882	18	+	1.2158	0	0	0	0	3.2752	12.402	0	16.893	3	Alu	ENSG00000065526.13	SPEN	TE
chr1	15920564	15920584	chr1-599	28.9	+	3.6473	11.4621	2.464	2.7469	0	0	3.1005	0	23.4208	5	Proximal intronic	ENSG00000065526.13	SPEN	Genic
chr1	15922505	15922525	chr1-600	28.9	+	7.2945	0	0	2.7469	0	3.2752	6.201	0	19.5177	4	Proximal intronic	ENSG00000065526.13	SPEN	Genic
chr1	16331091	16331111	chr1-814	21.7	-	3.6473	0	0	0	0	3.2752	3.1005	13.3873	23.4103	4	Alu	ENSG00000037637.12	""	TE
chr1	16337566	16337586	chr1-601	28.9	-	2.4315	0	2.464	8.2408	0	6.5505	0	0	19.6868	4	First intron	ENSG00000037637.12	""	Genic
chr1	16341425	16341445	chr1-1887	18	-	1.2158	3.8207	0	0	0	6.5505	6.201	0	17.7879	4	Alu	ENSG00000037637.12	""	TE
chr1	16341596	16341616	chr1-815	25.3	-	2.4315	0	0	0	0	0	0	33.4683	35.8998	2	Alu	ENSG00000037637.12	""	TE
chr1	16348228	16348248	chr1-602	28.9	-	1.2158	3.8207	2.464	2.7469	0	6.5505	9.3015	0	26.0993	6	First intron	ENSG00000037637.12	""	Genic
chr1	16370543	16370563	chr1-1888	18	+	1.2158	0	0	0	0	0	9.3015	6.6937	17.2109	3	Satellite/LC	ENSG00000055070.18	""	TE
chr1	16545941	16545961	chr1-1198	14.4	-	4.863	0	7.392	5.4939	0	0	0	6.6937	24.4425	4	tRNA*	""	""	ncRNA
chr1	16634584	16634604	chr1-3170	18	-	1.2158	0	0	0	0	0	3.1005	20.081	24.3972	3	Alu	ENSG00000215908.12	CROCCP2	TE
chr1	16636158	16636178	chr1-1891	18	-	1.2158	0	0	2.7469	0	6.5505	0	6.6937	17.2068	4	Alu	ENSG00000215908.12	CROCCP2	TE
chr1	17024295	17024315	chr1-3174	18	-	0	0	2.464	2.7469	0	3.2752	3.1005	6.6937	18.2803	5	Deep intronic	ENSG00000117118.13	""	Genic
chr1	17411253	17411273	chr1-1893	18	-	1.2158	0	0	0	0	3.2752	3.1005	13.3873	20.9788	4	Deep intronic	ENSG00000179051.15	""	Genic
chr1	17413412	17413432	chr1-1199	21.7	-	2.4315	0	2.464	2.7469	13.6848	0	6.201	0	27.5282	5	Alu	ENSG00000179051.15	""	TE
chr1	17415092	17415112	chr1-137	46.9	-	6.0788	0	7.392	10.9878	0	6.5505	12.402	13.3873	56.7983	6	Deep intronic	ENSG00000179051.15	""	Genic
chr1	17419032	17419052	chr1-104	68.6	-	3.6473	7.6414	12.32	5.4939	13.6848	19.6514	9.3015	0	71.7401	7	Deep intronic	ENSG00000179051.15	""	Genic
chr1	19166704	19166724	chr1-438	32.5	-	1.2158	0	0	0	0	13.1009	9.3015	6.6937	30.3118	4	Alu	ENSG00000127481.15	UBR4	TE
chr1	19207451	19207471	chr1-1899	21.7	-	0	3.8207	4.928	0	0	3.2752	6.201	0	18.2249	4	3'UTR-distal	ENSG00000127481.15	UBR4	Genic
chr1	19281326	19281346	chr1-3189	14.4	-	0	7.6414	0	0	0	0	3.1005	6.6937	17.4355	3	3'UTR-distal	""	""	Genic
chr1	19309750	19309770	chr1-1901	18	-	1.2158	3.8207	0	0	0	6.5505	6.201	0	17.7879	4	Alu	ENSG00000053371.14	AKR7A2	TE
chr1	19624602	19624622	chr1-1202	21.7	+	0	0	0	0	0	3.2752	9.3015	13.3873	25.964	3	First intron	ENSG00000158747.16	""	Genic
chr1	20743326	20743346	chr1-20	133.6	-	17.0205	3.8207	12.32	21.9755	13.6848	19.6514	15.5025	6.6937	110.669	8	3'UTR	ENSG00000127483.21	""	Genic
chr1	20743752	20743772	chr1-105	54.1	-	10.9418	7.6414	2.464	2.7469	13.6848	9.8257	12.402	0	59.7065	7	3'UTR	ENSG00000127483.21	""	Genic
chr1	20744150	20744170	chr1-72	68.6	-	15.8048	7.6414	7.392	5.4939	0	0	3.1005	0	39.4325	5	3'UTR	ENSG00000127483.21	""	Genic
chr1	20744425	20744445	chr1-439	36.1	-	4.863	15.2827	7.392	10.9878	0	3.2752	0	13.3873	55.1881	6	3'UTR	ENSG00000127483.21	""	Genic
chr1	20773751	20773771	chr1-818	28.9	-	4.863	7.6414	2.464	2.7469	0	6.5505	3.1005	0	27.3663	6	5'UTR	ENSG00000127483.21	""	Genic
chr1	20774806	20774826	chr1-138	50.5	-	6.0788	0	0	0	13.6848	16.3761	6.201	6.6937	49.0343	5	5'UTR	ENSG00000127483.21	""	Genic
chr1	20775089	20775109	chr1-16	176.9	-	18.2363	19.1034	14.784	30.2164	0	19.6514	21.7035	40.162	163.8569	7	Deep intronic	ENSG00000127483.21	""	Genic
chr1	20776302	20776322	chr1-603	28.9	-	4.863	7.6414	9.856	2.7469	0	3.2752	6.201	0	34.5835	6	Proximal intronic	ENSG00000127483.21	""	Genic
chr1	20782401	20782421	chr1-139	50.5	-	3.6473	0	0	2.7469	0	0	21.7035	20.081	48.1787	4	Alu	ENSG00000127483.21	""	TE
chr1	20783107	20783127	chr1-264	39.7	-	0	0	0	2.7469	0	16.3761	18.603	6.6937	44.4197	4	Alu	ENSG00000127483.21	""	TE
chr1	20783801	20783821	chr1-1910	21.7	-	1.2158	0	0	0	0	0	12.402	6.6937	20.3114	3	First intron	ENSG00000127483.21	""	Genic
chr1	20796399	20796419	chr1-1911	18	-	0	0	0	0	0	16.3761	0	0	16.3761	1	3'UTR-distal	""	""	Genic
chr1	20798468	20798488	chr1-1912	18	-	1.2158	3.8207	0	5.4939	13.6848	0	0	0	24.2151	4	3'UTR-distal	""	""	Genic
chr1	20877121	20877141	chr1-820	21.7	-	0	0	7.392	8.2408	0	3.2752	3.1005	0	22.0085	4	Deep intronic	ENSG00000075151.24	EIF4G3	Genic
chr1	20899148	20899168	chr1-604	25.3	-	4.863	7.6414	0	2.7469	13.6848	0	0	0	28.9361	4	Deep intronic	ENSG00000075151.24	EIF4G3	Genic
chr1	20939522	20939542	chr1-3208	14.4	-	1.2158	0	2.464	0	27.3695	0	0	0	31.0493	3	Deep intronic	ENSG00000075151.24	EIF4G3	Genic
chr1	20978890	20978910	chr1-1205	18	-	0	0	2.464	0	0	6.5505	0	20.081	29.0954	3	Deep intronic	ENSG00000075151.24	EIF4G3	Genic
